offer_id,offer_type,property_type,location_district,location_city,location_area,agency,office_city
JuNguQDV0Zn,sale,"2-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny,"Direct Real, spol. s r.o.",Bratislava
JuKOtZwcbir-,sale,"holiday apartment","okres Ružomberok",Ružomberok,Hrabovo,"Reality Alpia",Martin
JuMm4AW_gBf,sale,"5+ room apartment","okres Žilina","Rajecké Teplice","Rajecké Teplice","Reality IQ, s.r.o.",Žilina
JuSYwKOlQ-6,sale,"3-room apartment","okres Dolný Kubín","Dolný Kubín",NULL,"Nové bývanie",Nitra
JuZqtWo-t_S,sale,"holiday apartment","okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia","Prvá Realitná Kancelária, s.r.o.",Bratislava
JuJCzmrTicR,sale,"2-room apartment","okres Martin",Martin,Záturčie,NULL,NULL
JumsfvMXhg-,sale,"3-room apartment","okres Žilina",Žilina,Solinky,"Direct Real, spol. s r.o.",Bratislava
JuymkoAFG_6,sale,"2-room apartment","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,"HOLESTIAK.sk reality s.r.o.",Čadca
JucOec67NRR,sale,"1-room apartment","okres Tvrdošín",Nižná,Nižná,"Vianema s.r.o.",Bratislava
JuyOHLJxsdS,sale,"3-room apartment","okres Žilina",Žilina,"Staré mesto","Local reality s. r. o.",Malinovo
Ju_yl2A922o,sale,"2-room apartment","okres Turčianske Teplice","Turčianske Teplice",Stred,NULL,NULL
JuDoLB83xqT,sale,"3-room apartment","okres Liptovský Mikuláš",Malužiná,Malužiná,"HALO reality, s.r.o.",Prievidza
JuQvJ7BykSU,sale,"2-room apartment","okres Martin",Martin,Sever,"WFG reality, s.r.o.",Žilina
JucOhPXEpxa,rent,"2-room apartment","okres Žilina",Žilina,"Staré mesto",NULL,NULL
JuFqVxR2Rua,rent,"2-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka,"RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuLEeBcqSvN,rent,"2-room apartment","okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
JuHLqjLk9w7,sale,"2-room apartment","okres Čadca",Oščadnica,Oščadnica,"1. Reality Rent, s.r.o.",Žilina
Juhlf1Su_tu,sale,"studio apartment","okres Žilina",Žilina,Závodie,"RIEŠIME BÝVANIE",Bratislava
Ju4aGAgIjVo,sale,"3-room apartment","okres Martin",Martin,Stred,"LIF REAL",Martin
JuHC3L7PHAo,rent,"studio apartment","okres Martin",Martin,Stred,"RE/MAX Slovakia",Bratislava
Ju4nG9JDEKF,sale,"3-room apartment","okres Martin",Martin,Ľadoveň,"TUreality s.r.o.",Žilina
