offer_id,property_type,area,condition,price_m2,built_in,house_area,land_area,built_up_area,terrain,energy_certificate,electricity,water,location_district,location_city,location_area,agency,office_city
JuSi1nzOb00,house,180,"new construction",2050.00,2023,180,1082,154,"mostly flat",A,on-site,well,"okres Kysucké Nové Mesto","Horný Vadičov","Horný Vadičov","DRR INVEST, s. r. o.","Horný Hričov"
JuwBtG9o2r1,house,133,"new construction",1472.18,2025,133,363,133,flat,"in preparation",NULL,NULL,"okres Čadca","Nová Bystrica","Nová Bystrica","SLNOVRAT, s.r.o.",Olešná
JuN_zFqT9wt,house,90,"fully renovated",1811.11,1900,90,NULL,70,flat,"not available",on-site,"public water","okres Martin","Turčianska Štiavnička","Turčianska Štiavnička","Reality MT s.r.o.",Martin
JuR8Ev-aWaZ,house,150,"partially renovated",NULL,1963,150,555,154,flat,"not available",on-site,"public water","okres Martin",Sučany,Sučany,"Like Reality s.r.o.","Považská Bystrica"
JuZBjxQ80zt,house,60,"new construction",1833.33,2022,60,NULL,24,flat,"not available",on-site,"public water","okres Ružomberok",Ružomberok,"Pod Skalami","FISCHER & PARTNERS, s.r.o.",Ružomberok
JuGyarQH5Tu,house,244,"fully renovated",573.77,1960,244,988,244,NULL,"not available",NULL,NULL,"okres Martin",Žabokreky,Žabokreky,"Reality Center, s.r.o.",Martin
JusX_sL1pCY,house,624,unrenovated,416.67,2025,624,NULL,NULL,flat,"not available","not available",well,"okres Ružomberok",Ružomberok,Baničné,"Reality Alpia",Martin
JuMReNzFrmm,house,114,unrenovated,780.70,1970,114,540,73,sloped,"not available",NULL,NULL,"okres Ružomberok","Liptovské Revúce","Liptovské Revúce","KOSIBA reality s.r.o.",Bernolákovo
JufUCJs2WIN,house,120,"partially renovated",1741.67,1980,120,921,100,flat,"not available",NULL,"public water","okres Martin","Košťany nad Turcom","Košťany nad Turcom","ŽILINAREAL, s.r.o.",Žilina
JuViiwQVAc8,house,125,"new construction",NULL,2023,125,600,125,sloped,"not available",NULL,well,"okres Martin",Vrútky,"Karvaša a Bláhovca","TUreality s.r.o.",Žilina
Ju7iLKVUgMi,house,205,"new construction",NULL,2025,205,NULL,230,flat,A,NULL,NULL,"okres Martin",Valča,Valča,"Reality AK, spol. s r.o.",Martin
Ju_j96JYJ3R,house,107,"fully renovated",3074.77,2022,107,680,145,flat,NULL,on-site,well,"okres Žilina",Stráňavy,Stráňavy,"B10 Slovensko, a. s.",Žilina
JuacBqltuem,house,565,"partially renovated",NULL,2025,565,NULL,NULL,flat,"not available","not available",well,"okres Žilina","Teplička nad Váhom","Teplička nad Váhom","Reality Alpia",Martin
Ju5jLRFNJLG,house,131,"new construction",3511.45,2024,131,849,NULL,"mostly flat",NULL,NULL,NULL,"okres Bytča",Bytča,"Hliník nad Váhom","Realitná kancelária RED, s.r.o.",Žilina
JuzhCWgXTbr,house,836,"partially renovated",332.54,1980,836,NULL,NULL,NULL,"not available",NULL,NULL,"okres Žilina",Gbeľany,Gbeľany,"TUreality s.r.o.",Žilina
Ju7pOpcYmHI,house,145,"new construction",2551.66,2013,145,954,107,"gently sloped",B,NULL,"public water","okres Žilina",Podhorie,Podhorie,"TARGETreal s. r. o.",Žilina
Jueg5nyRwtD,house,637,"partially renovated",313.97,2025,637,637,NULL,"gently sloped","not available",NULL,well,"okres Žilina",Terchová,Terchová,"Reality Alpia",Martin
Jua2IIfvhoU,house,1500,"new construction",260.00,2025,1500,1517,NULL,"gently sloped","not available","not available",well,"okres Martin",Vrútky,"Karvaša a Bláhovca","Reality Alpia",Martin
Juq1uzcK3Zo,house,70,unrenovated,1314.29,1948,70,NULL,98,terraced,"not available",on-site,"public water","okres Turčianske Teplice",Mošovce,Mošovce,"Reality MT s.r.o.",Martin
JuwSpmc62PT,house,260,unrenovated,573.08,1974,260,1362,108,"gently sloped","not available",on-site,well,"okres Žilina",Lysica,Lysica,"RE/MAX Slovakia",Bratislava
JuPi43juw_9,house,150,"partially renovated",NULL,1966,150,540,180,terraced,"not available",on-site,"public water","okres Čadca",Oščadnica,Oščadnica,"Trioreality, s.r.o.",Čadca
JuIasSYB1E7,house,90,"new construction",3555.56,2023,90,467,98,flat,B,on-site,"public water","okres Martin","Dolný Kalník","Dolný Kalník","Reality MT s.r.o.",Martin
JuE3k8ViQWV,house,150,unrenovated,1793.33,1977,150,NULL,120,flat,"not available",on-site,"public water","okres Žilina",Žilina,Trnové,"Reality IQ, s.r.o.",Žilina
JuJKCTa_I_C,house,150,unrenovated,1400.00,1960,150,1700,585,"gently sloped",NULL,on-site,well,"okres Martin",Belá-Dulice,Belá-Dulice,"B10 Slovensko, a. s.",Žilina
JuV4X4JdJ77,house,160,"new construction",1718.75,2024,160,771,180,flat,"not available",on-site,"public water","okres Turčianske Teplice","Turčianske Teplice","Turčiansky Michal","Reality MT s.r.o.",Martin
JujjP_MAirA,house,80,"partially renovated",3312.50,1970,80,866,104,flat,"not available",NULL,NULL,"okres Dolný Kubín","Dolný Kubín",Mokraď,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
JueY97MJhb3,house,120,unrenovated,2750.00,1949,120,317,150,flat,"not available",on-site,"public water","okres Žilina",Žilina,"Malá Praha","TOP Living s.r.o.","Banská Bystrica"
JubZoYrfSp9,house,162,"new construction",2771.60,2017,162,387,108,flat,B,on-site,"public water","okres Žilina",Žilina,Bánová,"Ing. Gerlinda Bérešová - Esti",Žilina
JuhR8_uiRxX,house,280,"partially renovated",428.57,1980,280,699,280,flat,C,NULL,well,"okres Ružomberok",Komjatná,Komjatná,"VAŠA REALITKA s.r.o.",Ružomberok
JuOitn_WAgJ,house,1204,"fully renovated",747.51,1995,1204,2920,1204,flat,"not available",NULL,NULL,"okres Liptovský Mikuláš","Veľké Borové","Veľké Borové","OVERENÉ REALITY","Banská Bystrica"
JuIa9S8sGpG,house,121,"development project",2231.40,2026,121,622,121,"gently sloped","not available",on-site,"public water","okres Žilina",Žilina,Trnové,"RIEŠIME BÝVANIE",Bratislava
JuhybejcNce,house,160,unrenovated,4062.50,1980,160,600,160,flat,"not available",NULL,well,"okres Žilina",Žilina,"Staré mesto","TUreality s.r.o.",Žilina
JudzDOvNunu,house,1481,unrenovated,173.53,2025,1481,1481,NULL,flat,"not available","not available",well,"okres Martin",Martin,"Kolónia Hviezda","Reality Alpia",Martin
JuPdbj_I7Hc,house,736,unrenovated,149.46,1980,736,736,NULL,NULL,"not available","not available",NULL,"okres Ružomberok",Ružomberok,Černová,NULL,NULL
Ju88y75X0Gs,house,30,"new construction",899.67,2025,30,NULL,30,other,"not available","not available","not available","okres Ružomberok",Ružomberok,"Biely Potok","IVANING, s. r. o.",Ružomberok
Ju0TAHkXz3F,house,190,"new construction",2626.32,2019,190,685,280,"mostly flat",B,NULL,NULL,"okres Žilina",Mojš,Mojš,"Realitná kancelária RED, s.r.o.",Žilina
Ju_D1IbOI5l,house,318,"new construction",1193.40,2018,318,1037,159,"mostly flat",B,on-site,"public water","okres Liptovský Mikuláš","Závažná Poruba","Závažná Poruba","RK SPIRIT s.r.o.","Liptovský Mikuláš"
JucYnfxB91V,house,55,"new construction",2090.91,2019,55,NULL,70,flat,A,on-site,"public water","okres Ružomberok","Liptovské Sliače","Liptovské Sliače","Good Reality s.r.o.",Rovinka
JufRC9onHuL,house,295,"new construction",NULL,2020,295,NULL,295,"gently sloped","not available",on-site,well,"okres Čadca",Oščadnica,Oščadnica,"Arvin & Benet",Bratislava
Ju5R8pDPeWZ,house,264,"fully renovated",1212.12,1920,264,2032,200,flat,"not available",NULL,"public water","okres Martin",Martin,"Kolónia Hviezda","ALT REAL, s.r.o.",Martin
Ju6HLriDjfB,house,135,"new construction",2881.48,2013,135,1236,147,flat,"not available",on-site,"public water","okres Ružomberok","Liptovská Štiavnica","Liptovská Štiavnica","ALT REAL, s.r.o.",Martin
Ju7mrdPR_cn,house,305,"fully renovated",914.75,1991,305,544,200,NULL,"not available",NULL,NULL,"okres Bytča",Štiavnik,Štiavnik,"RIEŠIME BÝVANIE",Bratislava
Ju-2YZ37zxt,house,95,"partially renovated",947.26,1921,95,876,120,flat,"in preparation",on-site,"public water","okres Liptovský Mikuláš",Važec,Važec,liptoreal,"Liptovský Mikuláš"
Ju1cp4Zdad9,house,134,"new construction",2007.46,2025,134,750,157,"mostly flat","not available",on-site,"public water","okres Ružomberok","Liptovské Sliače","Liptovské Sliače",donidDevelop,"Dolný Kubín"
JulXcIcccXx,house,200,"new construction",1095.00,2024,200,805,230,NULL,A,NULL,NULL,"okres Martin",Valča,Valča,"Wealth Group, s.r.o.","Nová Dedinka"
Ju2sBY5BIo1,house,250,"fully renovated",1840.00,1940,250,750,NULL,NULL,"not available",NULL,NULL,"okres Žilina",Mojš,Mojš,"RIEŠIME BÝVANIE",Bratislava
JuE7_yY48hp,house,150,unrenovated,700.00,1963,150,570,150,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovská Kokava","Liptovská Kokava","Romantické Chalupy, s.r.o.",Bratislava
JuZhO-rErgT,house,170,"partially renovated",576.47,1970,170,774,170,flat,"not available",on-site,"public water","okres Čadca","Vysoká nad Kysucou","Vysoká nad Kysucou","SLNOVRAT, s.r.o.",Olešná
JuOha8XJ-eZ,house,100,unrenovated,NULL,1990,100,800,100,NULL,"not available",NULL,NULL,"okres Martin",Vrútky,"Karvaša a Bláhovca","Reality ASTORIA, s.r.o.",Martin
Ju2EG21S4h4,house,29,"new construction",NULL,2024,29,NULL,26,other,A,"not available","not available","okres Liptovský Mikuláš",Bobrovník,Bobrovník,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
Jum5hTEjQIq,house,1200,unrenovated,104.17,2025,1200,NULL,NULL,flat,"not available","not available","not available","okres Turčianske Teplice","Turčianske Teplice",Stred,"Reality Alpia",Martin
JuG-bGr9or0,house,680,"new construction",529.41,2025,680,NULL,NULL,"gently sloped","not available","not available",well,"okres Martin",Martin,Stráne,"Reality Alpia",Martin
JumII_lj6i4,house,84,"new construction",3809.52,2020,84,497,99,NULL,NULL,NULL,NULL,"okres Žilina",Svederník,Svederník,"TARGETreal s. r. o.",Žilina
JunpOFmuQsM,house,300,"fully renovated",950.00,2018,300,994,392,flat,"not available",NULL,NULL,"okres Čadca",Makov,Makov,"1. Reality Rent, s.r.o.",Žilina
JuaDU5eWN9y,house,119,"under construction",1645.51,2024,119,514,73,"mostly flat","not available",NULL,NULL,"okres Čadca","Stará Bystrica","Stará Bystrica","ADH-REAL s.r.o. Hirjaková Adriana",Ovčiarsko
JucsRg9RieN,house,248,"partially renovated",1572.58,2000,248,1042,248,NULL,"not available",NULL,NULL,"okres Martin",Martin,Priekopa,"Reality ASTORIA, s.r.o.",Martin
JuM4P4vy0RV,house,131,"new construction",1743.21,2024,131,588,90,NULL,A,NULL,NULL,"okres Žilina",Žilina,"Žilinská Lehota","IDEÁLNE BÝVANIE, s.r.o.",Žilina
JuUMimgiwBf,house,130,unrenovated,1230.00,1900,130,1515,110,sloped,"not available",NULL,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto","Budatínska Lehota","HALO reality, s.r.o.",Prievidza
Jukz4cqoQIH,house,156,"new construction",1666.67,2025,156,632,167,other,A,NULL,"not available","okres Čadca",Makov,Makov,"SIERA realitná kancelária s.r.o.",Trnava
JuKIg369MuS,house,2850,"partially renovated",68.42,1980,2850,2850,NULL,NULL,"not available",NULL,NULL,"okres Liptovský Mikuláš",Bukovina,Bukovina,"TUreality s.r.o.",Žilina
JuBqrsBTBJs,house,140,"new construction",1607.14,2024,140,620,140,flat,"not available",on-site,"public water","okres Ružomberok",Ružomberok,"Staré mesto","ALT REAL, s.r.o.",Martin
Jusa_KVAuJ7,house,70,"fully renovated",421.43,1975,70,NULL,90,"gently sloped",A,on-site,"public water","okres Čadca",Svrčinovec,Svrčinovec,"JPE. Reality - Jozef Pajer",Čadca
Jupd__eIrfW,house,110,"partially renovated",1180.91,2025,110,400,110,NULL,NULL,NULL,NULL,"okres Martin",Vrútky,"Karvaša a Bláhovca","Romantické Chalupy, s.r.o.",Bratislava
JuVNXqUSw6h,house,400,"partially renovated",587.50,1900,400,519,260,"gently sloped","not available",NULL,well,"okres Ružomberok",Ružomberok,"Staré mesto","FatraReal s. r. o.",Ružomberok
JuV0_j6OG4Q,house,80,unrenovated,1249.88,1970,80,327,90,flat,"not available",NULL,NULL,"okres Čadca","Stará Bystrica","Stará Bystrica","RES GROUP, s.r.o.",Žilina
Juoa-Iz2VRV,house,140,unrenovated,378.57,1960,140,492,90,flat,"not available",NULL,NULL,"okres Čadca",Olešná,Olešná,"1. Reality Rent, s.r.o.",Žilina
Ju7atSyCG1P,house,100,unrenovated,2350.00,1965,100,957,128,flat,"not available",NULL,NULL,"okres Žilina",Žilina,Bytčica,"ADH-REAL s.r.o. Hirjaková Adriana",Ovčiarsko
JuvIyu9zHe0,house,131,"new construction",3511.45,2025,131,849,131,flat,"not available",on-site,well,"okres Bytča",Bytča,"Hliník nad Váhom","TOCA, s.r.o. Realitná činnosť",Bytča
Ju23oRXuRNw,house,230,unrenovated,836.96,1970,230,1850,100,NULL,"not available",NULL,NULL,"okres Čadca",Čadca,Horelica,"HOLESTIAK.sk reality s.r.o.",Čadca
JudhN1eg-Z1,house,135,"partially renovated",1822.15,1978,135,780,135,NULL,"not available",on-site,well,"okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová,"TUreality s.r.o.",Žilina
Ju9kLci6QHU,house,910,"partially renovated",169.23,1980,910,NULL,NULL,NULL,"not available",NULL,NULL,"okres Liptovský Mikuláš","Liptovská Porúbka","Liptovská Porúbka","TUreality s.r.o.",Žilina
JuddrVo_6K8,house,190,unrenovated,710.53,1980,190,1550,190,NULL,"not available",on-site,well,"okres Tvrdošín",Zábiedovo,Zábiedovo,"TUreality s.r.o.",Žilina
JubSXyHD9FS,house,125,"new construction",2698.36,2025,125,287,NULL,other,"not available","not available","not available","okres Žilina",Bitarová,Bitarová,"MGM reality",Žilina
JueNBBfFeD4,house,187,"partially renovated",1577.01,1985,187,361,95,flat,"not available",on-site,"public water","okres Žilina",Varín,Varín,"TARGETreal s. r. o.",Žilina
JuCx5OqxogO,house,270,unrenovated,NULL,1955,270,372,125,NULL,"not available",NULL,"public water","okres Žilina",Rajec,Rajec,"AnoReal, s.r.o.",Stráňavy
JugBNFAg1HA,house,96,"new construction",3322.92,2012,96,66,162,flat,"not available",NULL,NULL,"okres Ružomberok",Ružomberok,Rybárpole,"NajBývanie, s.r.o.",Ružomberok
JuE1L7QIb5r,house,250,unrenovated,1020.00,1905,250,1800,250,flat,"not available",on-site,"public water","okres Martin",Martin,Priekopa,"Reality Simply",Martin
Ju0MsknUaYA,house,250,"fully renovated",1512.00,1995,250,421,150,"mostly flat",NULL,NULL,NULL,"okres Žilina",Terchová,Terchová,"Realitná kancelária RED, s.r.o.",Žilina
Ju1GDbbrB55,house,240,unrenovated,1458.33,2009,240,1707,164,flat,"not available",NULL,NULL,"okres Čadca",Čadca,Podzávoz,"1. Reality Rent, s.r.o.",Žilina
JuaMaWInHEa,house,431,"new construction",NULL,2024,431,630,199,NULL,A,NULL,NULL,"okres Žilina","Dolný Hričov","Dolný Hričov","DreamReality s.r.o.",Žilina
JujFiU7wF23,house,160,"fully renovated",1868.75,1998,160,1000,125,flat,"not available",NULL,NULL,"okres Bytča",Bytča,"Bytča - sever","RIEŠIME BÝVANIE",Bratislava
JuxEotSi75n,house,110,"new construction",1409.09,2010,110,329,103,flat,B,NULL,NULL,"okres Čadca",Makov,Makov,"Ing. Marcela Pišteková",Turzovka
Ju5GSMP-mjz,house,210,unrenovated,804.76,1967,210,1590,120,NULL,"not available",NULL,NULL,"okres Čadca",Čadca,Horelica,"HOLESTIAK.sk reality s.r.o.",Čadca
JujtVzSs6Xp,house,280,"partially renovated",1035.71,1992,280,800,120,flat,"not available",on-site,"public water","okres Martin",Necpaly,Necpaly,"RIEŠIME BÝVANIE",Bratislava
JuHDbG3yLMb,house,90,"partially renovated",855.56,1970,90,185,96,flat,"not available",on-site,"public water","okres Liptovský Mikuláš",Pribylina,Pribylina,"NajBývanie, s.r.o.",Ružomberok
Jug4SIOybnO,house,490,"fully renovated",581.63,2025,490,NULL,NULL,"gently sloped","not available","not available",well,"okres Martin",Martin,Stred,"Reality Alpia",Martin
Ju1tsUeFhRS,house,103,"fully renovated",1552.43,1980,103,NULL,NULL,NULL,"not available",NULL,NULL,"okres Žilina",Rosina,Rosina,"TUreality s.r.o.",Žilina
Juws22--sLM,house,150,"partially renovated",1860.00,1975,150,NULL,100,"gently sloped","not available",on-site,"public water","okres Liptovský Mikuláš","Liptovský Trnovec","Liptovský Trnovec","GERT , s.r.o.","Liptovský Mikuláš"
JuiKlGUbKmU,house,300,"partially renovated",933.33,2025,300,672,672,flat,"in preparation",NULL,"public water","okres Tvrdošín",Vitanová,Vitanová,"OREA, s.r.o.","Dolný Kubín"
JuvemPDdxob,house,119,"new construction",2420.17,2024,119,809,131,flat,A,NULL,well,"okres Kysucké Nové Mesto","Kysucké Nové Mesto","Budatínska Lehota","ŽILINAREAL, s.r.o.",Žilina
Juv-ZyHYN0s,house,145,"new construction",3034.48,2025,145,512,75,flat,"not available",on-site,"public water","okres Žilina",Hôrky,Hôrky,"TOCA, s.r.o. Realitná činnosť",Bytča
Ju9NWPjsyPl,house,186,unrenovated,1960.75,2002,186,1045,154,NULL,B,NULL,NULL,"okres Čadca",Zákopčie,Zákopčie,"HOLESTIAK.sk reality s.r.o.",Čadca
JuFzDxVJ2q6,house,110,unrenovated,1236.36,2022,110,749,110,NULL,NULL,NULL,NULL,"okres Ružomberok","Liptovské Revúce","Liptovské Revúce","Romantické Chalupy, s.r.o.",Bratislava
JumvGr4WHDN,house,234,unrenovated,2222.22,2025,234,1034,NULL,other,"not available","not available","not available","okres Žilina",Gbeľany,Gbeľany,"MGM reality",Žilina
JumL89VNCQA,house,120,"partially renovated",1291.67,1930,120,NULL,104,flat,"not available",NULL,NULL,"okres Ružomberok",Ružomberok,"Staré mesto","NajBývanie, s.r.o.",Ružomberok
JuE93RTyEY1k,house,200,unrenovated,999.50,1960,200,1318,200,NULL,NULL,NULL,NULL,"okres Ružomberok","Liptovská Lúžna","Liptovská Lúžna","Romantické Chalupy, s.r.o.",Bratislava
JuKa1Trlsqb,house,120,"partially renovated",1491.67,1974,120,860,115,flat,"not available",on-site,well,"okres Žilina","Dlhé Pole","Dlhé Pole","RENOME REAL",Žilina
JufqC5RH_Te,house,200,"partially renovated",990.00,1910,200,706,154,flat,"not available",NULL,"public water","okres Turčianske Teplice","Turčianske Teplice",Stred,"Ing.Zuzana Paverová","Turčianske Teplice"
JuFqa8ebzxy,house,146,"new construction",2362.95,2022,146,939,166,flat,A,NULL,NULL,"okres Žilina",Terchová,Terchová,"Georgi Conev",Žilina
JuWeOewD3Gg,house,336,"fully renovated",889.88,1938,336,1144,168,flat,"not available",NULL,well,"okres Liptovský Mikuláš",Dúbrava,Dúbrava,"FatraReal s. r. o.",Ružomberok
JuuJvOruCyE,house,200,"new construction",1649.50,2018,200,1039,155,NULL,A,NULL,NULL,"okres Martin",Martin,Sever,"Buby reality, s.r.o.",Žilina
Ju1Fv2ySoaS,house,130,unrenovated,1346.15,1985,130,2275,200,flat,B,on-site,"public water","okres Martin",Príbovce,Príbovce,"Realitná kancelária Kľúč",Trnava
JuFC-aJuKRa,house,672,unrenovated,126.49,2025,672,NULL,NULL,flat,"not available","not available","not available","okres Žilina","Malá Čierna","Malá Čierna","Reality Alpia",Martin
JuSs3N5i3rL,house,110,"new construction",2599.91,2025,110,375,110,NULL,"not available",on-site,well,"okres Liptovský Mikuláš","Liptovský Mikuláš",Benice,"TUreality s.r.o.",Žilina
JuKx19d2RCd,house,255,"fully renovated",NULL,1960,255,560,170,flat,"not available",on-site,"public water","okres Martin",Martin,Jahodníky,"Reality ASTORIA, s.r.o.",Martin
JuY-SPBwd8P,house,113,"new construction",3688.00,2020,113,NULL,159,NULL,A,NULL,NULL,"okres Liptovský Mikuláš",Smrečany,Smrečany,mojaRK,Bratislava
JuLWBKzZeJE,house,130,"new construction",1538.46,2025,130,471,135,"gently sloped","not available",NULL,"public water","okres Martin",Necpaly,Necpaly,"Reality MT s.r.o.",Martin
JuD8rezKquD,house,200,"fully renovated",799.50,1981,200,675,100,flat,"not available",NULL,NULL,"okres Turčianske Teplice","Turčianske Teplice",Diviaky,"AstonReal s.r.o.","Banská Bystrica"
JubU0eKdiVr,house,131,"new construction",3511.45,2025,131,849,131,flat,"not available",on-site,well,"okres Bytča",Bytča,"Hliník nad Váhom","TOCA, s.r.o. Realitná činnosť",Bytča
Jupwy58HyS3,house,120,"new construction",1991.67,2025,120,400,60,flat,A,NULL,NULL,"okres Liptovský Mikuláš","Liptovské Kľačany","Liptovské Kľačany","HD reality group s.r.o","Banská Bystrica"
Jux_9WVvE-Q,house,100,unrenovated,695.00,1930,100,765,100,NULL,NULL,NULL,NULL,"okres Turčianske Teplice","Horná Štubňa","Horná Štubňa","Romantické Chalupy, s.r.o.",Bratislava
JupBKdvb5-A,house,582,"partially renovated",311.00,1980,582,582,NULL,flat,"not available",on-site,well,"okres Liptovský Mikuláš","Liptovský Trnovec","Liptovský Trnovec","TUreality s.r.o.",Žilina
JuoQ_50mfjv,house,300,unrenovated,485.00,1970,300,390,120,flat,"not available",NULL,well,"okres Žilina",Stránske,Stránske,"Safe reality s. r. o.",Žilina
JuiW01vp_No,house,220,"new construction",1204.55,2008,220,700,128,NULL,"not available",NULL,NULL,"okres Čadca",Čadca,Čadečka,"MENÍME BÝVANIE",Čadca
JugGPssQETW,house,547,"fully renovated",639.67,2025,547,NULL,NULL,flat,"not available","not available","not available","okres Dolný Kubín",Zázrivá,Zázrivá,"Reality Alpia",Martin
JuVBGZswzO8,house,865,unrenovated,184.86,2025,865,NULL,NULL,"gently sloped","not available","not available","not available","okres Žilina","Rajecké Teplice","Rajecké Teplice","Reality Alpia",Martin
Ju6igj_0jNC,house,120,"fully renovated",NULL,1980,120,1515,168,"gently sloped","not available",NULL,"public water","okres Dolný Kubín","Oravský Podzámok","Oravský Podzámok","RK Dalmia s. r. o.","Dolný Kubín"
Jun0rUiHHId,house,200,"new construction",1300.00,2024,200,NULL,100,"gently sloped","not available",on-site,"public water","okres Martin","Turčiansky Peter","Turčiansky Peter","ALT REAL, s.r.o.",Martin
JuRC_sngF0m,house,178,"fully renovated",2010.67,2020,178,389,90,flat,A,NULL,NULL,"okres Žilina",Terchová,Terchová,"1. Reality Rent, s.r.o.",Žilina
Jupi9oHSOxK,house,154,unrenovated,227.27,1935,154,537,268,flat,"not available",on-site,"public water","okres Turčianske Teplice",Háj,Háj,"Reality férovo, s. r. o.",Šaľa
JuhlHrJa9hV,house,280,"fully renovated",1246.43,1972,280,724,100,flat,"not available",on-site,"public water","okres Martin",Martin,Stráne,"ALT REAL, s.r.o.",Martin
Jufj_0Gj-0k,house,140,"partially renovated",1485.71,1965,140,1620,180,NULL,"not available",NULL,NULL,"okres Liptovský Mikuláš",Ľubeľa,Ľubeľa,"OVERENÉ REALITY","Banská Bystrica"
JuqStupTj78,house,111,"partially renovated",1351.35,1966,111,258,112,flat,"not available",on-site,"public water","okres Žilina",Žilina,"Staré mesto","WFG reality, s.r.o.",Žilina
Juk3KAL7-tq,house,250,unrenovated,620.00,1995,250,203,97,flat,"not available",on-site,"public water","okres Martin",Podhradie,Podhradie,"Realitná kancelária DR, s.r.o.",Martin
JudpEUux9d7,house,120,unrenovated,NULL,1960,120,1760,140,"mostly flat","not available",NULL,NULL,"okres Liptovský Mikuláš","Závažná Poruba","Závažná Poruba",Limaxreal,"Liptovský Mikuláš"
Ju3LCu23qXh,house,133,"fully renovated",NULL,1957,133,635,133,flat,"not available",on-site,"public water","okres Ružomberok",Ružomberok,"Staré mesto","NajBývanie, s.r.o.",Ružomberok
Juwr4hT_Hw4,house,250,"partially renovated",956.00,1977,250,325,106,NULL,"not available",NULL,NULL,"okres Martin",Martin,Priekopa,"Reality AK, spol. s r.o.",Martin
JuLejb12kjD,house,170,unrenovated,994.12,1978,170,900,100,flat,"not available",on-site,"public water","okres Kysucké Nové Mesto",Povina,Povina,"Pro Real, s. r. o. realitná kancelária",Žilina
Ju3CARY9OXA,house,210,"partially renovated",1740.48,1974,210,1060,110,NULL,"not available",NULL,NULL,"okres Čadca",Čadca,Centrum,"HOLESTIAK.sk reality s.r.o.",Čadca
JuuOm3BAvYEs,house,810,"partially renovated",NULL,1900,810,2522,1018,flat,"not available",NULL,NULL,"okres Martin",NULL,NULL,"1. Reality Rent, s.r.o.",Žilina
JuiyrWA4fnU,house,200,"partially renovated",795.00,1971,200,347,81,flat,NULL,on-site,well,"okres Čadca",Turzovka,Závodie,"B10 Slovensko, a. s.",Žilina
JuwmzGWznze,house,95,"under construction",2098.95,1900,95,681,60,NULL,"not available",NULL,NULL,"okres Liptovský Mikuláš",Dúbrava,Dúbrava,"HALO reality, s.r.o.",Prievidza
JuZLXRA74dF,house,455,"partially renovated",NULL,1970,455,455,200,flat,NULL,NULL,well,"okres Martin",Ležiachov,Ležiachov,"B10 Slovensko, a. s.",Žilina
JucFteCcorV,house,233,"partially renovated",1369.10,1960,233,1483,150,flat,"not available",NULL,NULL,"okres Čadca",Raková,Raková,"1. Reality Rent, s.r.o.",Žilina
JutrNWqo1mF,house,86,"new construction",3790.70,2015,86,470,130,NULL,A,NULL,NULL,"okres Martin",Žabokreky,Žabokreky,"Real Reality Development s.r.o.",Martin
Ju91riyeIY0,house,140,"new construction",NULL,2023,140,484,118,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Svätý Kríž","Svätý Kríž","RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuJVlSLNzUp,house,370,"fully renovated",837.84,2000,370,1570,NULL,NULL,"not available",NULL,NULL,"okres Turčianske Teplice","Horná Štubňa","Horná Štubňa","TARGETreal s. r. o.",Žilina
JuDis4x18zz,house,180,"new construction",772.22,2025,180,NULL,100,"gently sloped",A,on-site,well,"okres Liptovský Mikuláš",Ižipovce,Ižipovce,"PT-com s. r. o.","Banská Bystrica"
JuDZksNmp-x,house,1000,"partially renovated",NULL,2008,1000,NULL,122,NULL,"in preparation",NULL,NULL,"okres Ružomberok","Liptovská Teplá","Liptovská Teplá","OVERENÉ REALITY","Banská Bystrica"
Ju-NcnxkRbA,house,72,"partially renovated",NULL,1976,72,507,94,NULL,"not available",NULL,NULL,"okres Ružomberok",Stankovany,Stankovany,"ARBIZ real estate & finance s. r. o.",Ružomberok
JuCQvl5wSHc,house,130,"partially renovated",607.69,1957,130,1600,110,NULL,"not available",NULL,NULL,"okres Čadca",Korňa,Korňa,"Ing. Marcela Pišteková",Turzovka
JuMul7PwvM2d,house,126,"new construction",NULL,2025,126,295,108,"mostly flat",NULL,NULL,NULL,"okres Žilina",Višňové,Višňové,"Realitná kancelária RED, s.r.o.",Žilina
Ju8Q97pjRsq,house,280,"fully renovated",NULL,1989,280,735,NULL,NULL,B,NULL,NULL,"okres Ružomberok",Ivachnová,Ivachnová,"OVERENÉ REALITY","Banská Bystrica"
Ju2NkOjuxZI,house,130,"new construction",2230.69,2016,130,365,NULL,other,"not available","not available","not available","okres Žilina","Rajecké Teplice","Rajecké Teplice","MGM reality",Žilina
JuJ5uCQt9op,house,230,"partially renovated",821.74,1990,230,872,103,flat,"not available",NULL,NULL,"okres Žilina","Lietavská Svinná-Babkov","Lietavská Svinná-Babkov","RIEŠIME BÝVANIE",Bratislava
JurLHZvtaEy,house,97,"fully renovated",2926.58,1965,97,490,97,"gently sloped","not available",NULL,NULL,"okres Martin",Martin,Stred,"AstonReal s.r.o.","Banská Bystrica"
