offer_id,property_type,area,condition,price_m2,built_in,house_area,land_area,built_up_area,terrain,energy_certificate,electricity,water,location_district,location_city,location_area,agency,office_city
Juhkwp9VTaS,house,190,"partially renovated",2415.79,2011,190,1780,105,NULL,"not available",NULL,NULL,"okres Žilina",Stránske,Stránske,"TUreality s.r.o.",Žilina
JuBfL7XLVQ9,house,200,unrenovated,595.00,1965,200,893,220,flat,"not available",on-site,"public water","okres Turčianske Teplice",Rudno,Rudno,"Realitná kancelária DR, s.r.o.",Martin
JuKrQbUiYIO,house,313,unrenovated,412.14,1965,313,783,273,flat,"not available",NULL,NULL,"okres Liptovský Mikuláš",Pribylina,Pribylina,"RIEŠIME BÝVANIE",Bratislava
JudHzue4NhQ,house,755,"partially renovated",470.20,1980,755,NULL,NULL,NULL,"not available",NULL,NULL,"okres Dolný Kubín",Zázrivá,Zázrivá,"TUreality s.r.o.",Žilina
JuHkAYV6JoA,house,280,"partially renovated",1353.57,1997,280,670,140,flat,"not available",on-site,"public water","okres Liptovský Mikuláš",Bobrovec,Bobrovec,"GERT , s.r.o.","Liptovský Mikuláš"
JurDwbnUMLP,house,347,unrenovated,596.54,2025,347,NULL,NULL,flat,"not available","not available",well,"okres Liptovský Mikuláš",Vlachy,Vlachy,"Reality Alpia",Martin
JuZoVvDAQMx,house,170,unrenovated,558.82,2025,170,1220,104,flat,"not available",on-site,"public water","okres Čadca","Dlhá nad Kysucou","Dlhá nad Kysucou","WFG reality, s.r.o.",Žilina
JujkenW1_dD,house,85,"partially renovated",1587.06,1960,85,3083,110,NULL,"not available",NULL,NULL,"okres Turčianske Teplice",Sklené,Sklené,"DOBRÉ REALITY s.r.o.",Prievidza
JuIIElHC0cU,house,250,"fully renovated",1596.00,1960,250,260,147,flat,"not available",NULL,well,"okres Žilina",Žilina,"Malá Praha","1. Reality Rent, s.r.o.",Žilina
JuOwPTDIr94,house,200,"partially renovated",1065.00,1900,200,405,115,NULL,"not available",NULL,NULL,"okres Martin",Martin,Priekopa,"RE/MAX Slovakia",Bratislava
Jug496eX3Gs,house,240,unrenovated,354.17,1890,240,1881,270,NULL,"not available",NULL,NULL,"okres Turčianske Teplice",Mošovce,Mošovce,"Real Reality Development s.r.o.",Martin
JuTIxLYmsaK,house,400,"partially renovated",312.50,2025,400,NULL,NULL,flat,"not available","not available",well,"okres Ružomberok",Hubová,Hubová,"Reality Alpia",Martin
JuOddvSg_iO,house,66,"new construction",NULL,2020,66,462,75,flat,A,NULL,NULL,"okres Čadca",Zákopčie,Zákopčie,"1. Reality Rent, s.r.o.",Žilina
Ju_f1P774-u,house,100,unrenovated,800.00,1950,100,570,100,"gently sloped","not available",NULL,"public water","okres Žilina",Terchová,Terchová,"ALT REAL, s.r.o.",Martin
Ju0LSKjfViu,house,150,"fully renovated",2193.33,2019,150,1000,150,flat,NULL,NULL,"public water","okres Dolný Kubín",Párnica,Párnica,"B10 Slovensko, a. s.",Žilina
JuFJihogKZr,house,134,"new construction",2574.63,2015,134,1598,109,NULL,B,NULL,NULL,"okres Martin","Turčianske Kľačany","Turčianske Kľačany","Reality Turiec s.r o.",Martin
Juw-GSUdmIG,house,90,unrenovated,NULL,1950,90,NULL,120,flat,"not available",on-site,"public water","okres Žilina",Žilina,Bytčica,"Mgr. Nina Herčková, RSc.",Žilina
Jucdr_EmdH7,house,365,unrenovated,232.88,1960,365,377,80,flat,"not available",on-site,"public water","okres Žilina","Teplička nad Váhom","Teplička nad Váhom","DRR INVEST, s. r. o.","Horný Hričov"
Ju5C1H5Abo0,house,134,unrenovated,1231.34,1960,134,1488,134,"gently sloped","not available",on-site,"public water","okres Ružomberok",Ružomberok,Hrboltová,"NajBývanie, s.r.o.",Ružomberok
Ju-cAw3rC7V,house,40,unrenovated,1225.00,1945,40,297,40,NULL,NULL,NULL,NULL,"okres Martin",Vrícko,Vrícko,"Romantické Chalupy, s.r.o.",Bratislava
JuRyz27itEW,house,347,unrenovated,596.54,2025,347,NULL,NULL,flat,"not available","not available",well,"okres Liptovský Mikuláš",Vlachy,Vlachy,"Reality Alpia",Martin
JuPc1_kIcTs,house,100,unrenovated,1290.00,1900,100,800,85,other,"not available",on-site,well,"okres Martin",Turany,Turany,"RE/MAX Slovakia",Bratislava
JuwEY-XQ--d,house,1141,"fully renovated",NULL,2025,1141,NULL,NULL,flat,A,"not available",well,"okres Liptovský Mikuláš",Vavrišovo,Vavrišovo,"Reality Alpia",Martin
JuCDqPuA034,house,150,unrenovated,1020.00,1900,150,812,172,flat,"not available",on-site,well,"okres Turčianske Teplice",Mošovce,Mošovce,"RE/MAX Slovakia",Bratislava
JuhhjX7seSg,house,181,"new construction",1519.84,2023,181,677,161,"gently sloped",A,NULL,well,"okres Žilina",Žilina,Trnové,"Reality IQ, s.r.o.",Žilina
Ju9MyQ5uKi3,house,173,"new construction",NULL,1991,173,900,173,flat,"not available",NULL,NULL,"okres Žilina","Rajecké Teplice","Rajecké Teplice","AnoReal, s.r.o.",Stráňavy
JuOzT9FClFp,house,300,unrenovated,276.67,1941,300,1267,314,"mostly flat","not available",on-site,"public water","okres Martin",Záborie,Záborie,"Like Reality s.r.o.","Považská Bystrica"
