location_district,location_area,property_type,condition,rent_count,sale_count,rent_share,min_ptr,avg_ptr,max_ptr,max_price_for_ptr_15,max_price_for_ptr_20
"okres Žilina",Vlčince,"1-room apartment","new construction",32,65,0.3299,15.030582,15.1845665000,15.338551,NULL,3233.98
"okres Žilina","Staré mesto","1-room apartment","partially renovated",51,118,0.3018,35.723106,35.7231060000,35.723106,NULL,NULL
"okres Žilina","Rajecké Teplice","2-room apartment","new construction",2,27,0.0690,20.222933,21.9888666000,27.000000,NULL,NULL
"okres Ružomberok",Baničné,"2-room apartment","partially renovated",1,19,0.0500,22.575328,22.5753280000,22.575328,NULL,NULL
"okres Liptovský Mikuláš","Staré mesto","3-room apartment","fully renovated",17,55,0.2361,21.869595,28.1690942500,35.000000,NULL,NULL
"okres Martin",Sever,"2-room apartment","partially renovated",11,31,0.2619,14.917106,19.4735315000,27.956643,1696.97,1756.76
"okres Martin",Stred,"2-room apartment",unrenovated,48,58,0.4528,21.329107,23.1266255000,24.924144,NULL,NULL
"okres Liptovský Mikuláš","Vrbica - Nábrežie","2-room apartment","fully renovated",5,20,0.2000,22.089136,28.8024876667,37.393257,NULL,NULL
"okres Martin",Sučany,house,"new construction",3,36,0.0769,11.591218,17.2249150000,22.858612,1499.44,1499.44
"okres Žilina",Vlčince,"3-room apartment","partially renovated",32,65,0.3299,16.433305,18.9889875000,21.727083,NULL,2607.25
"okres Martin",Ľadoveň,"3-room apartment","partially renovated",6,19,0.2400,14.653876,18.0214910000,21.463169,1535.14,1535.14
"okres Námestovo","Oravské Veselé","3-room apartment","new construction",2,6,0.2500,23.361545,25.7744500000,28.187355,NULL,NULL
"okres Žilina",Trnové,house,"fully renovated",3,23,0.1154,14.945002,14.9450020000,14.945002,2500.00,2500.00
"okres Liptovský Mikuláš","Liptovská Mara - Tatralandia","2-room apartment","new construction",1,14,0.0667,18.576994,20.1250815000,21.673169,NULL,3428.57
"okres Martin",Záturčie,"3-room apartment","fully renovated",7,29,0.1944,15.008359,17.5684810000,20.156904,NULL,2312.40
"okres Martin",Ľadoveň,"3-room apartment","fully renovated",6,19,0.2400,26.079477,26.4864500000,26.893423,NULL,NULL
"okres Žilina",Solinky,"3-room apartment","partially renovated",5,12,0.2941,21.114653,21.1146530000,21.114653,NULL,NULL
"okres Martin",Sever,"3-room apartment","partially renovated",11,31,0.2619,23.015514,24.1424350000,26.384641,NULL,NULL
"okres Žilina","Staré mesto",house,"partially renovated",51,118,0.3018,21.866505,33.2538025000,44.641100,NULL,NULL
"okres Liptovský Mikuláš",Palúdzka,"2-room apartment","new construction",14,7,0.6667,17.175011,19.9357084444,25.600000,NULL,3210.24
"okres Žilina",Solinky,"3-room apartment","fully renovated",5,12,0.2941,18.053148,19.0860177500,20.144839,NULL,2685.71
"okres Martin",Priekopa,"4-room apartment",unrenovated,8,52,0.1333,17.723333,17.7233330000,17.723333,NULL,1488.76
"okres Martin",Sever,"studio apartment",unrenovated,11,31,0.2619,19.683027,19.6830270000,19.683027,NULL,3080.00
"okres Martin",Záturčie,house,"new construction",7,29,0.1944,18.968227,18.9682270000,18.968227,NULL,680.58
"okres Žilina","Staré mesto","2-room apartment",unrenovated,51,118,0.3018,22.203302,22.2033020000,22.203302,NULL,NULL
"okres Martin",Stred,"1-room apartment","fully renovated",48,58,0.4528,17.679116,19.0140638000,21.016933,NULL,3152.54
"okres Martin",Záturčie,"1-room apartment","partially renovated",7,29,0.1944,22.615198,22.6151980000,22.615198,NULL,NULL
"okres Žilina","Staré mesto",house,"fully renovated",51,118,0.3018,11.634338,15.1931065000,18.751875,1551.09,2500.00
"okres Martin",Záturčie,"3-room apartment","new construction",7,29,0.1944,25.695799,25.6957990000,25.695799,NULL,NULL
"okres Žilina",Solinky,"2-room apartment","fully renovated",5,12,0.2941,21.135266,21.2554350000,21.375604,NULL,NULL
"okres Žilina",Hliny,"3-room apartment","fully renovated",24,37,0.3934,17.547858,23.7144826667,33.189379,NULL,2834.33
"okres Žilina",Vlčince,"4-room apartment","fully renovated",32,65,0.3299,22.168615,23.5456431250,25.743634,NULL,NULL
"okres Čadca",Kalinov,"2-room apartment","new construction",3,4,0.4286,11.245162,12.5213590000,14.203330,1859.50,1859.50
"okres Žilina","Teplička nad Váhom",house,"fully renovated",1,13,0.0714,10.857610,14.4959540000,18.896436,1395.42,2428.57
"okres Bytča","Veľká Bytča",house,"new construction",28,8,0.7778,31.755761,33.6604140000,35.565067,NULL,NULL
"okres Žilina",Hliny,"4-room apartment","new construction",24,37,0.3934,12.423983,12.4239830000,12.423983,1783.09,1783.09
"okres Bytča","Veľká Bytča","2-room apartment","fully renovated",28,8,0.7778,13.395005,17.3782990667,20.622932,2343.59,2343.59
"okres Martin",Turany,"1-room apartment","partially renovated",1,24,0.0400,17.702121,19.1391265000,20.576132,NULL,2236.84
"okres Žilina",Závodie,house,"fully renovated",3,23,0.1154,26.433974,28.3987180000,30.363462,NULL,NULL
"okres Liptovský Mikuláš",Palúdzka,"3-room apartment","partially renovated",14,7,0.6667,14.669975,17.6822095000,20.694444,1862.50,1862.50
"okres Martin",Ľadoveň,"4-room apartment","partially renovated",6,19,0.2400,21.043349,21.8125240000,22.581699,NULL,NULL
"okres Kysucké Nové Mesto",Kamence,"3-room apartment","new construction",4,30,0.1176,15.025801,15.0258010000,15.025801,NULL,2964.29
"okres Žilina",Vlčince,"studio apartment","new construction",32,65,0.3299,19.666667,20.5919040000,21.517141,NULL,4720.00
"okres Martin","Karvaša a Bláhovca",house,"new construction",2,15,0.1176,1.679587,2.2007650000,2.721943,260.00,260.00
"okres Liptovský Mikuláš","Vrbica - Nábrežie","2-room apartment",unrenovated,5,20,0.2000,12.987773,12.9877730000,12.987773,1901.41,1901.41
"okres Dolný Kubín","Veľký Bysterec","3-room apartment","fully renovated",5,11,0.3125,20.339348,23.0352795000,25.750646,NULL,NULL
"okres Kysucké Nové Mesto",Sídlisko,"2-room apartment","fully renovated",8,13,0.3810,23.681904,24.3494170000,25.016930,NULL,NULL
"okres Čadca",Kyčerka,"3-room apartment","fully renovated",4,8,0.3333,18.705574,18.7055740000,18.705574,NULL,2000.00
"okres Čadca",Čierne,house,unrenovated,2,10,0.1667,28.288072,28.2880720000,28.288072,NULL,NULL
"okres Martin",Košúty,"3-room apartment","fully renovated",6,15,0.2857,17.488632,17.6252620000,17.761892,NULL,2031.25
"okres Žilina",Hliny,"2-room apartment","new construction",24,37,0.3934,24.033030,25.4682443333,27.546997,NULL,NULL
"okres Dolný Kubín",Stred,"2-room apartment","new construction",3,11,0.2143,31.469314,31.4693140000,31.469314,NULL,NULL
"okres Žilina",Bôrik,"2-room apartment","development project",7,25,0.2188,32.338200,32.3382000000,32.338200,NULL,NULL
"okres Liptovský Mikuláš",Stošice,"1-room apartment","new construction",1,6,0.1429,18.426529,18.4265290000,18.426529,NULL,3325.62
"okres Čadca",Žarec,"3-room apartment","fully renovated",5,11,0.3125,18.523451,18.5234510000,18.523451,NULL,2069.44
