offer_id,offer_type,property_type,condition,location_district,location_city,location_area,agency,office_city
JunJu6IyBiX,sale,land,NULL,"okres Turčianske Teplice",Sklené,Sklené,"TARGETreal s. r. o.",Žilina
JuhDFgB8Eya,sale,land,unrenovated,"okres Kysucké Nové Mesto",Povina,Povina,"1. Reality Rent, s.r.o.",Žilina
Jukxm6yZ0hf6,sale,land,NULL,"okres Čadca",Skalité,Skalité,"BeMi realitná kancelária",Nitra
JuQnOzH4Mve,sale,land,unrenovated,"okres Žilina",Svederník,Svederník,"MGM reality",Žilina
JuO__97iq4d,sale,land,"new construction","okres Žilina","Lietavská Svinná-Babkov","Lietavská Svinná-Babkov","RS Mansory s.r.o.",Bratislava
JukIX3v-4aJ,sale,land,unrenovated,"okres Žilina",Kľače,Kľače,NULL,NULL
Ju5L-boRlBV,sale,land,NULL,"okres Čadca",Podvysoká,Podvysoká,"HALO reality, s.r.o.",Prievidza
JuxLDdGxofv,sale,land,NULL,"okres Liptovský Mikuláš",Kvačany,Kvačany,NULL,NULL
Jur27j-ejmc,sale,land,NULL,"okres Martin",Martin,Záturčie,"BALAŽI REAL ESTATE s.r.o.",Topoľčany
Juxv4BCWFjN,sale,land,NULL,"okres Liptovský Mikuláš",Hybe,Hybe,"Realitné kancelárie SR",Bratislava
JuH2wdrPPMN,sale,land,NULL,"okres Žilina",Hôrky,Hôrky,NULL,NULL
JuoLQW0Li8l,sale,land,NULL,"okres Žilina",Bitarová,Bitarová,"Realitka pre každého",Žilina
JuI-7Aiqe6M,sale,land,unrenovated,"okres Čadca","Vysoká nad Kysucou","Vysoká nad Kysucou","Ing. Marcela Pišteková",Turzovka
Ju1V4Qfns7o,sale,land,NULL,"okres Liptovský Mikuláš","Liptovské Beharovce","Liptovské Beharovce","OVERENÉ REALITY","Banská Bystrica"
JuApbqYiTwl,sale,land,NULL,"okres Martin","Dolný Kalník","Dolný Kalník","Realitná kancelária",Bratislava
JuXs9XHVo90,sale,land,NULL,"okres Martin",Vrútky,"Karvaša a Bláhovca","Realitná kancelária",Bratislava
JuSvmhJEqG1,sale,land,NULL,"okres Martin",Vrútky,"Karvaša a Bláhovca","FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuYB0zOc7gD,sale,land,NULL,"okres Ružomberok","Liptovské Sliače","Liptovské Sliače",NULL,NULL
JuXWDVHuKu7,sale,land,NULL,"okres Bytča",Petrovice,Petrovice,"B10 Slovensko, a. s.",Žilina
Jui1yUD8ZRT,sale,land,NULL,"okres Čadca",Turzovka,Predmier,"SLNOVRAT, s.r.o.",Olešná
Ju8HOtKyMF8,sale,land,unrenovated,"okres Žilina",Višňové,Višňové,"Safe reality s. r. o.",Žilina
JuOZEwkJjt3,sale,land,NULL,"okres Dolný Kubín","Dolný Kubín",Mokraď,"RK Dalmia s. r. o.","Dolný Kubín"
JukvtXQXqqN,sale,land,NULL,"okres Žilina",Višňové,Višňové,"Mgr. Nina Herčková, RSc.",Žilina
JuIyQ6FpRLK,sale,land,NULL,"okres Námestovo",Vasiľov,Vasiľov,"RK Dalmia s. r. o.","Dolný Kubín"
Ju1cmZVZL9p,sale,land,NULL,"okres Martin",Martin,NULL,"BALAŽI REAL ESTATE s.r.o.",Topoľčany
JuFjy1TVvsF,sale,land,NULL,"okres Bytča",NULL,NULL,"B10 Slovensko, a. s.",Žilina
Ju_utm8DAV9,sale,land,unrenovated,"okres Čadca",Čadca,Rieka,NULL,NULL
JuaoRgRgfTM,sale,land,NULL,"okres Kysucké Nové Mesto",Nesluša,Nesluša,"B10 Slovensko, a. s.",Žilina
JuVIY0GAADR,sale,land,NULL,"okres Ružomberok","Liptovské Sliače","Liptovské Sliače",NULL,NULL
JuC0KIbI5oB,sale,land,unrenovated,"okres Čadca",Raková,Raková,"1. Reality Rent, s.r.o.",Žilina
