offer_id,property_type,condition,price_m2,location_district,location_city,location_area
Ju0iFsZ1mnv,"2-room apartment","new construction",3968.25,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Ondrašová"
JuN4KXjUyk-,"4-room apartment","new construction",NULL,"okres Čadca",Čadca,Podzávoz
JuWV1dgtiBd,"holiday apartment","new construction",4841.63,"okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová
Judmv08qh2A,"4-room apartment",unrenovated,1416.67,"okres Žilina",Žilina,"Staré mesto"
Ju_Lr-2Vc09,"1-room apartment","partially renovated",2941.18,"okres Liptovský Mikuláš","Liptovský Hrádok",Dovalovo
JubDtFpPZPz,"holiday apartment","under construction",4459.46,"okres Turčianske Teplice","Turčianske Teplice",Stred
Ju46Wlvz4BP,"2-room apartment","new construction",2170.32,"okres Čadca",Čadca,Kyčerka
Jus8fVVapj9,"3-room apartment","under construction",2714.34,"okres Martin",Martin,Jahodníky
JurldwLKNhM,"1-room apartment","fully renovated",1916.67,"okres Liptovský Mikuláš","Partizánska Ľupča","Partizánska Ľupča"
JulollxgJp5,"2-room apartment","under construction",2707.60,"okres Martin",Martin,Jahodníky
JupBjnV0coU,"3-room apartment","fully renovated",NULL,"okres Čadca",Raková,Raková
JuqAM-ZO9ir,"2-room apartment","new construction",3563.64,"okres Liptovský Mikuláš","Malé Borové","Malé Borové"
Ju5VjRRX_4J,"3-room apartment","partially renovated",NULL,"okres Žilina",Žilina,Hliny
Juarr5O2upK,"1-room apartment","under construction",1420.21,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JuXRtZdfweI,"4-room apartment","partially renovated",2189.35,"okres Martin",Martin,Ľadoveň
JuNZupA7Ru4,"2-room apartment","new construction",3082.34,"okres Žilina","Rajecké Teplice","Rajecké Teplice"
JumbMyGo4iI,"2-room apartment","fully renovated",3816.13,"okres Ružomberok",Bešeňová,Bešeňová
JuaCjfZIx81,"2-room apartment","under construction",2908.31,"okres Ružomberok",Ružomberok,Roveň
JuUnD0myJmK,"2-room apartment","partially renovated",2576.57,"okres Žilina",Žilina,Hájik
JuIP59md355,"4-room apartment","under construction",2812.66,"okres Ružomberok",Ružomberok,Roveň
JuIh9K2txJ3,"3-room apartment","new construction",1455.00,"okres Námestovo",Zubrohlava,Zubrohlava
Jub5nNi4yTF,"2-room apartment","partially renovated",2887.10,"okres Žilina",Žilina,Vlčince
Juqj8-BDIgQ,"3-room apartment","new construction",1614.75,"okres Námestovo","Oravské Veselé","Oravské Veselé"
JuQfQh_4sSF,"2-room apartment","new construction",NULL,"okres Žilina",Žilina,Hliny
JujYXXx5gXi,"3-room apartment","new construction",3223.45,"okres Žilina",Žilina,"Staré mesto"
JugTLMsHTVi,"2-room apartment",unrenovated,2211.54,"okres Martin",Martin,Podháj
Jul7be3Lkz5,"holiday apartment","new construction",4230.77,"okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová
JuPT1z2mBzV,"1-room apartment","partially renovated",3722.19,"okres Žilina",Žilina,Vlčince
Ju4hZgzLszu,"2-room apartment","partially renovated",2000.00,"okres Tvrdošín",Trstená,Trstená
JuKlHRPhAEF,"2-room apartment","fully renovated",2592.98,"okres Martin",Vrútky,"Horné Vrútky"
JuvFESSKGWN,"3-room apartment","partially renovated",1779.07,"okres Martin",Vrútky,"Horné Vrútky"
JusgW9odCAS,"4-room apartment",unrenovated,1488.76,"okres Martin",Martin,Priekopa
Juvk9S_5ltU,"2-room apartment",unrenovated,2592.59,"okres Žilina",Žilina,Hliny
JuDCMQupxo0,"2-room apartment","partially renovated",NULL,"okres Tvrdošín",Tvrdošín,Medvedzie
JufAeKZk5m-,"2-room apartment","partially renovated",2545.45,"okres Žilina",Bitarová,Bitarová
JuNguQDV0Zn,"2-room apartment","fully renovated",2499.04,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny
JuKOtZwcbir-,"holiday apartment","fully renovated",3357.40,"okres Ružomberok",Ružomberok,Hrabovo
JuMm4AW_gBf,"5+ room apartment","partially renovated",2326.67,"okres Žilina","Rajecké Teplice","Rajecké Teplice"
JuSYwKOlQ-6,"3-room apartment","new construction",NULL,"okres Dolný Kubín","Dolný Kubín",NULL
JuZqtWo-t_S,"holiday apartment","new construction",4068.97,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia"
JuJCzmrTicR,"2-room apartment","new construction",3250.00,"okres Martin",Martin,Záturčie
JumsfvMXhg-,"3-room apartment",unrenovated,2283.58,"okres Žilina",Žilina,Solinky
JuymkoAFG_6,"2-room apartment",unrenovated,2170.00,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
JucOec67NRR,"1-room apartment",unrenovated,3030.30,"okres Tvrdošín",Nižná,Nižná
JuyOHLJxsdS,"3-room apartment","fully renovated",3031.25,"okres Žilina",Žilina,"Staré mesto"
Ju_yl2A922o,"2-room apartment",unrenovated,1366.67,"okres Turčianske Teplice","Turčianske Teplice",Stred
JuDoLB83xqT,"3-room apartment",unrenovated,1088.46,"okres Liptovský Mikuláš",Malužiná,Malužiná
JuQvJ7BykSU,"2-room apartment",unrenovated,2222.00,"okres Martin",Martin,Sever
JuHLqjLk9w7,"2-room apartment","fully renovated",2021.80,"okres Čadca",Oščadnica,Oščadnica
Juhlf1Su_tu,"studio apartment","partially renovated",3702.94,"okres Žilina",Žilina,Závodie
Ju4aGAgIjVo,"3-room apartment","partially renovated",NULL,"okres Martin",Martin,Stred
Ju4nG9JDEKF,"3-room apartment","partially renovated",NULL,"okres Martin",Martin,Ľadoveň
JuJrBHwvfXe,"holiday apartment","new construction",5217.39,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
JuVk3AeemQd,"3-room apartment","under construction",2845.34,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JucIMMNEosV,"3-room apartment","partially renovated",1932.84,"okres Ružomberok",Ružomberok,Baničné
Ju2EMTkOn53,"2-room apartment","new construction",3555.74,"okres Žilina",Žilina,Vlčince
JuYbhGZmbC7,"2-room apartment",unrenovated,974.66,"okres Ružomberok","Liptovská Lúžna","Liptovská Lúžna"
Ju59v0S7Gi9,"3-room apartment",unrenovated,1740.26,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny
Ju4SvmwHoAg,"3-room apartment","new construction",2474.59,"okres Ružomberok","Liptovská Teplá","Liptovská Teplá"
JuNRFKe9B5N6,"4-room apartment","new construction",1863.00,"okres Martin",Sučany,Sučany
JuG99-vnL8U,"4-room apartment","new construction",NULL,"okres Martin",Martin,Košúty
JuvzAFSDr4x,"3-room apartment","new construction",NULL,"okres Žilina",Žilina,Bôrik
Jul_OGhX8QT,"3-room apartment","partially renovated",2833.33,"okres Ružomberok",Ružomberok,Hrabovo
Ju7UFzA6VtL,"2-room apartment","new construction",3903.77,"okres Žilina",Žilina,"Staré mesto"
Ju4Vd5pUjXm,"3-room apartment","partially renovated",2307.68,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JuA1jb9HH8o,"2-room apartment","partially renovated",2259.79,"okres Ružomberok",Ružomberok,"Staré mesto"
Ju9k2e7JWOr,"1-room apartment","partially renovated",2236.84,"okres Martin",Turany,Turany
JuXNm9NwSwi,"3-room apartment","new construction",2932.00,"okres Žilina",Žilina,Hájik
JuOnQ9rym-h,"4-room apartment","partially renovated",2517.24,"okres Žilina",Žilina,"Staré mesto"
JuFNpzHutiG,"3-room apartment","partially renovated",2569.23,"okres Žilina",Žilina,Hliny
JuZ8UmPHnMd,"2-room apartment","fully renovated",1895.12,"okres Čadca",Staškov,Staškov
JuWLCChouGh,"3-room apartment","new construction",1960.78,"okres Martin",Sučany,Sučany
JuS6qI_HXQ_,"4-room apartment","partially renovated",2670.34,"okres Žilina",Žilina,Bôrik
JuvIFSCKDaN,"2-room apartment","fully renovated",NULL,"okres Martin",Martin,Priekopa
JuJITXm9Zsf,"3-room apartment","fully renovated",NULL,"okres Liptovský Mikuláš","Liptovská Kokava","Liptovská Kokava"
JueaFakyLvY,"3-room apartment","development project",3628.76,"okres Žilina",Žilina,"Staré mesto"
Ju1F-eiNHx4,"3-room apartment","fully renovated",2694.12,"okres Žilina",Žilina,"Staré mesto"
JuL3MT7o1WL,"2-room apartment","fully renovated",2331.67,"okres Martin",Martin,Stred
JuhigkHR5x2,"4-room apartment","new construction",NULL,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
Ju5eub1EsyB,"3-room apartment","new construction",NULL,"okres Žilina",Žilina,Bôrik
JuDetN4gLGy,"holiday apartment","new construction",5232.56,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
JuxJN0jj6xv,"1-room apartment","new construction",3414.06,"okres Martin",Martin,Tomčany
Ju9zHP-4dng,"3-room apartment","partially renovated",2868.85,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny
JuTy8iCXD6j,"2-room apartment","new construction",3357.41,"okres Martin",Martin,Tomčany
JuGJ3bcseaG,"1-room apartment","partially renovated",2341.22,"okres Čadca",Čadca,Žarec
JuI3iwt9MRR,"studio apartment","new construction",3996.00,"okres Dolný Kubín","Dolný Kubín",Brezovec
JumSU3uP1r7,"holiday apartment","partially renovated",3000.00,"okres Čadca",Oščadnica,Oščadnica
JuCyeszuCeF,"3-room apartment",unrenovated,1723.08,"okres Čadca",Čadca,"Sídlisko 3"
JuDZ3hA20uQ,"4-room apartment","partially renovated",1831.83,"okres Dolný Kubín",Zázrivá,Zázrivá
Ju1Cm4LoVXM,"studio apartment","new construction",1815.80,"okres Ružomberok",Ružomberok,"Staré mesto"
JuOOVFGvzwX,"2-room apartment","new construction",2731.71,"okres Ružomberok","Liptovská Teplá","Liptovská Teplá"
JuuuYAHYGX8,"2-room apartment","development project",2716.67,"okres Dolný Kubín","Dolný Kubín",Brezovec
Ju5R24o6GQR,"3-room apartment",unrenovated,2094.10,"okres Dolný Kubín","Dolný Kubín",Brezovec
Ju8_AnIgnrX,"2-room apartment","partially renovated",2092.05,"okres Čadca",Čadca,Žarec
Juo19uqWHqv,"3-room apartment","fully renovated",2088.24,"okres Martin",Vrútky,"Horné Vrútky"
JuEVg7e9gge,"3-room apartment",unrenovated,2070.11,"okres Martin",Martin,Záturčie
Juv94EKwgh6,"3-room apartment","new construction",2730.50,"okres Ružomberok","Liptovská Teplá","Liptovská Teplá"
JuhxRDKuEfi,"2-room apartment","new construction",2620.69,"okres Ružomberok","Liptovská Teplá","Liptovská Teplá"
JuRJykTdszG,"4-room apartment","fully renovated",1799.33,"okres Martin",Sučany,Sučany
JuDJ_hnDscM,"2-room apartment","fully renovated",2331.67,"okres Martin",Martin,Stred
JulzEF1iR1R,"2-room apartment","fully renovated",2234.96,"okres Žilina",Žilina,"Staré mesto"
Jus2f1I5Shb,"3-room apartment","partially renovated",2426.47,"okres Žilina",Žilina,Hliny
Ju12shpSBga,"3-room apartment","new construction",4369.64,"okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová
JuXnw8EKWYI,"3-room apartment","new construction",3376.34,"okres Žilina",Žilina,"Staré mesto"
JuJM07aUO0O,"5+ room apartment","partially renovated",2990.00,"okres Žilina",Žilina,Hliny
JuVtdEgquxp,"3-room apartment","new construction",2067.57,"okres Dolný Kubín","Dolný Kubín",Brezovec
JuP6qyzD4rb,"holiday apartment","new construction",3997.50,"okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová
JuP-xJVwuxh,"3-room apartment","new construction",1708.73,"okres Martin","Košťany nad Turcom","Košťany nad Turcom"
JuxYMJGR4NW,"1-room apartment","partially renovated",2125.28,"okres Ružomberok",Ružomberok,Baničné
Jubx4f_wHQY,"3-room apartment",unrenovated,NULL,"okres Žilina",Žilina,Vlčince
JuBjT8MmAiR,"3-room apartment","under construction",2874.81,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
Ju8qAJxGCh0,"3-room apartment","partially renovated",NULL,"okres Martin",Martin,Záturčie
Ju-DovddXIY,"2-room apartment",unrenovated,1901.41,"okres Liptovský Mikuláš","Liptovský Mikuláš","Vrbica - Nábrežie"
Jum2zoM9dK0,"2-room apartment","new construction",3731.67,"okres Žilina",Žilina,Vlčince
JuXQxA2vSe6,"2-room apartment","fully renovated",3785.71,"okres Žilina",Žilina,Vlčince
Jufd89QZCSO,"holiday apartment","new construction",NULL,"okres Liptovský Mikuláš","Pavčina Lehota","Pavčina Lehota"
Ju2hVjHchsA,"2-room apartment","new construction",2902.19,"okres Martin",Martin,Stred
Ju9Zm5FKDvx,"2-room apartment","fully renovated",2929.31,"okres Žilina",Žilina,Hliny
Ju_q6RS-fKo,"3-room apartment","new construction",1948.31,"okres Námestovo","Oravské Veselé","Oravské Veselé"
Jukc07qMxPz,"2-room apartment","new construction",3543.64,"okres Žilina",Žilina,Bytčica
JuZPdvGyLq9,"3-room apartment","fully renovated",1956.41,"okres Žilina",Žilina,"Staré mesto"
Ju8xVwtKo3R,"1-room apartment",unrenovated,NULL,"okres Námestovo",Námestovo,Stred
JuzzHVLtL7p,"3-room apartment","fully renovated",2246.36,"okres Tvrdošín",Tvrdošín,Medvedzie
Ju7J-Smt48P,"2-room apartment","new construction",2988.10,"okres Tvrdošín",Trstená,Trstená
JuRuuJuhfW8,"3-room apartment","partially renovated",1610.59,"okres Martin",Vrútky,"Horné Vrútky"
JuZK70yldNu,"1-room apartment","new construction",3461.54,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia"
JuzSqFzglhO,"3-room apartment","new construction",NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JuzmSjYalDj,"3-room apartment","partially renovated",1608.05,"okres Martin",Vrútky,"Horné Vrútky"
Ju6pkdVbtRp,"3-room apartment","fully renovated",NULL,"okres Ružomberok",Ružomberok,Klačno
JudnXUbr0fH,"2-room apartment","under construction",2304.82,"okres Liptovský Mikuláš",Východná,Východná
JuBIZmW7FwQ,"3-room apartment","new construction",2422.54,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
JuPDRHaKHGy,"2-room apartment","fully renovated",2830.51,"okres Žilina",Žilina,Hliny
JuD8hcoEgT4,"2-room apartment","new construction",3229.73,"okres Žilina",Žilina,Vlčince
JukBZSTP0a5,"2-room apartment","new construction",3180.00,"okres Turčianske Teplice","Turčianske Teplice",Stred
Ju1AcChzPhX,"3-room apartment","new construction",1912.90,"okres Liptovský Mikuláš","Vyšná Boca","Vyšná Boca"
JuE-VhHgCax,"1-room apartment","fully renovated",5000.00,"okres Žilina",Terchová,Terchová
Ju6opeOUPUx,"2-room apartment",unrenovated,2272.73,"okres Žilina",Žilina,"Staré mesto"
JunBxeMXtVv,"3-room apartment","partially renovated",1767.12,"okres Bytča","Veľké Rovné","Veľké Rovné"
JufXt9veplf,"2-room apartment","new construction",NULL,"okres Martin",Martin,Košúty
Ju1v-rz6S-g,"3-room apartment",unrenovated,2187.50,"okres Žilina",Rajec,Rajec
JuK8NkfUxDo,"3-room apartment",unrenovated,670.71,"okres Martin","Turčianska Štiavnička","Turčianska Štiavnička"
JuqqisVRKbE,"3-room apartment","partially renovated",NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JupIznadChw,"3-room apartment",unrenovated,NULL,"okres Martin",Martin,Stred
JuCtiU-W9oK,"3-room apartment","fully renovated",1897.08,"okres Ružomberok",Ružomberok,Klačno
JuQUQOdCbAJ,"4-room apartment",unrenovated,1904.75,"okres Žilina",Žilina,"Staré mesto"
JuJTUgZNUdL,"3-room apartment",unrenovated,1361.11,"okres Martin",Turany,Turany
JugdzCpEbZl,"2-room apartment","partially renovated",2543.42,"okres Žilina",Žilina,Hliny
JuJ1fx159Ms,"3-room apartment",unrenovated,1600.00,"okres Čadca",Turzovka,Stred
JuUWRcxAAYr,"2-room apartment","fully renovated",1314.80,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JucFSMwZ-YV,"3-room apartment","new construction",2479.24,"okres Martin",Martin,Priekopa
JuHBGisy5-E,"2-room apartment","partially renovated",2338.24,"okres Ružomberok",Ružomberok,Hrabovo
JuInv_n4G9P,"2-room apartment","development project",5249.97,"okres Žilina",Žilina,"Staré mesto"
JuBnUuJa9ic,"2-room apartment","new construction",3894.16,"okres Žilina",Žilina,"Staré mesto"
Ju2txZynSMnS,"4-room apartment","fully renovated",2267.03,"okres Námestovo",Námestovo,Brehy
Jucm4yaaOJ2,"3-room apartment","fully renovated",2463.35,"okres Dolný Kubín","Dolný Kubín",Brezovec
JuT9LmGMkpW,"holiday apartment","new construction",4540.91,"okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová
JuuOQAIf3eQ,"2-room apartment","new construction",3398.44,"okres Žilina",Žilina,"Staré mesto"
JuhSIJae8jB,"holiday apartment","new construction",3229.17,"okres Liptovský Mikuláš",Smrečany,Smrečany
Ju20KERTu8I,"2-room apartment",unrenovated,2118.64,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny
Jumt5qe1Qm47,"2-room apartment","partially renovated",NULL,"okres Ružomberok",Ružomberok,Klačno
JuI6MQ6tc2T,"2-room apartment",unrenovated,3207.29,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia"
JuZdOmvD2ic,"4-room apartment","under construction",2892.94,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JuQG3Tg2HJV,"holiday apartment","new construction",6900.00,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
JuT7xzp7Ax-,"2-room apartment","fully renovated",2313.88,"okres Martin",Martin,Stred
JuCgojI4KWH,"3-room apartment",unrenovated,1824.32,"okres Čadca",Čadca,Žarec
JukjSccuSX6,"2-room apartment","fully renovated",NULL,"okres Martin",Vrútky,NULL
JuvuB2q_3M4,"holiday apartment","under construction",9662.18,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
Jum788VaVl8,"1-room apartment","new construction",4148.48,"okres Žilina",Žilina,"Staré mesto"
JuguMiG6Pot,"other apartment type","new construction",NULL,"okres Žilina",Rajec,Rajec
JunSqXxyUya,"1-room apartment","new construction",4148.48,"okres Žilina",Žilina,"Staré mesto"
Juzl0Ycup_I,"holiday apartment","fully renovated",5339.29,"okres Martin",Martin,"Martinské hole"
JuMrpN3u-gh,"2-room apartment","under construction",3547.72,"okres Žilina",Žilina,Hájik
Ju-seNslb4u,"2-room apartment","partially renovated",1818.18,"okres Martin",Martin,Priekopa
JuddoVYZYie,"1-room apartment","new construction",2780.22,"okres Ružomberok","Liptovská Teplá","Liptovská Teplá"
Ju4lN_U1N_8,"3-room apartment","new construction",2610.51,"okres Liptovský Mikuláš","Liptovský Mikuláš",Stošice
JuNQHesGhEl,"3-room apartment","under construction",2860.64,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
Juv6SZd0pv9,"3-room apartment","fully renovated",NULL,"okres Martin",Vrútky,NULL
Ju01CyxoHbS,"holiday apartment","development project",4901.20,"okres Žilina",Terchová,Terchová
JuQxdKNuhGj,"3-room apartment","partially renovated",2117.53,"okres Žilina",Žilina,"Staré mesto"
JuMc4nt1NbY,maisonette,"new construction",2152.66,"okres Liptovský Mikuláš","Liptovský Hrádok",Celiny
Ju4N6fIAndO,"3-room apartment","new construction",2454.41,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Ondrašová"
JuiNHN3K-2n,"2-room apartment","fully renovated",1835.43,"okres Čadca",Staškov,Staškov
JucceUznreI,"2-room apartment","partially renovated",2327.75,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JuCJs2os-i-x,"1-room apartment","new construction",3166.02,"okres Martin",Martin,Stred
Ju3z3M9TPDa,"2-room apartment","new construction",3019.23,"okres Žilina",Žilina,Závodie
JuDxBcaveH8,"3-room apartment",unrenovated,1763.53,"okres Martin",Vrútky,"Horné Vrútky"
Ju_5trjiiyY,"2-room apartment","partially renovated",3326.53,"okres Žilina",Žilina,Solinky
Juo9yc6U_zm,"3-room apartment","partially renovated",2231.88,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Stred
JueZYUzuLYA,"1-room apartment","fully renovated",4300.00,"okres Ružomberok",Bešeňová,Bešeňová
Juqo1hWp_Zj,"3-room apartment","partially renovated",NULL,"okres Martin",Martin,Stred
JueVCjlarhT,"3-room apartment",unrenovated,NULL,"okres Tvrdošín",Nižná,Nižná
JuX7LFsuKfI,"2-room apartment","partially renovated",2235.85,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Nábrežie
Ju2PTXS03nR,"3-room apartment","partially renovated",1767.12,"okres Bytča","Veľké Rovné","Veľké Rovné"
Ju1Fw0u3Cah,"3-room apartment",unrenovated,2042.25,"okres Liptovský Mikuláš","Liptovský Mikuláš","Vrbica - Nábrežie"
JuckFfec6yi,"3-room apartment","fully renovated",1981.35,"okres Ružomberok",Ružomberok,"Staré mesto"
JuiYPO6c35-,"4-room apartment","partially renovated",NULL,"okres Martin",Martin,Stráne
Jup8gJ48Fqt,"2-room apartment","new construction",4489.50,"okres Žilina",Žilina,"Staré mesto"
Jub6sy4N9gp,"2-room apartment","under construction",4293.88,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
Ju28AQVsAqz,"3-room apartment","partially renovated",NULL,"okres Ružomberok",Ružomberok,Baničné
JuuVvHxxC-m,"3-room apartment","partially renovated",2150.00,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny
Jumr_ISbK0Z,"3-room apartment","under construction",3344.87,"okres Žilina",Žilina,Hájik
JuxXBGk_4Zo,"1-room apartment","partially renovated",NULL,"okres Čadca",Turzovka,Stred
JudTaFLI7V1,"1-room apartment","fully renovated",3152.54,"okres Martin",Martin,Stred
JulUy_Gy-T7,"1-room apartment","fully renovated",2284.76,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JuTgtQtwGXl,"2-room apartment","fully renovated",2431.67,"okres Martin",Martin,Sever
JuAoUEm3GbZ,"3-room apartment",unrenovated,1486.49,"okres Martin",Martin,Ľadoveň
JuZFiZ0fwgL,"2-room apartment","fully renovated",2944.44,"okres Dolný Kubín","Dolný Kubín","Veľký Bysterec"
JuH6sKr2JgO,"holiday apartment","new construction",3892.86,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
Ju34-Gac91u,"2-room apartment","fully renovated",4907.96,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
Ju7lDmg4T0n,"holiday apartment","new construction",NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Ondrašová"
JuR7qWw7H0C,"3-room apartment","fully renovated",4200.00,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
Ju6FesX3XoQ,"3-room apartment",unrenovated,1523.08,"okres Martin",Turany,Turany
JuTBls071FE,"holiday apartment","new construction",3815.79,"okres Martin",Valča,Valča
JukANoj_iFm,"1-room apartment","fully renovated",NULL,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
Juj0AUCC2FC,"3-room apartment","new construction",6090.91,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
Juh1ylk55iy,"1-room apartment","under construction",NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia"
JupjDJ9XYhE,"holiday apartment","fully renovated",3804.12,"okres Ružomberok",Bešeňová,Bešeňová
JuN-Pnp6KBM,"3-room apartment",unrenovated,1613.85,"okres Čadca",Turzovka,Stred
JuPcc0iMceY,"holiday apartment","new construction",3330.77,"okres Ružomberok",Ružomberok,Hrabovo
JudyIRiA8kq,"holiday apartment","new construction",6730.77,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
JuUZC8aojHf,"4-room apartment","new construction",NULL,"okres Turčianske Teplice","Turčianske Teplice",Stred
JuMZVzeIVRp,"holiday apartment","fully renovated",3547.60,"okres Ružomberok",Ružomberok,Hrabovo
Ju892FRo72v,"4-room apartment","fully renovated",4734.43,"okres Žilina",Žilina,"Staré mesto"
JuODe5tlbwG,"4-room apartment","partially renovated",2244.90,"okres Martin",Martin,Priekopa
JulQn0N46Be,"2-room apartment","development project",4916.70,"okres Žilina",Žilina,Bôrik
Ju1BpgSKaaX,"2-room apartment","partially renovated",1960.16,"okres Čadca",Čadca,Žarec
