offer_id,offer_type,property_type,area,condition,location_district,location_city,location_area,built_in
JuXcyij9eMf_,sale,"3-room apartment",67,"new construction","okres Žilina",Žilina,"Staré mesto",2027
JufYiP4E7Es,sale,"3-room apartment",75,"partially renovated","okres Žilina",Žilina,Hliny,NULL
JuKkjtqN4VW,sale,"2-room apartment",56,"fully renovated","okres Martin",Martin,Stred,1900
JuH-SEIASle,sale,"3-room apartment",69,"under construction","okres Ružomberok",Ružomberok,Roveň,2025
Ju_IBACCGzT,rent,"2-room apartment",66,"partially renovated","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,NULL
Ju_7fjs1rDI,sale,"2-room apartment",28,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia",2023
JuO3IQpQk2Q,sale,"2-room apartment",57,"fully renovated","okres Čadca",Makov,Makov,NULL
JukCOBdi-HG,sale,"3-room apartment",83,"fully renovated","okres Žilina",Žilina,Vlčince,1972
JuatrleUyRX,rent,"3-room apartment",78,"partially renovated","okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny,1980
JuqBZCEixbC,rent,"2-room apartment",52,"new construction","okres Žilina",Žilina,Hliny,2018
JuCuiefKh4P,sale,"4-room apartment",83,unrenovated,"okres Martin",Martin,Priekopa,1969
JucFUY5N5xW,sale,"3-room apartment",80,"partially renovated","okres Martin",Martin,Priekopa,1970
JuSPwAqNDjb,sale,"2-room apartment",44,"new construction","okres Ružomberok",Ružomberok,Hrabovo,2022
JujrtOK9Ltj,sale,"3-room apartment",82,unrenovated,"okres Žilina",Žilina,"Staré mesto",1970
Ju2TzdFfXkg,sale,"2-room apartment",60,"partially renovated","okres Žilina",Žilina,"Staré mesto",1965
JuVO5WLrTZ3,sale,"2-room apartment",60,"partially renovated","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,1970
JuC08OMa82u,sale,"4-room apartment",163,"new construction","okres Žilina",Žilina,Hájik,2008
Jupw1bQT1Jh,sale,"3-room apartment",89,"new construction","okres Žilina",Žilina,Vlčince,2025
JuFqSi2fYOk,sale,"2-room apartment",53,"fully renovated","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Nábrežie,NULL
JunnFbGwfA5,rent,"2-room apartment",60,"partially renovated","okres Žilina",Žilina,Vlčince,NULL
JuFv7NTgqug,sale,"holiday apartment",46,"fully renovated","okres Čadca",Makov,Makov,2021
JuxZgQdKO7u,sale,"2-room apartment",45,"new construction","okres Bytča",Bytča,"Veľká Bytča",NULL
Ju0iFsZ1mnv,sale,"2-room apartment",38,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Ondrašová",2024
JuN4KXjUyk-,sale,"4-room apartment",105,"new construction","okres Čadca",Čadca,Podzávoz,2024
JuWV1dgtiBd,sale,"holiday apartment",22,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová,2025
Judmv08qh2A,sale,"4-room apartment",120,unrenovated,"okres Žilina",Žilina,"Staré mesto",NULL
JugXYWqkt4N,rent,"1-room apartment",30,"partially renovated","okres Martin",Vrútky,"Horné Vrútky",2025
JuqvNgpYqrd,rent,"1-room apartment",40,"fully renovated","okres Dolný Kubín","Dolný Kubín",Mokraď,NULL
Ju_Lr-2Vc09,sale,"1-room apartment",51,"partially renovated","okres Liptovský Mikuláš","Liptovský Hrádok",Dovalovo,2025
JubDtFpPZPz,sale,"holiday apartment",37,"under construction","okres Turčianske Teplice","Turčianske Teplice",Stred,2025
Ju46Wlvz4BP,sale,"2-room apartment",63,"new construction","okres Čadca",Čadca,Kyčerka,2023
Jus8fVVapj9,sale,"3-room apartment",97,"under construction","okres Martin",Martin,Jahodníky,NULL
JurldwLKNhM,sale,"1-room apartment",36,"fully renovated","okres Liptovský Mikuláš","Partizánska Ľupča","Partizánska Ľupča",1960
JulollxgJp5,sale,"2-room apartment",71,"under construction","okres Martin",Martin,Jahodníky,2024
JupBjnV0coU,sale,"3-room apartment",85,"fully renovated","okres Čadca",Raková,Raková,1985
JuqAM-ZO9ir,sale,"2-room apartment",55,"new construction","okres Liptovský Mikuláš","Malé Borové","Malé Borové",NULL
Ju5VjRRX_4J,sale,"3-room apartment",NULL,"partially renovated","okres Žilina",Žilina,Hliny,NULL
Juarr5O2upK,sale,"1-room apartment",94,"under construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,2025
JuXRtZdfweI,sale,"4-room apartment",85,"partially renovated","okres Martin",Martin,Ľadoveň,1981
JuNZupA7Ru4,sale,"2-room apartment",52,"new construction","okres Žilina","Rajecké Teplice","Rajecké Teplice",2025
JuA8-pf41pn,rent,"3-room apartment",83,"fully renovated","okres Martin",Martin,Stred,2025
JumbMyGo4iI,sale,"2-room apartment",58,"fully renovated","okres Ružomberok",Bešeňová,Bešeňová,NULL
JuaCjfZIx81,sale,"2-room apartment",48,"under construction","okres Ružomberok",Ružomberok,Roveň,2025
JuUnD0myJmK,sale,"2-room apartment",62,"partially renovated","okres Žilina",Žilina,Hájik,NULL
JuIP59md355,sale,"4-room apartment",102,"under construction","okres Ružomberok",Ružomberok,Roveň,2025
JuIh9K2txJ3,sale,"3-room apartment",144,"new construction","okres Námestovo",Zubrohlava,Zubrohlava,NULL
Jub5nNi4yTF,sale,"2-room apartment",62,"partially renovated","okres Žilina",Žilina,Vlčince,1975
Juqj8-BDIgQ,sale,"3-room apartment",122,"new construction","okres Námestovo","Oravské Veselé","Oravské Veselé",2024
JuQfQh_4sSF,sale,"2-room apartment",84,"new construction","okres Žilina",Žilina,Hliny,2025
JujYXXx5gXi,sale,"3-room apartment",169,"new construction","okres Žilina",Žilina,"Staré mesto",NULL
JuxBkaifl6df,rent,"holiday apartment",42,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Iľanovo,2025
JugTLMsHTVi,sale,"2-room apartment",52,unrenovated,"okres Martin",Martin,Podháj,1970
Jul7be3Lkz5,sale,"holiday apartment",26,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová,2022
JuPT1z2mBzV,sale,"1-room apartment",36,"partially renovated","okres Žilina",Žilina,Vlčince,1975
Ju4hZgzLszu,sale,"2-room apartment",62,"partially renovated","okres Tvrdošín",Trstená,Trstená,NULL
JuKlHRPhAEF,sale,"2-room apartment",57,"fully renovated","okres Martin",Vrútky,"Horné Vrútky",1900
JuvFESSKGWN,sale,"3-room apartment",86,"partially renovated","okres Martin",Vrútky,"Horné Vrútky",2025
JusgW9odCAS,sale,"4-room apartment",107,unrenovated,"okres Martin",Martin,Priekopa,1960
Juvk9S_5ltU,sale,"2-room apartment",54,unrenovated,"okres Žilina",Žilina,Hliny,NULL
JunBqR0DBP9,rent,"2-room apartment",50,"new construction","okres Žilina",Žilina,"Staré mesto",NULL
JuDCMQupxo0,sale,"2-room apartment",59,"partially renovated","okres Tvrdošín",Tvrdošín,Medvedzie,1980
JufAeKZk5m-,sale,"2-room apartment",55,"partially renovated","okres Žilina",Bitarová,Bitarová,NULL
JuNguQDV0Zn,sale,"2-room apartment",52,"fully renovated","okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny,NULL
JuKOtZwcbir-,sale,"holiday apartment",28,"fully renovated","okres Ružomberok",Ružomberok,Hrabovo,2025
JuMm4AW_gBf,sale,"5+ room apartment",150,"partially renovated","okres Žilina","Rajecké Teplice","Rajecké Teplice",2000
JuSYwKOlQ-6,sale,"3-room apartment",NULL,"new construction","okres Dolný Kubín","Dolný Kubín",NULL,NULL
JuZqtWo-t_S,sale,"holiday apartment",29,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia",2020
JuJCzmrTicR,sale,"2-room apartment",40,"new construction","okres Martin",Martin,Záturčie,NULL
JumsfvMXhg-,sale,"3-room apartment",67,unrenovated,"okres Žilina",Žilina,Solinky,NULL
JuymkoAFG_6,sale,"2-room apartment",60,unrenovated,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,1975
JucOec67NRR,sale,"1-room apartment",33,unrenovated,"okres Tvrdošín",Nižná,Nižná,NULL
JuyOHLJxsdS,sale,"3-room apartment",64,"fully renovated","okres Žilina",Žilina,"Staré mesto",2000
Ju_yl2A922o,sale,"2-room apartment",57,unrenovated,"okres Turčianske Teplice","Turčianske Teplice",Stred,NULL
JuDoLB83xqT,sale,"3-room apartment",78,unrenovated,"okres Liptovský Mikuláš",Malužiná,Malužiná,1900
JuQvJ7BykSU,sale,"2-room apartment",49,unrenovated,"okres Martin",Martin,Sever,1970
JucOhPXEpxa,rent,"2-room apartment",71,"partially renovated","okres Žilina",Žilina,"Staré mesto",NULL
JuFqVxR2Rua,rent,"2-room apartment",48,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka,NULL
JuLEeBcqSvN,rent,"2-room apartment",50,"fully renovated","okres Bytča",Bytča,"Veľká Bytča",2025
JuHLqjLk9w7,sale,"2-room apartment",63,"fully renovated","okres Čadca",Oščadnica,Oščadnica,1980
Juhlf1Su_tu,sale,"studio apartment",34,"partially renovated","okres Žilina",Žilina,Závodie,2012
Ju4aGAgIjVo,sale,"3-room apartment",80,"partially renovated","okres Martin",Martin,Stred,NULL
JuHC3L7PHAo,rent,"studio apartment",15,"partially renovated","okres Martin",Martin,Stred,1960
Ju4nG9JDEKF,sale,"3-room apartment",70,"partially renovated","okres Martin",Martin,Ľadoveň,1980
JuxsO06uVZG,rent,"1-room apartment",43,unrenovated,"okres Žilina",Žilina,Hájik,2010
JuxQsJlXHSK,rent,"3-room apartment",74,"fully renovated","okres Bytča",Bytča,"Veľká Bytča",2025
JuJrBHwvfXe,sale,"holiday apartment",23,"new construction","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina",2016
JuVk3AeemQd,sale,"3-room apartment",65,"under construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,2025
JucIMMNEosV,sale,"3-room apartment",67,"partially renovated","okres Ružomberok",Ružomberok,Baničné,1960
Ju2EMTkOn53,sale,"2-room apartment",61,"new construction","okres Žilina",Žilina,Vlčince,2025
JuYbhGZmbC7,sale,"2-room apartment",49,unrenovated,"okres Ružomberok","Liptovská Lúžna","Liptovská Lúžna",2001
JucmUHZL9fQ,rent,"2-room apartment",57,"new construction","okres Žilina",Žilina,"Staré mesto",NULL
Ju59v0S7Gi9,sale,"3-room apartment",77,unrenovated,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny,1990
Ju4SvmwHoAg,sale,"3-room apartment",72,"new construction","okres Ružomberok","Liptovská Teplá","Liptovská Teplá",NULL
JuJBn5ZeVAm,rent,"2-room apartment",51,"partially renovated","okres Žilina",Žilina,Hliny,NULL
Juk9u-rNEqG,rent,"2-room apartment",46,"fully renovated","okres Bytča",Bytča,"Veľká Bytča",2025
JuNRFKe9B5N6,sale,"4-room apartment",140,"new construction","okres Martin",Sučany,Sučany,2026
JuG99-vnL8U,sale,"4-room apartment",212,"new construction","okres Martin",Martin,Košúty,2021
JuvzAFSDr4x,sale,"3-room apartment",110,"new construction","okres Žilina",Žilina,Bôrik,NULL
JuDorfwK08d,rent,"2-room apartment",85,"partially renovated","okres Martin",Martin,Stred,NULL
Jul_OGhX8QT,sale,"3-room apartment",60,"partially renovated","okres Ružomberok",Ružomberok,Hrabovo,NULL
Ju7UFzA6VtL,sale,"2-room apartment",53,"new construction","okres Žilina",Žilina,"Staré mesto",2025
Ju9qrQrSqzm,rent,"studio apartment",25,"new construction","okres Žilina",Žilina,Vlčince,NULL
Ju4Vd5pUjXm,sale,"3-room apartment",65,"partially renovated","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto",NULL
JuA1jb9HH8o,sale,"2-room apartment",56,"partially renovated","okres Ružomberok",Ružomberok,"Staré mesto",2025
JuVp8M6bnwG,rent,"3-room apartment",80,"partially renovated","okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka,1978
JuKJT8WJuFF,rent,"1-room apartment",37,"new construction","okres Čadca",Čadca,Centrum,2021
Ju8mh8KzH4f,rent,"2-room apartment",60,"fully renovated","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto",1913
Ju9k2e7JWOr,sale,"1-room apartment",38,"partially renovated","okres Martin",Turany,Turany,1975
JuXNm9NwSwi,sale,"3-room apartment",75,"new construction","okres Žilina",Žilina,Hájik,2013
JuOnQ9rym-h,sale,"4-room apartment",87,"partially renovated","okres Žilina",Žilina,"Staré mesto",1968
JuFNpzHutiG,sale,"3-room apartment",65,"partially renovated","okres Žilina",Žilina,Hliny,1980
JuZ8UmPHnMd,sale,"2-room apartment",59,"fully renovated","okres Čadca",Staškov,Staškov,1940
JuWLCChouGh,sale,"3-room apartment",102,"new construction","okres Martin",Sučany,Sučany,2025
JuS6qI_HXQ_,sale,"4-room apartment",88,"partially renovated","okres Žilina",Žilina,Bôrik,1979
JuvIFSCKDaN,sale,"2-room apartment",63,"fully renovated","okres Martin",Martin,Priekopa,1980
JuJITXm9Zsf,sale,"3-room apartment",66,"fully renovated","okres Liptovský Mikuláš","Liptovská Kokava","Liptovská Kokava",1981
JueaFakyLvY,sale,"3-room apartment",83,"development project","okres Žilina",Žilina,"Staré mesto",2022
Ju1F-eiNHx4,sale,"3-room apartment",85,"fully renovated","okres Žilina",Žilina,"Staré mesto",1970
JuL3MT7o1WL,sale,"2-room apartment",60,"fully renovated","okres Martin",Martin,Stred,NULL
Ju_qGSnLBzz,rent,"2-room apartment",59,"new construction","okres Bytča",Bytča,"Thurzove sady",NULL
JuhigkHR5x2,sale,"4-room apartment",320,"new construction","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina",2022
Ju5eub1EsyB,sale,"3-room apartment",100,"new construction","okres Žilina",Žilina,Bôrik,2010
JuDetN4gLGy,sale,"holiday apartment",43,"new construction","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina",2019
JuxJN0jj6xv,sale,"1-room apartment",34,"new construction","okres Martin",Martin,Tomčany,2025
JuQY1ZnmE4m,rent,"studio apartment",25,"fully renovated","okres Dolný Kubín","Dolný Kubín",Brezovec,2021
Ju9zHP-4dng,sale,"3-room apartment",61,"partially renovated","okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny,1900
JuTy8iCXD6j,sale,"2-room apartment",51,"new construction","okres Martin",Martin,Tomčany,1900
JuMhyPasgwl,rent,"1-room apartment",41,"fully renovated","okres Martin",Vrútky,"Horné Vrútky",1958
JuPet_Ep-JW,rent,"studio apartment",70,"fully renovated","okres Liptovský Mikuláš","Liptovský Hrádok",NULL,1980
JuGJ3bcseaG,sale,"1-room apartment",41,"partially renovated","okres Čadca",Čadca,Žarec,1975
JuI3iwt9MRR,sale,"studio apartment",25,"new construction","okres Dolný Kubín","Dolný Kubín",Brezovec,2020
JumSU3uP1r7,sale,"holiday apartment",49,"partially renovated","okres Čadca",Oščadnica,Oščadnica,NULL
JuCyeszuCeF,sale,"3-room apartment",65,unrenovated,"okres Čadca",Čadca,"Sídlisko 3",NULL
JuDZ3hA20uQ,sale,"4-room apartment",100,"partially renovated","okres Dolný Kubín",Zázrivá,Zázrivá,2024
Ju1Cm4LoVXM,sale,"studio apartment",123,"new construction","okres Ružomberok",Ružomberok,"Staré mesto",NULL
JuOOVFGvzwX,sale,"2-room apartment",62,"new construction","okres Ružomberok","Liptovská Teplá","Liptovská Teplá",2024
JuuuYAHYGX8,sale,"2-room apartment",60,"development project","okres Dolný Kubín","Dolný Kubín",Brezovec,NULL
Juw69usHNF6,rent,"3-room apartment",86,"fully renovated","okres Žilina",Žilina,"Staré mesto",1970
Jup6mGYDCrv,rent,"2-room apartment",57,"fully renovated","okres Martin",Martin,Stred,1935
Ju5R24o6GQR,sale,"3-room apartment",74,unrenovated,"okres Dolný Kubín","Dolný Kubín",Brezovec,1980
Ju8_AnIgnrX,sale,"2-room apartment",57,"partially renovated","okres Čadca",Čadca,Žarec,1982
JuY4e0DxXsH,rent,"2-room apartment",45,"new construction","okres Dolný Kubín","Dolný Kubín",Stred,2022
Jue5OG4Sl5k,rent,"2-room apartment",50,"fully renovated","okres Žilina",Žilina,"Staré mesto",NULL
Juo19uqWHqv,sale,"3-room apartment",85,"fully renovated","okres Martin",Vrútky,"Horné Vrútky",1970
JumQaXesU-y,rent,"studio apartment",28,"new construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,NULL
JuEVg7e9gge,sale,"3-room apartment",72,unrenovated,"okres Martin",Martin,Záturčie,1960
JuXIzNjmik_,rent,"3-room apartment",104,"fully renovated","okres Žilina",Žilina,"Staré mesto",NULL
Juv94EKwgh6,sale,"3-room apartment",73,"new construction","okres Ružomberok","Liptovská Teplá","Liptovská Teplá",2024
JukKH41KaWr,rent,"3-room apartment",121,"fully renovated","okres Martin",Martin,Stred,1980
JuhxRDKuEfi,sale,"2-room apartment",58,"new construction","okres Ružomberok","Liptovská Teplá","Liptovská Teplá",2024
JuRJykTdszG,sale,"4-room apartment",150,"fully renovated","okres Martin",Sučany,Sučany,NULL
JuDJ_hnDscM,sale,"2-room apartment",60,"fully renovated","okres Martin",Martin,Stred,NULL
JulzEF1iR1R,sale,"2-room apartment",70,"fully renovated","okres Žilina",Žilina,"Staré mesto",1960
Jus2f1I5Shb,sale,"3-room apartment",68,"partially renovated","okres Žilina",Žilina,Hliny,1970
JuWzCETm2y0,rent,"3-room apartment",70,"fully renovated","okres Čadca",Čadca,Kyčerka,1989
Ju12shpSBga,sale,"3-room apartment",62,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová,NULL
JuXnw8EKWYI,sale,"3-room apartment",93,"new construction","okres Žilina",Žilina,"Staré mesto",NULL
JuJM07aUO0O,sale,"5+ room apartment",100,"partially renovated","okres Žilina",Žilina,Hliny,1976
JuVtdEgquxp,sale,"3-room apartment",74,"new construction","okres Dolný Kubín","Dolný Kubín",Brezovec,2015
JuP6qyzD4rb,sale,"holiday apartment",40,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová,NULL
JuP-xJVwuxh,sale,"3-room apartment",77,"new construction","okres Martin","Košťany nad Turcom","Košťany nad Turcom",2020
Ju2skZ_XIuH,rent,"3-room apartment",90,"partially renovated","okres Čadca",Čierne,Čierne,NULL
JuxYMJGR4NW,sale,"1-room apartment",45,"partially renovated","okres Ružomberok",Ružomberok,Baničné,1993
JuWx4I1iGWR,rent,"2-room apartment",80,"new construction","okres Námestovo",Mútne,Mútne,NULL
Jubx4f_wHQY,sale,"3-room apartment",87,unrenovated,"okres Žilina",Žilina,Vlčince,NULL
JuBjT8MmAiR,sale,"3-room apartment",65,"under construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,2025
Ju8qAJxGCh0,sale,"3-room apartment",64,"partially renovated","okres Martin",Martin,Záturčie,NULL
Ju-DovddXIY,sale,"2-room apartment",71,unrenovated,"okres Liptovský Mikuláš","Liptovský Mikuláš","Vrbica - Nábrežie",1900
Ju6ap4Twr5W,rent,"3-room apartment",NULL,"partially renovated","okres Ružomberok",Ružomberok,Klačno,NULL
JuVlvDHUEHV,rent,"2-room apartment",50,"fully renovated","okres Dolný Kubín","Dolný Kubín",Mokraď,NULL
JukzS9fkGsH,rent,"3-room apartment",84,"fully renovated","okres Žilina",Žilina,Vlčince,1985
Jum2zoM9dK0,sale,"2-room apartment",60,"new construction","okres Žilina",Žilina,Vlčince,2024
JuwxWNhZHvq,rent,"2-room apartment",44,"fully renovated","okres Žilina",Žilina,"Staré mesto",1971
JuNh7AtADFs,rent,"2-room apartment",44,"new construction","okres Čadca","Krásno nad Kysucou",Kalinov,2024
JuoVEcjPg5o,rent,"3-room apartment",70,"new construction","okres Námestovo",Rabčice,Rabčice,2025
JuyUHlMcv_Q,rent,"3-room apartment",73,"fully renovated","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,2023
JuXQxA2vSe6,sale,"2-room apartment",42,"fully renovated","okres Žilina",Žilina,Vlčince,1987
Jufd89QZCSO,sale,"holiday apartment",NULL,"new construction","okres Liptovský Mikuláš","Pavčina Lehota","Pavčina Lehota",NULL
Ju2hVjHchsA,sale,"2-room apartment",47,"new construction","okres Martin",Martin,Stred,2025
Ju9Zm5FKDvx,sale,"2-room apartment",58,"fully renovated","okres Žilina",Žilina,Hliny,1969
Ju_q6RS-fKo,sale,"3-room apartment",118,"new construction","okres Námestovo","Oravské Veselé","Oravské Veselé",2024
Jutomv1SERc,rent,"2-room apartment",57,"fully renovated","okres Martin",Martin,Jahodníky,2025
Jukc07qMxPz,sale,"2-room apartment",55,"new construction","okres Žilina",Žilina,Bytčica,2025
JuZPdvGyLq9,sale,"3-room apartment",92,"fully renovated","okres Žilina",Žilina,"Staré mesto",2010
Ju8xVwtKo3R,sale,"1-room apartment",NULL,unrenovated,"okres Námestovo",Námestovo,Stred,NULL
JuIK5SS5weX,rent,"2-room apartment",55,"partially renovated","okres Martin",Martin,Stred,1976
JuzzHVLtL7p,sale,"3-room apartment",69,"fully renovated","okres Tvrdošín",Tvrdošín,Medvedzie,NULL
Ju7J-Smt48P,sale,"2-room apartment",42,"new construction","okres Tvrdošín",Trstená,Trstená,2024
JuvxR6XXHxE,rent,"3-room apartment",74,"fully renovated","okres Bytča",Bytča,"Veľká Bytča",2025
JuRuuJuhfW8,sale,"3-room apartment",85,"partially renovated","okres Martin",Vrútky,"Horné Vrútky",1980
JuZK70yldNu,sale,"1-room apartment",39,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia",2020
JuzSqFzglhO,sale,"3-room apartment",73,"new construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,2022
JuT8ujDpM1g,rent,"1-room apartment",60,"partially renovated","okres Žilina",Žilina,"Staré mesto",2025
JuzmSjYalDj,sale,"3-room apartment",87,"partially renovated","okres Martin",Vrútky,"Horné Vrútky",1989
Ju6pkdVbtRp,sale,"3-room apartment",71,"fully renovated","okres Ružomberok",Ružomberok,Klačno,1970
JudnXUbr0fH,sale,"2-room apartment",48,"under construction","okres Liptovský Mikuláš",Východná,Východná,2024
JuBIZmW7FwQ,sale,"3-room apartment",71,"new construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,NULL
JuPDRHaKHGy,sale,"2-room apartment",59,"fully renovated","okres Žilina",Žilina,Hliny,1965
JuD8hcoEgT4,sale,"2-room apartment",74,"new construction","okres Žilina",Žilina,Vlčince,2009
JukBZSTP0a5,sale,"2-room apartment",55,"new construction","okres Turčianske Teplice","Turčianske Teplice",Stred,2024
Ju1AcChzPhX,sale,"3-room apartment",62,"new construction","okres Liptovský Mikuláš","Vyšná Boca","Vyšná Boca",NULL
JuE-VhHgCax,sale,"1-room apartment",22,"fully renovated","okres Žilina",Terchová,Terchová,1970
JuBAitX8aRy,rent,"2-room apartment",55,"partially renovated","okres Ružomberok",Ružomberok,Baničné,NULL
JuYm2hUT2pj,rent,"3-room apartment",92,"fully renovated","okres Martin",Martin,Stred,1975
Ju6opeOUPUx,sale,"2-room apartment",88,unrenovated,"okres Žilina",Žilina,"Staré mesto",NULL
JuvmTUfehMc,rent,"2-room apartment",66,"fully renovated","okres Kysucké Nové Mesto",Rudinka,Rudinka,2022
JuaMkijSYs-,rent,"studio apartment",25,"partially renovated","okres Dolný Kubín","Dolný Kubín",Brezovec,NULL
JuZL3wORd4j,rent,"1-room apartment",35,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Stošice,NULL
JunBxeMXtVv,sale,"3-room apartment",73,"partially renovated","okres Bytča","Veľké Rovné","Veľké Rovné",1978
JufXt9veplf,sale,"2-room apartment",45,"new construction","okres Martin",Martin,Košúty,2025
Ju1v-rz6S-g,sale,"3-room apartment",64,unrenovated,"okres Žilina",Rajec,Rajec,1980
JuK8NkfUxDo,sale,"3-room apartment",68,unrenovated,"okres Martin","Turčianska Štiavnička","Turčianska Štiavnička",NULL
JuhvRDg8Y4C,rent,"2-room apartment",58,unrenovated,"okres Námestovo",Námestovo,Stred,2025
JuqqisVRKbE,sale,"3-room apartment",65,"partially renovated","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto",1967
JupIznadChw,sale,"3-room apartment",66,unrenovated,"okres Martin",Martin,Stred,1960
JuCtiU-W9oK,sale,"3-room apartment",72,"fully renovated","okres Ružomberok",Ružomberok,Klačno,1987
JuQUQOdCbAJ,sale,"4-room apartment",105,unrenovated,"okres Žilina",Žilina,"Staré mesto",2024
JuEGUe9TZYw,rent,"3-room apartment",72,"partially renovated","okres Žilina",Žilina,Vlčince,1982
JuJTUgZNUdL,sale,"3-room apartment",72,unrenovated,"okres Martin",Turany,Turany,2025
JugdzCpEbZl,sale,"2-room apartment",55,"partially renovated","okres Žilina",Žilina,Hliny,NULL
JuJ1fx159Ms,sale,"3-room apartment",65,unrenovated,"okres Čadca",Turzovka,Stred,1970
JuUWRcxAAYr,sale,"2-room apartment",67,"fully renovated","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto",1900
