property_type,condition,location_district,gen_count,gen_avg_price,dis_count,dis_avg_price,price_diff
"2-room apartment","new construction","okres Turčianske Teplice",125,3419.646726,4,4070.915000,19.0448992596
"1-room apartment","fully renovated","okres Žilina",20,2915.345556,1,5000.000000,71.5062555692
"3-room apartment","partially renovated","okres Bytča",121,2016.158090,4,1752.222500,-13.0910165879
"2-room apartment","development project","okres Žilina",9,3654.186250,3,5230.550000,43.1385715493
"4-room apartment","fully renovated","okres Námestovo",40,2351.017179,2,2344.990000,-0.2563647367
"3-room apartment","fully renovated","okres Dolný Kubín",90,2484.530476,8,2541.287500,2.2844164943
"4-room apartment","under construction","okres Kysucké Nové Mesto",18,2779.408889,11,2844.571818,2.3444887601
"holiday apartment","under construction","okres Liptovský Mikuláš",9,8126.663750,8,8650.550000,6.4465107222
"1-room apartment","new construction","okres Žilina",42,3762.587436,17,4015.358125,6.7180017289
"other apartment type","new construction","okres Žilina",1,NULL,1,NULL,NULL
"holiday apartment","fully renovated","okres Martin",18,3390.796875,2,4312.805000,27.1914879891
"2-room apartment","under construction","okres Žilina",25,3072.047727,2,3414.465000,11.1462224363
"2-room apartment","partially renovated","okres Martin",67,2358.305690,10,1886.342000,-20.0128292104
"1-room apartment","new construction","okres Ružomberok",42,3762.587436,6,3237.006000,-13.9686172066
"holiday apartment","development project","okres Žilina",4,4965.415000,4,4965.415000,0.0000000000
maisonette,"new construction","okres Liptovský Mikuláš",3,2384.420000,2,2384.420000,0.0000000000
"2-room apartment","partially renovated","okres Liptovský Mikuláš",67,2358.305690,10,2351.439000,-0.2911704801
"3-room apartment","partially renovated","okres Kysucké Nové Mesto",121,2016.158090,5,2123.590000,5.3285459376
"1-room apartment","fully renovated","okres Ružomberok",20,2915.345556,4,2878.750000,-1.2552733560
"3-room apartment",unrenovated,"okres Tvrdošín",68,1900.298036,1,NULL,NULL
"3-room apartment","under construction","okres Žilina",24,2895.789524,3,2686.740000,-7.2190855816
"1-room apartment","fully renovated","okres Martin",20,2915.345556,5,3315.735000,13.7338588620
"2-room apartment","fully renovated","okres Dolný Kubín",99,2597.321264,2,2629.365000,1.2337224680
"holiday apartment","new construction","okres Martin",93,4666.350909,4,3112.682500,-33.2951473067
"1-room apartment","under construction","okres Liptovský Mikuláš",8,2954.628571,1,NULL,NULL
"holiday apartment","new construction","okres Ružomberok",93,4666.350909,12,3446.845833,-26.1340199180
"4-room apartment","new construction","okres Turčianske Teplice",38,2797.552667,1,NULL,NULL
"4-room apartment","fully renovated","okres Žilina",40,2351.017179,18,2466.374706,4.9067071066
"4-room apartment","fully renovated","okres Ružomberok",40,2351.017179,1,2000.000000,-14.9304387112
"holiday apartment","partially renovated","okres Tvrdošín",5,2725.797500,1,2888.890000,5.9832947972
"2-room apartment","new construction","okres Dolný Kubín",125,3419.646726,7,3896.190000,13.9354533431
"3-room apartment","partially renovated","okres Čadca",121,2016.158090,11,1920.963333,-4.7215918966
"1-room apartment","partially renovated","okres Turčianske Teplice",20,2834.321111,1,2113.460000,-25.4332901167
"holiday apartment","partially renovated","okres Ružomberok",5,2725.797500,2,2507.150000,-8.0214139165
"1-room apartment","under construction","okres Žilina",8,2954.628571,2,3771.195000,27.6368555092
"4-room apartment","partially renovated","okres Bytča",27,2030.536667,2,1785.055000,-12.0894968798
"studio apartment",unrenovated,"okres Martin",4,3037.586667,3,3080.000000,1.3962838809
"3-room apartment",unrenovated,"okres Kysucké Nové Mesto",68,1900.298036,4,1852.865000,-2.4960840406
"studio apartment","fully renovated","okres Žilina",8,4025.810000,5,4424.838000,9.9117444688
"1-room apartment","new construction","okres Tvrdošín",42,3762.587436,1,2918.750000,-22.4270518720
