offer_id,property_type,area,price_m2,condition,position,floor,elevator,built_in,energy_certificate,north,south,east,west,location_district,location_city,location_area,agency,office_city
JuV8a82JG_s,"4-room apartment",101,3560.27,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto",NULL,NULL
JuvjDSTvTKy,"2-room apartment",45,3000.00,"fully renovated",attic,2,NULL,2022,"not available",NULL,NULL,yes,yes,"okres Bytča","Veľké Rovné","Veľké Rovné","GAMA Reality, s.r.o.",Bytča
JuXcyij9eMf_,"3-room apartment",67,4302.34,"new construction","upper floor",5,yes,2027,"not available",NULL,yes,NULL,yes,"okres Žilina",Žilina,"Staré mesto","Financial Hotels Management, s.r.o.",Žilina
JufYiP4E7Es,"3-room apartment",75,2265.33,"partially renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hliny,"ROMDOM, s. r. o",Žilina
JuKkjtqN4VW,"2-room apartment",56,3035.54,"fully renovated","upper floor",3,NULL,1900,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"RE/MAX Slovakia",Bratislava
JuH-SEIASle,"3-room apartment",69,2964.40,"under construction","top floor",8,NULL,2025,A,NULL,NULL,NULL,NULL,"okres Ružomberok",Ružomberok,Roveň,"ODEKO manažment s.r.o.",Žilina
Ju_7fjs1rDI,"2-room apartment",28,NULL,"new construction",attic,3,yes,2023,A,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia","RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuO3IQpQk2Q,"2-room apartment",57,1664.91,"fully renovated","ground floor",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Čadca",Makov,Makov,"SLNOVRAT, s.r.o.",Olešná
JukCOBdi-HG,"3-room apartment",83,2769.88,"fully renovated","upper floor",6,NULL,1972,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,"RIEŠIME BÝVANIE",Bratislava
JuCuiefKh4P,"4-room apartment",83,NULL,unrenovated,"upper floor",3,NULL,1969,"not available",yes,yes,yes,NULL,"okres Martin",Martin,Priekopa,Reality+,Žilina
JucFUY5N5xW,"3-room apartment",80,1687.50,"partially renovated","upper floor",4,yes,1970,B,yes,NULL,NULL,NULL,"okres Martin",Martin,Priekopa,"TARGETreal s. r. o.",Žilina
JuSPwAqNDjb,"2-room apartment",44,4137.93,"new construction","ground floor",1,NULL,2022,"not available",NULL,NULL,NULL,NULL,"okres Ružomberok",Ružomberok,Hrabovo,"OREA, s.r.o.","Dolný Kubín"
JujrtOK9Ltj,"3-room apartment",82,2242.68,unrenovated,"upper floor",2,NULL,1970,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","Safe reality s. r. o.",Žilina
Ju2TzdFfXkg,"2-room apartment",60,NULL,"partially renovated","upper floor",3,NULL,1965,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","Renovo Reality",Žilina
JuVO5WLrTZ3,"2-room apartment",60,2165.00,"partially renovated","upper floor",2,NULL,1970,"not available",NULL,NULL,NULL,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,"Safe reality s. r. o.",Žilina
JuC08OMa82u,"4-room apartment",163,2263.80,"new construction","top floor",4,NULL,2008,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hájik,"RIEŠIME BÝVANIE",Bratislava
Jupw1bQT1Jh,"3-room apartment",89,2946.01,"new construction","upper floor",4,yes,2025,A,yes,yes,yes,yes,"okres Žilina",Žilina,Vlčince,"Reinoo a.s.",Žilina
JuFqSi2fYOk,"2-room apartment",53,2398.11,"fully renovated","ground floor",1,NULL,NULL,"not available",NULL,yes,yes,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Nábrežie,"HOLESTIAK.sk reality s.r.o.",Čadca
JuFv7NTgqug,"holiday apartment",46,1652.17,"fully renovated","ground floor",1,yes,2021,B,NULL,NULL,NULL,NULL,"okres Čadca",Makov,Makov,"Ing. Gerlinda Bérešová - Esti",Žilina
JuxZgQdKO7u,"2-room apartment",45,3082.22,"new construction","upper floor",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Bytča",Bytča,"Veľká Bytča","PRIMA reality s.r.o.",Žilina
Ju0iFsZ1mnv,"2-room apartment",38,3968.25,"new construction","ground floor",NULL,NULL,2024,NULL,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Ondrašová","Bosen Group s.r.o.",Bratislava
JuN4KXjUyk-,"4-room apartment",105,NULL,"new construction","raised ground floor",1,NULL,2024,A,NULL,NULL,NULL,NULL,"okres Čadca",Čadca,Podzávoz,"JPE. Reality - Jozef Pajer",Čadca
JuWV1dgtiBd,"holiday apartment",22,4841.63,"new construction","ground floor",1,yes,2025,"not available",NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová,"Reality Alpia",Martin
Judmv08qh2A,"4-room apartment",120,1416.67,unrenovated,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","RIEŠIME BÝVANIE",Bratislava
Ju_Lr-2Vc09,"1-room apartment",51,2941.18,"partially renovated","raised ground floor",NULL,NULL,2025,"not available",NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Hrádok",Dovalovo,"TUreality s.r.o.",Žilina
JubDtFpPZPz,"holiday apartment",37,4459.46,"under construction","ground floor",1,NULL,2025,"not available",NULL,NULL,NULL,NULL,"okres Turčianske Teplice","Turčianske Teplice",Stred,"Reality MT s.r.o.",Martin
Ju46Wlvz4BP,"2-room apartment",63,2170.32,"new construction","raised ground floor",1,NULL,2023,B,NULL,yes,NULL,yes,"okres Čadca",Čadca,Kyčerka,"Trioreality, s.r.o.",Čadca
Jus8fVVapj9,"3-room apartment",97,2714.34,"under construction","upper floor",2,yes,NULL,A,NULL,yes,yes,NULL,"okres Martin",Martin,Jahodníky,"CANGURU s.r.o.","Rajecké Teplice"
JurldwLKNhM,"1-room apartment",36,1916.67,"fully renovated","ground floor",1,NULL,1960,"not available",NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Partizánska Ľupča","Partizánska Ľupča","A-Byt Consult, s.r.o.",Ružomberok
JulollxgJp5,"2-room apartment",71,2707.60,"under construction","upper floor",2,yes,2024,A,NULL,NULL,yes,NULL,"okres Martin",Martin,Jahodníky,"CANGURU s.r.o.","Rajecké Teplice"
JupBjnV0coU,"3-room apartment",85,NULL,"fully renovated","raised ground floor",NULL,NULL,1985,"not available",NULL,NULL,NULL,NULL,"okres Čadca",Raková,Raková,"1. Reality Rent, s.r.o.",Žilina
JuqAM-ZO9ir,"2-room apartment",55,3563.64,"new construction",NULL,NULL,NULL,NULL,A,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Malé Borové","Malé Borové",NULL,NULL
Ju5VjRRX_4J,"3-room apartment",NULL,NULL,"partially renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hliny,NULL,NULL
Juarr5O2upK,"1-room apartment",94,1420.21,"under construction","ground floor",1,yes,2025,A,yes,NULL,yes,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",Žilina
JuXRtZdfweI,"4-room apartment",85,2189.35,"partially renovated","upper floor",3,yes,1981,B,NULL,NULL,yes,yes,"okres Martin",Martin,Ľadoveň,"Reality Center, s.r.o.",Martin
JuNZupA7Ru4,"2-room apartment",52,3082.34,"new construction","ground floor",1,NULL,2025,B,NULL,NULL,NULL,NULL,"okres Žilina","Rajecké Teplice","Rajecké Teplice","ŽILINAREAL, s.r.o.",Žilina
JumbMyGo4iI,"2-room apartment",58,3816.13,"fully renovated","ground floor",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Ružomberok",Bešeňová,Bešeňová,"RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuaCjfZIx81,"2-room apartment",48,2908.31,"under construction","upper floor",3,NULL,2025,A,NULL,NULL,NULL,NULL,"okres Ružomberok",Ružomberok,Roveň,"ODEKO manažment s.r.o.",Žilina
JuUnD0myJmK,"2-room apartment",62,2576.57,"partially renovated","upper floor",2,yes,NULL,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hájik,"Piata Avenue",Žilina
JuIP59md355,"4-room apartment",102,2812.66,"under construction","upper floor",7,NULL,2025,A,NULL,NULL,NULL,NULL,"okres Ružomberok",Ružomberok,Roveň,"ODEKO manažment s.r.o.",Žilina
JuIh9K2txJ3,"3-room apartment",144,1455.00,"new construction",NULL,NULL,NULL,NULL,A,NULL,NULL,NULL,NULL,"okres Námestovo",Zubrohlava,Zubrohlava,"BeMi realitná kancelária",Nitra
Jub5nNi4yTF,"2-room apartment",62,2887.10,"partially renovated","upper floor",6,NULL,1975,B,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,"RIEŠIME BÝVANIE",Bratislava
Juqj8-BDIgQ,"3-room apartment",122,1614.75,"new construction","ground floor",1,yes,2024,A,NULL,NULL,NULL,NULL,"okres Námestovo","Oravské Veselé","Oravské Veselé","OREA, s.r.o.","Dolný Kubín"
JuQfQh_4sSF,"2-room apartment",84,NULL,"new construction","upper floor",4,NULL,2025,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hliny,"MGM reality",Žilina
JujYXXx5gXi,"3-room apartment",169,3223.45,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto",NULL,NULL
JugTLMsHTVi,"2-room apartment",52,2211.54,unrenovated,"upper floor",NULL,NULL,1970,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Podháj,"B10 Slovensko, a. s.",Žilina
Jul7be3Lkz5,"holiday apartment",26,4230.77,"new construction","ground floor",1,yes,2022,A,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuPT1z2mBzV,"1-room apartment",36,3722.19,"partially renovated","upper floor",9,yes,1975,B,NULL,yes,yes,NULL,"okres Žilina",Žilina,Vlčince,"R2 SK, s.r.o.",Žilina
Ju4hZgzLszu,"2-room apartment",62,2000.00,"partially renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Tvrdošín",Trstená,Trstená,NULL,NULL
JuKlHRPhAEF,"2-room apartment",57,2592.98,"fully renovated","upper floor",NULL,NULL,1900,"not available",NULL,NULL,NULL,yes,"okres Martin",Vrútky,"Horné Vrútky","HALO reality, s.r.o.",Prievidza
JuvFESSKGWN,"3-room apartment",86,1779.07,"partially renovated","upper floor",5,yes,2025,"not available",NULL,NULL,yes,NULL,"okres Martin",Vrútky,"Horné Vrútky","Reality D.P.A.",Martin
JusgW9odCAS,"4-room apartment",107,1488.76,unrenovated,"ground floor",1,NULL,1960,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Priekopa,Time4dreams,Nitra
Juvk9S_5ltU,"2-room apartment",54,2592.59,unrenovated,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hliny,NULL,NULL
JuDCMQupxo0,"2-room apartment",59,NULL,"partially renovated","ground floor",1,yes,1980,"not available",NULL,NULL,NULL,NULL,"okres Tvrdošín",Tvrdošín,Medvedzie,"TUreality s.r.o.",Žilina
JufAeKZk5m-,"2-room apartment",55,2545.45,"partially renovated",NULL,NULL,NULL,NULL,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Bitarová,Bitarová,"Direct Real, spol. s r.o.",Bratislava
JuNguQDV0Zn,"2-room apartment",52,2499.04,"fully renovated",NULL,NULL,NULL,NULL,"not available",NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny,"Direct Real, spol. s r.o.",Bratislava
JuKOtZwcbir-,"holiday apartment",28,3357.40,"fully renovated","upper floor",2,yes,2025,"not available",NULL,yes,yes,NULL,"okres Ružomberok",Ružomberok,Hrabovo,"Reality Alpia",Martin
JuMm4AW_gBf,"5+ room apartment",150,2326.67,"partially renovated","top floor",3,NULL,2000,"not available",NULL,yes,yes,NULL,"okres Žilina","Rajecké Teplice","Rajecké Teplice","Reality IQ, s.r.o.",Žilina
JuSYwKOlQ-6,"3-room apartment",NULL,NULL,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Dolný Kubín","Dolný Kubín",NULL,"Nové bývanie",Nitra
JuZqtWo-t_S,"holiday apartment",29,4068.97,"new construction","upper floor",2,NULL,2020,A,NULL,NULL,yes,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia","Prvá Realitná Kancelária, s.r.o.",Bratislava
JuJCzmrTicR,"2-room apartment",40,3250.00,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Záturčie,NULL,NULL
JumsfvMXhg-,"3-room apartment",67,2283.58,unrenovated,NULL,NULL,NULL,NULL,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Solinky,"Direct Real, spol. s r.o.",Bratislava
JuymkoAFG_6,"2-room apartment",60,2170.00,unrenovated,"upper floor",3,NULL,1975,B,NULL,yes,yes,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,"HOLESTIAK.sk reality s.r.o.",Čadca
JucOec67NRR,"1-room apartment",33,3030.30,unrenovated,"upper floor",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Tvrdošín",Nižná,Nižná,"Vianema s.r.o.",Bratislava
JuyOHLJxsdS,"3-room apartment",64,3031.25,"fully renovated","upper floor",3,yes,2000,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","Local reality s. r. o.",Malinovo
Ju_yl2A922o,"2-room apartment",57,1366.67,unrenovated,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Turčianske Teplice","Turčianske Teplice",Stred,NULL,NULL
JuDoLB83xqT,"3-room apartment",78,1088.46,unrenovated,"upper floor",3,NULL,1900,B,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš",Malužiná,Malužiná,"HALO reality, s.r.o.",Prievidza
JuQvJ7BykSU,"2-room apartment",49,2222.00,unrenovated,"ground floor",1,yes,1970,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Sever,"WFG reality, s.r.o.",Žilina
JuHLqjLk9w7,"2-room apartment",63,2021.80,"fully renovated","ground floor",1,NULL,1980,"not available",NULL,NULL,NULL,NULL,"okres Čadca",Oščadnica,Oščadnica,"1. Reality Rent, s.r.o.",Žilina
Juhlf1Su_tu,"studio apartment",34,3702.94,"partially renovated","upper floor",2,NULL,2012,A,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Závodie,"RIEŠIME BÝVANIE",Bratislava
Ju4aGAgIjVo,"3-room apartment",80,NULL,"partially renovated","top floor",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"LIF REAL",Martin
Ju4nG9JDEKF,"3-room apartment",70,NULL,"partially renovated",NULL,NULL,NULL,1980,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Ľadoveň,"TUreality s.r.o.",Žilina
JuJrBHwvfXe,"holiday apartment",23,5217.39,"new construction","ground floor",1,yes,2016,A,NULL,NULL,NULL,yes,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina","AstonReal s.r.o.","Banská Bystrica"
JuVk3AeemQd,"3-room apartment",65,2845.34,"under construction","upper floor",2,yes,2025,A,yes,NULL,yes,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",Žilina
JucIMMNEosV,"3-room apartment",67,1932.84,"partially renovated","top floor",3,NULL,1960,C,yes,NULL,NULL,NULL,"okres Ružomberok",Ružomberok,Baničné,"A-Byt Consult, s.r.o.",Ružomberok
Ju2EMTkOn53,"2-room apartment",61,3555.74,"new construction","upper floor",6,yes,2025,A,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,"Reinoo a.s.",Žilina
JuYbhGZmbC7,"2-room apartment",49,974.66,unrenovated,"raised ground floor",1,NULL,2001,"not available",NULL,NULL,NULL,NULL,"okres Ružomberok","Liptovská Lúžna","Liptovská Lúžna","Obec Liptovská Lúžna","Liptovská Lúžna"
Ju59v0S7Gi9,"3-room apartment",77,1740.26,unrenovated,"upper floor",4,NULL,1990,"not available",NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
Ju4SvmwHoAg,"3-room apartment",72,2474.59,"new construction","upper floor",2,yes,NULL,NULL,NULL,NULL,NULL,NULL,"okres Ružomberok","Liptovská Teplá","Liptovská Teplá","FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuNRFKe9B5N6,"4-room apartment",140,1863.00,"new construction","top floor",4,NULL,2026,A,NULL,NULL,NULL,NULL,"okres Martin",Sučany,Sučany,"TARGETreal s. r. o.",Žilina
JuG99-vnL8U,"4-room apartment",212,NULL,"new construction","top floor",4,yes,2021,A,NULL,NULL,NULL,NULL,"okres Martin",Martin,Košúty,"Reality Alpia",Martin
JuvzAFSDr4x,"3-room apartment",110,NULL,"new construction","upper floor",NULL,NULL,NULL,A,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Bôrik,"Realitná kancelária",Bratislava
Jul_OGhX8QT,"3-room apartment",60,2833.33,"partially renovated","upper floor",2,yes,NULL,"not available",NULL,yes,NULL,yes,"okres Ružomberok",Ružomberok,Hrabovo,"Piešťany Reality",Piešťany
Ju7UFzA6VtL,"2-room apartment",53,3903.77,"new construction","top floor",4,yes,2025,"in preparation",NULL,yes,yes,NULL,"okres Žilina",Žilina,"Staré mesto","WFG reality, s.r.o.",Žilina
Ju4Vd5pUjXm,"3-room apartment",65,2307.68,"partially renovated",NULL,NULL,NULL,NULL,"not available",NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","Direct Real, spol. s r.o.",Bratislava
JuA1jb9HH8o,"2-room apartment",56,2259.79,"partially renovated","top floor",13,yes,2025,"not available",NULL,NULL,NULL,NULL,"okres Ružomberok",Ružomberok,"Staré mesto","Reality Alpia",Martin
Ju9k2e7JWOr,"1-room apartment",38,2236.84,"partially renovated","upper floor",3,NULL,1975,"not available",NULL,NULL,NULL,NULL,"okres Martin",Turany,Turany,"Like Reality s.r.o.","Považská Bystrica"
JuXNm9NwSwi,"3-room apartment",75,2932.00,"new construction","upper floor",4,NULL,2013,B,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hájik,"MGM reality",Žilina
JuOnQ9rym-h,"4-room apartment",87,2517.24,"partially renovated","upper floor",3,NULL,1968,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","RIEŠIME BÝVANIE",Bratislava
JuFNpzHutiG,"3-room apartment",65,2569.23,"partially renovated","raised ground floor",NULL,NULL,1980,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hliny,"TUreality s.r.o.",Žilina
JuZ8UmPHnMd,"2-room apartment",59,1895.12,"fully renovated","ground floor",1,NULL,1940,A,NULL,NULL,NULL,NULL,"okres Čadca",Staškov,Staškov,"SLNOVRAT, s.r.o.",Olešná
JuWLCChouGh,"3-room apartment",102,1960.78,"new construction","raised ground floor",3,NULL,2025,A,NULL,NULL,NULL,NULL,"okres Martin",Sučany,Sučany,"TARGETreal s. r. o.",Žilina
JuS6qI_HXQ_,"4-room apartment",88,2670.34,"partially renovated","top floor",2,NULL,1979,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Bôrik,"1. Reality Rent, s.r.o.",Žilina
JuvIFSCKDaN,"2-room apartment",63,NULL,"fully renovated","ground floor",NULL,NULL,1980,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Priekopa,"TUreality s.r.o.",Žilina
JuJITXm9Zsf,"3-room apartment",66,NULL,"fully renovated","upper floor",2,NULL,1981,"not available",yes,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovská Kokava","Liptovská Kokava","ARBIZ real estate & finance s. r. o.",Ružomberok
JueaFakyLvY,"3-room apartment",83,3628.76,"development project","upper floor",3,yes,2022,A,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","KORSO Project, s.r.o.",Žilina
Ju1F-eiNHx4,"3-room apartment",85,2694.12,"fully renovated","top floor",4,NULL,1970,"not available",yes,yes,yes,yes,"okres Žilina",Žilina,"Staré mesto","RIEŠIME BÝVANIE",Bratislava
JuL3MT7o1WL,"2-room apartment",60,2331.67,"fully renovated","upper floor",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"Realitná kancelária",Bratislava
JuhigkHR5x2,"4-room apartment",320,NULL,"new construction","top floor",2,yes,2022,A,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina","Occam New Home",Bratislava
Ju5eub1EsyB,"3-room apartment",100,NULL,"new construction","upper floor",6,yes,2010,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Bôrik,"Gro & Partners",Žilina
JuDetN4gLGy,"holiday apartment",43,5232.56,"new construction","ground floor",1,NULL,2019,B,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina","Tatra Invest",Podtureň
JuxJN0jj6xv,"1-room apartment",34,3414.06,"new construction","ground floor",1,NULL,2025,A,NULL,NULL,yes,NULL,"okres Martin",Martin,Tomčany,"Reality AK, spol. s r.o.",Martin
Ju9zHP-4dng,"3-room apartment",61,2868.85,"partially renovated","ground floor",1,yes,1900,"not available",NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny,"HALO reality, s.r.o.",Prievidza
JuTy8iCXD6j,"2-room apartment",51,3357.41,"new construction","ground floor",1,NULL,1900,A,yes,NULL,NULL,yes,"okres Martin",Martin,Tomčany,"Reality AK, spol. s r.o.",Martin
JuGJ3bcseaG,"1-room apartment",41,2341.22,"partially renovated","ground floor",1,NULL,1975,"not available",NULL,NULL,yes,NULL,"okres Čadca",Čadca,Žarec,"Renovo Reality",Žilina
JuI3iwt9MRR,"studio apartment",25,3996.00,"new construction","upper floor",2,NULL,2020,"in preparation",NULL,NULL,yes,NULL,"okres Dolný Kubín","Dolný Kubín",Brezovec,"OREA, s.r.o.","Dolný Kubín"
JumSU3uP1r7,"holiday apartment",49,3000.00,"partially renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Čadca",Oščadnica,Oščadnica,NULL,NULL
JuCyeszuCeF,"3-room apartment",65,1723.08,unrenovated,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Čadca",Čadca,"Sídlisko 3",NULL,NULL
JuDZ3hA20uQ,"4-room apartment",100,1831.83,"partially renovated",NULL,NULL,NULL,2024,"not available",NULL,NULL,NULL,NULL,"okres Dolný Kubín",Zázrivá,Zázrivá,"TUreality s.r.o.",Žilina
Ju1Cm4LoVXM,"studio apartment",123,1815.80,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Ružomberok",Ružomberok,"Staré mesto",NULL,NULL
JuOOVFGvzwX,"2-room apartment",62,2731.71,"new construction","upper floor",2,NULL,2024,"not available",NULL,yes,NULL,yes,"okres Ružomberok","Liptovská Teplá","Liptovská Teplá",Limaxreal,"Liptovský Mikuláš"
JuuuYAHYGX8,"2-room apartment",60,2716.67,"development project",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Dolný Kubín","Dolný Kubín",Brezovec,NULL,NULL
Ju5R24o6GQR,"3-room apartment",74,2094.10,unrenovated,"upper floor",4,NULL,1980,"not available",NULL,NULL,NULL,NULL,"okres Dolný Kubín","Dolný Kubín",Brezovec,"RK Dalmia s. r. o.","Dolný Kubín"
Ju8_AnIgnrX,"2-room apartment",57,2092.05,"partially renovated","raised ground floor",4,yes,1982,"not available",NULL,NULL,NULL,NULL,"okres Čadca",Čadca,Žarec,"MENÍME BÝVANIE",Čadca
Juo19uqWHqv,"3-room apartment",85,2088.24,"fully renovated","upper floor",4,yes,1970,"not available",NULL,NULL,NULL,NULL,"okres Martin",Vrútky,"Horné Vrútky","Reality MT s.r.o.",Martin
JuEVg7e9gge,"3-room apartment",72,2070.11,unrenovated,"upper floor",2,yes,1960,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Záturčie,"R2 SK, s.r.o.",Žilina
Juv94EKwgh6,"3-room apartment",73,2730.50,"new construction","ground floor",1,yes,2024,"not available",NULL,NULL,NULL,NULL,"okres Ružomberok","Liptovská Teplá","Liptovská Teplá","AstonReal s.r.o.","Banská Bystrica"
