property_type,condition,location_district,location_area,gen_count,gen_avg_price,area_count,dis_avg_price,price_diff
house,"new construction","okres Martin",Priekopa,340,2114.287185,3,2441.575000,15.4798183200
house,"partially renovated","okres Kysucké Nové Mesto",Ochodnica,331,1370.453684,2,802.725000,-41.4263313404
house,"new construction","okres Bytča","Veľké Rovné",340,2114.287185,2,2390.765000,13.0766443159
house,"new construction","okres Martin","Kláštor pod Znievom",340,2114.287185,2,2331.815000,10.2884705797
house,unrenovated,"okres Liptovský Mikuláš","Demänovská Dolina",364,1025.187980,1,3500.000000,241.4008033922
house,"fully renovated","okres Martin",Valča,198,1549.545062,2,1257.935000,-18.8190759437
house,"fully renovated","okres Žilina","Teplička nad Váhom",198,1549.545062,4,1863.020000,20.2301272604
house,"fully renovated","okres Dolný Kubín","Medzibrodie nad Oravou",198,1549.545062,1,515.870000,-66.7082931209
house,unrenovated,"okres Žilina","Rajecké Teplice",364,1025.187980,4,1031.295000,0.5956975812
house,"new construction","okres Liptovský Mikuláš","Liptovský Ján",340,2114.287185,2,3528.570000,66.8917082331
house,"fully renovated","okres Liptovský Mikuláš","Liptovský Trnovec",198,1549.545062,1,NULL,NULL
house,"under construction","okres Liptovský Mikuláš","Vrbica - Nábrežie",51,1843.917727,1,1519.950000,-17.5695326454
house,"new construction","okres Žilina","Lietavská Svinná-Babkov",340,2114.287185,4,1715.037500,-18.8834179118
house,"partially renovated","okres Žilina","Veľká Čierna",331,1370.453684,1,864.130000,-36.9456983415
house,"partially renovated","okres Liptovský Mikuláš",Dovalovo,331,1370.453684,2,NULL,NULL
house,"partially renovated","okres Martin",Ďanová,331,1370.453684,1,NULL,NULL
house,unrenovated,"okres Ružomberok","Liptovské Revúce",364,1025.187980,4,714.140000,-30.3405800759
house,"new construction","okres Ružomberok",Baničné,340,2114.287185,2,2457.775000,16.2460340032
house,"partially renovated","okres Bytča","Veľká Bytča",331,1370.453684,2,1145.830000,-16.3904615400
house,unrenovated,"okres Kysucké Nové Mesto",Radoľa,364,1025.187980,1,1544.440000,50.6494447974
house,"partially renovated","okres Turčianske Teplice","Slovenské Pravno",331,1370.453684,3,1531.110000,11.7228562976
house,"under construction","okres Žilina",Trnové,51,1843.917727,1,1715.850000,-6.9454143818
house,"partially renovated","okres Liptovský Mikuláš",Pribylina,331,1370.453684,4,826.523333,-39.6898018043
