offer_id,agency,property_type,property_category,condition,location_district,location_area,agency_listings,district_listings,agency_price_m2,district_avg_price,price_index
JutxQo51THJ,"KUBALA REALITY, s.r.o.","standard plot",land,NULL,"okres Čadca",Raková,1,7,60.00,74.402857,-0.1935793541
JuTNX1DN12b,"1. Reality Rent, s.r.o.","standard plot",land,NULL,"okres Žilina",Kľače,1,3,50.00,76.680000,-0.3479394888
JuK4j_sbxpH,"StorkReal s. r. o.","standard plot",land,NULL,"okres Žilina",Kľače,1,3,70.04,76.680000,-0.0865936359
Ju9A78TekYt,"IDEÁLNE BÝVANIE, s.r.o.","standard plot",land,NULL,"okres Bytča","Veľké Rovné",1,3,61.82,47.286667,0.3073452608
JuGjSvB2SWb,"B10 Slovensko, a. s.","small plot",land,NULL,"okres Žilina",Višňové,1,3,196.00,181.473333,0.0800484940
JuS4rgPD6x3,"ROMDOM, s. r. o","large plot",land,NULL,"okres Kysucké Nové Mesto",Nesluša,1,2,20.00,10.000000,1.0000000000
JufFFiGUtxN,"RESIDENCE realitná kancelária","large plot",land,NULL,"okres Liptovský Mikuláš",Vitálišovce,2,4,164.84,197.975000,-0.1673696174
JuWW4q9AnNy,"RESIDENCE realitná kancelária","large plot",land,NULL,"okres Liptovský Mikuláš",Vitálišovce,2,4,187.06,197.975000,-0.0551332239
Ju81LTbk2gV,"Real Estate Group4U","standard plot",land,NULL,"okres Bytča",Jablonové,1,3,381.82,234.346667,0.6292956281
Ju-AMIyF1en,"Nové bývanie","standard plot",land,NULL,"okres Bytča",Jablonové,1,3,163.64,234.346667,-0.3017182532
Ju4W-q9O29Z,"Vianema s.r.o.","standard plot",land,NULL,"okres Bytča",Predmier,1,2,75.00,78.250000,-0.0415335463
JuSx0xp8txp,"Realitná kancelária","large plot",land,NULL,"okres Martin","Turčianske Kľačany",1,2,47.89,56.155000,-0.1471819072
JuHjqfxC4fX,"Mamud Reality s. r. o.","large plot",land,NULL,"okres Žilina",Bitarová,1,2,88.00,107.875000,-0.1842410197
JuhqDcjNAJB,"Reality Alpia","large plot",land,NULL,"okres Dolný Kubín",Žaškov,1,2,64.77,75.765000,-0.1451197783
JutIg8nIDtY,"B10 Slovensko, a. s.","standard plot",land,NULL,"okres Martin","Kláštor pod Znievom",1,3,81.46,89.750000,-0.0923676880
JuUJvcqmSGz,"Realitná kancelária","standard plot",land,NULL,"okres Martin",Príbovce,1,2,88.24,88.240000,0.0000000000
Ju4g9YHwdlx,"StorkReal s. r. o.","standard plot",land,NULL,"okres Žilina",Zbyňov,1,2,80.00,90.000000,-0.1111111111
