house_no,actual_price_m2,predicted_price_m2
552,863.64,1111.32
553,1960.75,970.37
554,59.69,-1038.1
555,61.54,-241.61
556,126.49,-260.84
557,2599.91,2598.42
558,799.50,1376.63
559,1617.98,1913.51
560,1540.00,1090.9
561,799.50,1380.13
562,1991.67,2461.22
563,271.90,260.87
564,348.19,95.68
565,2391.30,1962.46
566,2391.30,1962.46
567,2415.79,1702.41
568,648.50,1505.55
569,485.00,1042.83
570,1150.00,1068.91
571,270.59,148.57
572,1204.55,1261.06
573,994.12,1124.22
574,869.57,976.24
575,1739.13,1278.63
576,620.00,645.42
577,784.85,805.89
578,795.00,669.9
579,1272.22,1829.91
580,1994.12,2044.61
581,512.87,1257.74
582,1200.00,1313.14
583,772.22,1767.14
584,1950.00,1798.17
585,607.69,960.97
586,1659.09,1324.78
587,224.40,716.43
588,3888.89,2615.95
589,592.11,767.81
590,1460.00,1670.7
591,744.44,1083.05
592,1388.89,1327.18
593,1817.36,1619.85
594,1066.00,1303.2
595,800.00,955.1
596,1146.45,1164.04
597,784.21,783.76
598,1860.00,2047.22
599,1225.00,1690.83
600,2157.45,2300.16
601,1733.32,1725.15
602,2053.44,2296.65
603,2053.44,2293.15
604,150.44,109.51
605,790.91,786.85
606,1038.46,1167.74
607,218.26,-10.79
608,464.29,593.08
609,851.43,1248.78
610,643.13,895.89
611,1691.67,1543.71
612,1027.78,1038.3
613,1325.00,1386.83
614,2389.29,2655.4
615,2329.13,2307.27
616,2726.19,2827.34
617,1620.00,1632.2
618,1090.91,1210.89
619,1607.14,2044.71
620,91.85,-374.58
621,916.67,1134.6
622,377.12,376.33
623,377.12,376.33
624,1358.38,1730.56
625,2574.63,2370.93
626,680.00,1025.79
627,3357.14,1804.71
628,152.03,414.38
629,853.66,1563.03
630,2095.24,1433.76
631,1211.11,1383.83
632,1073.94,1345.71
633,1649.50,1947.77
634,3062.50,2394.58
635,932.67,1270.34
636,859.09,556.36
637,1200.00,1131.27
638,1200.00,1131.27
639,1587.06,1675.96
640,5812.22,5461.69
641,1499.50,1633.17
642,722.58,538.4
643,1760.00,2286.06
644,457.52,-230.19
645,1277.78,1677.87
646,3180.68,2308.63
647,990.00,1572.35
648,1271.43,1496.33
649,681.37,565.23
650,595.00,749.18
651,998.00,1145.31
652,833.33,424.91
653,1545.45,1562.58
654,235.51,-297.08
