offer_id,agency,property_type,property_category,condition,location_district,location_area,agency_listings,district_listings,agency_price_m2,district_avg_price,price_index,area_price_index,area_category
JuHbG5bC-AQ,"Reality AK, spol. s r.o.","large house",house,"fully renovated","okres Martin",Stráne,1,2,729.17,987.800000,-0.2618242559,-0.0089918347,average
JuhlHrJa9hV,"ALT REAL, s.r.o.","large house",house,"fully renovated","okres Martin",Stráne,1,2,1246.43,987.800000,0.2618242559,-0.0089918347,average
JubJO0qS-zH,jabyvam.sk,"standard house",house,"partially renovated","okres Liptovský Mikuláš",Ľubeľa,1,2,1374.29,1430.000000,-0.0389580420,-0.0759337989,average
Jufj_0Gj-0k,"OVERENÉ REALITY","standard house",house,"partially renovated","okres Liptovský Mikuláš",Ľubeľa,1,2,1485.71,1430.000000,0.0389580420,-0.0759337989,average
Juolbg2gxyQ,"RE/MAX Slovakia","large house",house,"new construction","okres Liptovský Mikuláš",Ižipovce,1,4,1200.00,1309.640000,-0.0837176629,-0.1234200963,average
Ju2NkOjuxZI,"MGM reality","standard house",house,"new construction","okres Žilina","Rajecké Teplice",1,3,2230.69,2420.486667,-0.0784126059,0.0507869344,average
JurLHZvtaEy,"AstonReal s.r.o.","standard house",house,"fully renovated","okres Martin",Stred,1,3,2926.58,2828.036667,0.0348451398,0.1938109699,expensive
Juxivp9KfQ0,"IDEÁLNE BÝVANIE, s.r.o.","standard house",house,"new construction","okres Žilina",Rosina,1,2,3250.73,3744.930000,-0.1319650835,0.2682717788,expensive
JuOaEJ-u0ZG,"1. Reality Rent, s.r.o.","small house",house,unrenovated,"okres Čadca",Svrčinovec,2,3,499.98,644.436667,-0.2241596023,-0.5161943179,cheap
Ju1Kl-Z5Rmy,"1. Reality Rent, s.r.o.","small house",house,unrenovated,"okres Čadca",Svrčinovec,2,3,900.00,644.436667,0.3965685786,-0.5161943179,cheap
Ju02FWXcSxg,"ALT REAL, s.r.o.","standard house",house,unrenovated,"okres Turčianske Teplice",Mošovce,1,2,866.67,943.335000,-0.0812701744,-0.2970508266,cheap
JuxTlJngqfx,"Realitná kancelária RED, s.r.o.","large house",house,"new construction","okres Žilina",Hôrky,1,2,2385.87,2688.105000,-0.1124342241,0.2436213332,expensive
JunogbuFikZ,"OVERENÉ REALITY","large house",house,"partially renovated","okres Ružomberok",Stankovany,1,2,314.29,780.365000,-0.5972525677,-0.4305790782,cheap
Juj0QibLMWk,"JPE. Reality - Jozef Pajer","large house",house,"new construction","okres Čadca",Stred,1,2,1983.87,1689.435000,0.1742801588,-0.1367068093,average
JuzAGRifcCv,"GAMA Reality, s.r.o.","large house",house,"new construction","okres Čadca",Stred,1,2,1395.00,1689.435000,-0.1742801588,-0.1367068093,average
JuWLq7Wh8lf,"Reality AK, spol. s r.o.","large house",house,"fully renovated","okres Martin","Kláštor pod Znievom",1,2,1205.29,1102.645000,0.0930897977,-0.1227246646,average
JuLLKbrzsGT,"Allrisk Slovakia Reality & Financie, s.r.o.","large house",house,"partially renovated","okres Žilina",Budatín,1,2,1245.00,1435.000000,-0.1324041812,0.5129449150,premium
JucVvBL8mQZ,"ŽILINAREAL, s.r.o.","standard house",house,"new construction","okres Žilina",Brezany,1,2,2726.19,2557.740000,0.0658589223,0.3073558222,expensive
Jua9bDzVCPy,"RE/MAX Slovakia","standard house",house,unrenovated,"okres Ružomberok",Lisková,1,2,1090.91,1003.790000,0.0867910619,-0.1977988756,average
JuHinPus21r,"RK Dalmia s. r. o.","standard house",house,unrenovated,"okres Ružomberok",Lisková,1,2,916.67,1003.790000,-0.0867910619,-0.1977988756,average
JunqWaLvLjb,"NajBývanie, s.r.o.","standard house",house,"new construction","okres Liptovský Mikuláš","Liptovská Sielnica",1,2,2285.71,2710.315000,-0.1566626019,-0.0351732627,average
Juec3rJbHzE,"HALO reality, s.r.o.","standard house",house,"new construction","okres Liptovský Mikuláš","Liptovská Sielnica",1,2,3134.92,2710.315000,0.1566626019,-0.0351732627,average
Juu4bOArZvB,"Romantické Chalupy, s.r.o.","standard house",house,unrenovated,"okres Ružomberok",Lúčky,1,3,1211.11,1386.670000,-0.1266054649,0.0515242288,average
Ju7pKhqP4zK,"Like Reality s.r.o.","extra large house",house,"partially renovated","okres Martin",Sučany,1,3,581.68,421.080000,0.3814002090,-0.1913181231,average
JunAaEjMO5H,"DRAŽOBNÍK, s.r.o.","large house",house,"partially renovated","okres Liptovský Mikuláš",Važec,1,2,296.50,435.750000,-0.3195639702,-0.3574816230,cheap
JuKz9mvEvI_,"REALITY TATRY","large house",house,"partially renovated","okres Liptovský Mikuláš",Važec,1,2,575.00,435.750000,0.3195639702,-0.3574816230,cheap
Juzaery-uaM,"Buby reality, s.r.o.","standard house",house,"new construction","okres Martin",Tomčany,1,3,3561.15,3295.246667,0.0806929981,0.0676942205,average
