offer_id,property_type,area,terrain,price_m2,location_district,location_city,location_area,agency,office_city
Ju_Khlvp1_L,land,507,NULL,123.00,"okres Liptovský Mikuláš",Podtureň,Podtureň,"NFA Group, s.r.o.","Žiar nad Hronom"
JuwYiWFslPL,land,1090,flat,NULL,"okres Martin",Trnovo,Trnovo,"JMB REALITY s.r.o.",Ľubietová
Ju6_q9iLcH2,land,2955,"gently sloped",59.22,"okres Kysucké Nové Mesto",Povina,Povina,"DreamReality s.r.o.",Žilina
JuVeKcRGSvF,land,793,NULL,73.14,"okres Martin",Turany,Turany,"BALAŽI REAL ESTATE s.r.o.",Topoľčany
JuUUj1AEgQf,land,1121,"gently sloped",74.93,"okres Dolný Kubín",Malatiná,Malatiná,"RK Dalmia s. r. o.","Dolný Kubín"
JuAewW0gIjM,land,640,NULL,102.34,"okres Žilina",Ovčiarsko,Ovčiarsko,"RS Mansory s.r.o.",Bratislava
JutgQ5gFNVe,land,3598,"gently sloped",79.00,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Suľkov,"1. Reality Rent, s.r.o.",Žilina
Ju2DkJ0tL0r,land,3500,flat,65.00,"okres Liptovský Mikuláš",Kvačany,Kvačany,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
JusNOhzmA1cV,land,500,NULL,86.00,"okres Žilina","Dlhé Pole","Dlhé Pole","BeMi realitná kancelária",Nitra
Julm5UqUwbF,land,297,"gently sloped",157.91,"okres Martin",Vrícko,Vrícko,"RADO Reality",Trenčín
JuoWIuSbW9f,land,898,NULL,NULL,"okres Martin",Turany,Turany,"BALAŽI REAL ESTATE s.r.o.",Topoľčany
Ju3DHGm3SX3,land,650,"gently sloped",385.38,"okres Žilina",Žilina,"Žilinská Lehota","Real Estate Group4U","Považská Bystrica"
JujU-NvkZd5,land,731,NULL,135.43,"okres Žilina","Lietavská Svinná-Babkov","Lietavská Svinná-Babkov","BALAŽI REAL ESTATE s.r.o.",Topoľčany
