property_type,condition,location_district,dis_avg_price,agency,agency_avg_price,price_diff
"4-room apartment","new construction","okres Martin",1863.000000,"Reality Alpia",NULL,NULL
"4-room apartment","new construction","okres Martin",1863.000000,"TARGETreal s. r. o.",1863.000000,0.0000000000
"4-room apartment","new construction","okres Čadca",1570.420000,"JPE. Reality - Jozef Pajer",NULL,NULL
"4-room apartment","new construction","okres Žilina",2968.784762,"RIEŠIME BÝVANIE",2023.445000,-0.3184265071
"4-room apartment","new construction","okres Žilina",2968.784762,NULL,3085.390000,0.0392770939
"2-room apartment","fully renovated","okres Liptovský Mikuláš",2689.293333,"YFE, s.r.o.",2208.030000,-0.1789553141
"2-room apartment","fully renovated","okres Liptovský Mikuláš",2689.293333,"OVERENÉ REALITY",2173.910000,-0.1916426619
"2-room apartment","fully renovated","okres Žilina",2955.898333,"DRR INVEST, s. r. o.",2741.770000,-0.0724410345
"2-room apartment","fully renovated","okres Liptovský Mikuláš",2689.293333,"RK SPIRIT s.r.o.",4244.695000,0.5783681713
"2-room apartment","fully renovated","okres Martin",2491.667778,"Felicita Real s. r. o.",2189.660000,-0.1212070809
"2-room apartment","fully renovated","okres Žilina",2955.898333,"Georgi Conev",2908.910000,-0.0158964645
"2-room apartment","fully renovated","okres Ružomberok",2533.832500,"NajBývanie, s.r.o.",2173.910000,-0.1420466822
"2-room apartment","fully renovated","okres Martin",2491.667778,"Reality Center, s.r.o.",2676.130000,0.0740316280
"2-room apartment","fully renovated","okres Žilina",2955.898333,NULL,3173.075000,0.0734723061
"2-room apartment","fully renovated","okres Liptovský Mikuláš",2689.293333,"NajBývanie, s.r.o.",2181.820000,-0.1887013688
"2-room apartment","fully renovated","okres Liptovský Mikuláš",2689.293333,"Realitné kancelárie SR",2071.240000,-0.2298199774
"2-room apartment","fully renovated","okres Liptovský Mikuláš",2689.293333,"AstonReal s.r.o.",2380.000000,-0.1150091473
"2-room apartment","fully renovated","okres Žilina",2955.898333,"MENS s. r. o.",4017.860000,0.3592686714
"2-room apartment","fully renovated","okres Námestovo",2111.700000,"EVER SK, s.r.o.",2111.700000,0.0000000000
"2-room apartment","fully renovated","okres Žilina",2955.898333,"TUreality s.r.o.",3000.000000,0.0149198863
"2-room apartment","fully renovated","okres Martin",2491.667778,"B10 Slovensko, a. s.",2355.930000,-0.0544766759
"2-room apartment","fully renovated","okres Žilina",2955.898333,"TARGETreal s. r. o.",2750.000000,-0.0696567709
"2-room apartment","fully renovated","okres Dolný Kubín",2629.365000,NULL,2314.290000,-0.1198293124
"2-room apartment","fully renovated","okres Žilina",2955.898333,"BR ACADEMY, s. r. o.",NULL,NULL
"2-room apartment","fully renovated","okres Ružomberok",2533.832500,"RK Dalmia s. r. o.",2142.860000,-0.1543008466
"2-room apartment","fully renovated","okres Martin",2491.667778,"FINREA - ak vám záleží na výsledku",2400.000000,-0.0367897273
"2-room apartment","fully renovated","okres Žilina",2955.898333,"Safe reality s. r. o.",2768.750000,-0.0633135216
"2-room apartment","fully renovated","okres Žilina",2955.898333,"MGM reality",2884.185000,-0.0242610959
"2-room apartment","fully renovated","okres Liptovský Mikuláš",2689.293333,"J.M.H. s.r.o.",3737.830000,0.3898930080
"2-room apartment","fully renovated","okres Ružomberok",2533.832500,"GARANT REALITY",2017.860000,-0.2036332315
"2-room apartment","fully renovated","okres Ružomberok",2533.832500,"Reality Alpia",1840.970000,-0.2734444759
"2-room apartment","fully renovated","okres Liptovský Mikuláš",2689.293333,"BEDES | Realitná kancelária",4907.960000,0.8249998763
"2-room apartment","fully renovated","okres Dolný Kubín",2629.365000,"AstonReal s.r.o.",2944.440000,0.1198293124
"2-room apartment","fully renovated","okres Martin",2491.667778,AZUR.RE,2313.880000,-0.0713529226
"2-room apartment","fully renovated","okres Liptovský Mikuláš",2689.293333,"KA Real",1771.035000,-0.3414496744
"2-room apartment","fully renovated","okres Žilina",2955.898333,"Realitná kancelária RED, s.r.o.",2916.800000,-0.0132272252
"2-room apartment","fully renovated","okres Žilina",2955.898333,"EASY centrum bývania, s.r.o.",3807.630000,0.2881464689
"2-room apartment","fully renovated","okres Žilina",2955.898333,"ŽILINAREAL, s.r.o.",2738.695000,-0.0734813273
"2-room apartment","fully renovated","okres Martin",2491.667778,"Realitná kancelária",2331.670000,-0.0642131264
"2-room apartment","fully renovated","okres Martin",2491.667778,"TUreality s.r.o.",NULL,NULL
"2-room apartment","fully renovated","okres Čadca",1826.004000,"1. Reality Rent, s.r.o.",2021.800000,0.1072264902
"2-room apartment","fully renovated","okres Liptovský Mikuláš",2689.293333,"Direct Real, spol. s r.o.",2646.840000,-0.0157860552
"2-room apartment","fully renovated","okres Martin",2491.667778,"HALO reality, s.r.o.",2592.980000,0.0406604054
"2-room apartment","fully renovated","okres Ružomberok",2533.832500,"RESIDENCE realitná kancelária",3645.565000,0.4387553242
"2-room apartment","fully renovated","okres Kysucké Nové Mesto",2525.256667,"HOLESTIAK.sk reality s.r.o.",2398.110000,-0.0503499976
"2-room apartment","fully renovated","okres Čadca",1826.004000,"SLNOVRAT, s.r.o.",1804.248889,-0.0119140544
"2-room apartment","fully renovated","okres Martin",2491.667778,"RE/MAX Slovakia",2603.782500,0.0449958550
"2-room apartment","fully renovated","okres Bytča",2763.730000,"GAMA Reality, s.r.o.",3000.000000,0.0854895377
"3-room apartment","under construction","okres Žilina",2686.740000,"Realitná kancelária",2028.610000,-0.2449548523
"3-room apartment","under construction","okres Liptovský Mikuláš",3442.430000,"TATRA CITY RESIDENCE s. r. o.",4009.290000,0.1646685626
"3-room apartment","under construction","okres Ružomberok",2975.950000,"RK SPIRIT s.r.o.",NULL,NULL
"3-room apartment","under construction","okres Martin",2645.646667,"Constario REALTY s.r.o.",2272.060000,-0.1412080727
"3-room apartment","under construction","okres Žilina",2686.740000,"Reality Alpia",3344.870000,0.2449548523
"3-room apartment","under construction","okres Kysucké Nové Mesto",2888.855000,"Istrofinal, s. r. o.",2888.855000,0.0000000000
"3-room apartment","under construction","okres Martin",2645.646667,"CANGURU s.r.o.",2720.364000,0.0282416144
"3-room apartment","under construction","okres Ružomberok",2975.950000,"ODEKO manažment s.r.o.",2975.950000,0.0000000000
"2-room apartment","new construction","okres Martin",2847.854545,"TARGETreal s. r. o.",2500.000000,-0.1221461769
