agency,apt_listings,apt_pricing_idx,apt_top5,house_listings,house_pricing_idx,house_top5,land_listings,land_pricing_idx,land_top5
"R2 SK, s.r.o.",5,0.06284000,NULL,9,0.07387500,NULL,4,0.13445000,NULL
"RADO Reality",NULL,NULL,NULL,NULL,NULL,NULL,2,-0.25725000,NULL
"RAI COMPANY s.r.o.",NULL,NULL,NULL,NULL,NULL,NULL,1,0.00000000,NULL
"RAJA, spol. s r.o.",NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
"RE/MAX Slovakia",21,0.01390000,NULL,25,0.00802609,NULL,25,0.06376087,NULL
"Real Estate Group4U",NULL,NULL,NULL,16,0.00026667,NULL,11,0.75683636,NULL
"Real Global",NULL,NULL,NULL,1,0.00000000,NULL,NULL,NULL,NULL
"Real Reality Development s.r.o.",3,0.00000000,NULL,4,0.04335000,NULL,6,0.00986667,NULL
"REAL21 Invest-consult, s.r.o.",NULL,NULL,NULL,3,-0.00220000,NULL,NULL,NULL,NULL
"Realitka pre každého",2,0.10955000,NULL,NULL,NULL,NULL,7,0.00428000,NULL
"Realitná kancelária",33,-0.02205600,"Realitná kancelária",31,-0.00787500,NULL,16,-0.10146250,NULL
"Realitná kancelária DOM",5,-0.01072000,NULL,5,0.16890000,NULL,NULL,NULL,NULL
"Realitná kancelária DR, s.r.o.",1,0.00000000,NULL,3,-0.05806667,NULL,NULL,NULL,NULL
"Realitná kancelária Kľúč",NULL,NULL,NULL,1,0.07140000,NULL,NULL,NULL,NULL
"Realitná kancelária Peter Hubka",NULL,NULL,NULL,1,0.00000000,NULL,NULL,NULL,NULL
"Realitná kancelária RED, s.r.o.",39,-0.01973421,"Realitná kancelária RED, s.r.o.",37,0.01306897,"Realitná kancelária RED, s.r.o.",NULL,NULL,NULL
"Realitná kancelária SYMPATIA REAL s. r. o.",NULL,NULL,NULL,NULL,NULL,NULL,1,0.00000000,NULL
"Realitná sieť UPgreat",NULL,NULL,NULL,1,0.00000000,NULL,NULL,NULL,NULL
"Realitné kancelárie SR",19,-0.04357895,NULL,52,0.00952766,"Realitné kancelárie SR",46,-0.00391364,"Realitné kancelárie SR"
"Reality AK, spol. s r.o.",11,0.00598333,NULL,12,-0.04826000,NULL,10,-0.03361250,NULL
"Reality Alpia",35,0.01505357,"Reality Alpia",57,-0.03327551,"Reality Alpia",21,-0.12895556,NULL
"Reality ASTORIA, s.r.o.",7,0.04567500,NULL,16,0.14022000,NULL,4,-0.02175000,NULL
"Reality BL, s.r.o.",NULL,NULL,NULL,3,0.00000000,NULL,1,NULL,NULL
"Reality Center, s.r.o.",14,0.01250000,NULL,10,0.02903333,NULL,9,0.00940000,NULL
"Reality D.P.A.",5,-0.01092500,NULL,2,0.01175000,NULL,12,0.02431111,NULL
"Reality ELIÁŠ",1,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
