agency,apt_listings,apt_pricing_idx,apt_top5,house_listings,house_pricing_idx,house_top5,land_listings,land_pricing_idx,land_top5
"Obec Liptovská Lúžna",3,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Occam New Home",4,-0.17525000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"ODEKO manažment s.r.o.",26,0.00409615,NULL,NULL,NULL,NULL,NULL,NULL,NULL
OPENREALITY,1,-0.00430000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"OREA, s.r.o.",18,0.02204118,NULL,12,0.01970000,NULL,14,-0.03980000,NULL
"OVERENÉ REALITY",12,0.01250000,NULL,16,-0.09902727,NULL,8,0.00931429,NULL
"PASS Reality, s.r.o.",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Pegas real s.r.o.",1,-0.08220000,NULL,2,-0.00385000,NULL,NULL,NULL,NULL
"PhDr. Miloš Kocúr - BKM Consulting",2,0.06785000,NULL,2,-0.35640000,NULL,1,0.00000000,NULL
"Piata Avenue",5,-0.07878000,NULL,15,0.02781111,NULL,5,0.31222000,NULL
"Piešťany Reality",1,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Porto Real Group",1,0.08220000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"PRIMA reality s.r.o.",2,0.00000000,NULL,1,0.06390000,NULL,1,0.33470000,NULL
"PRIVAT Reality spol.s.r.o",NULL,NULL,NULL,1,0.17320000,NULL,NULL,NULL,NULL
"Pro Real, s. r. o. realitná kancelária",3,0.00026667,NULL,2,0.04135000,NULL,1,-0.01330000,NULL
"PROFI INVEST družstvo",NULL,NULL,NULL,1,0.00000000,NULL,NULL,NULL,NULL
"Prom Real",NULL,NULL,NULL,1,-0.08500000,NULL,NULL,NULL,NULL
"PROMINENT REAL s.r.o.",1,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"PROXAM reality s.r.o.",NULL,NULL,NULL,NULL,NULL,NULL,1,0.00000000,NULL
"Prvá Realitná Kancelária, s.r.o.",3,0.02563333,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"PSynchro RK32",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
