offer_id,property_type,area,monthly_rent_m2,condition,position,floor,elevator,built_in,energy_certificate,north,south,east,west,location_district,location_city,location_area,agency,office_city
JugXYWqkt4N,"1-room apartment",30,13.00,"partially renovated","upper floor",5,NULL,2025,D,NULL,NULL,NULL,NULL,"okres Martin",Vrútky,"Horné Vrútky","Reality ASTORIA, s.r.o.",Martin
JuqvNgpYqrd,"1-room apartment",40,14.00,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Dolný Kubín","Dolný Kubín",Mokraď,"OREA, s.r.o.","Dolný Kubín"
JuA8-pf41pn,"3-room apartment",83,10.84,"fully renovated","upper floor",2,NULL,2025,"not available",NULL,NULL,NULL,yes,"okres Martin",Martin,Stred,"Reality Alpia",Martin
JuxBkaifl6df,"holiday apartment",42,15.48,"new construction","ground floor",1,NULL,2025,A,NULL,NULL,yes,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Iľanovo,"Reality Alpia",Martin
JunBqR0DBP9,"2-room apartment",50,11.80,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto",NULL,NULL
JucOhPXEpxa,"2-room apartment",71,10.28,"partially renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto",NULL,NULL
JuFqVxR2Rua,"2-room apartment",48,13.54,"new construction","ground floor",NULL,NULL,NULL,"not available",NULL,NULL,yes,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka,"RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuLEeBcqSvN,"2-room apartment",50,10.94,"fully renovated","top floor",6,yes,2025,"not available",yes,NULL,NULL,NULL,"okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
JuHC3L7PHAo,"studio apartment",15,16.67,"partially renovated","upper floor",2,NULL,1960,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"RE/MAX Slovakia",Bratislava
JuxsO06uVZG,"1-room apartment",43,11.40,unrenovated,"top floor",7,NULL,2010,"not available",NULL,NULL,yes,yes,"okres Žilina",Žilina,Hájik,"Realitná kancelária SYMPATIA REAL s. r. o.",Žilina
JuxQsJlXHSK,"3-room apartment",74,10.91,"fully renovated","upper floor",2,NULL,2025,A,yes,NULL,NULL,yes,"okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
JucmUHZL9fQ,"2-room apartment",57,14.74,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto",NULL,NULL
JuJBn5ZeVAm,"2-room apartment",51,12.35,"partially renovated","ground floor",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hliny,"Realitná kancelária",Bratislava
Juk9u-rNEqG,"2-room apartment",46,10.86,"fully renovated","upper floor",3,NULL,2025,A,NULL,NULL,NULL,NULL,"okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
JuDorfwK08d,"2-room apartment",85,6.47,"partially renovated","ground floor",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
Ju9qrQrSqzm,"studio apartment",25,20.00,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,NULL,NULL
JuVp8M6bnwG,"3-room apartment",80,7.50,"partially renovated","upper floor",2,NULL,1978,A,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka,"ŠIRINY, s.r.o.",Zvolen
JuKJT8WJuFF,"1-room apartment",37,14.32,"new construction","upper floor",2,NULL,2021,A,yes,NULL,NULL,yes,"okres Čadca",Čadca,Centrum,"HOLESTIAK.sk reality s.r.o.",Čadca
Ju8mh8KzH4f,"2-room apartment",60,8.83,"fully renovated","ground floor",1,NULL,1913,"not available",NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","Realitná kancelária Peter Hubka","Liptovský Mikuláš"
Ju_qGSnLBzz,"2-room apartment",59,8.81,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Bytča",Bytča,"Thurzove sady",NULL,NULL
JuQY1ZnmE4m,"studio apartment",25,19.20,"fully renovated","upper floor",2,NULL,2021,A,NULL,NULL,yes,NULL,"okres Dolný Kubín","Dolný Kubín",Brezovec,"OREA, s.r.o.","Dolný Kubín"
JuMhyPasgwl,"1-room apartment",41,10.98,"fully renovated","upper floor",NULL,NULL,1958,NULL,NULL,NULL,NULL,NULL,"okres Martin",Vrútky,"Horné Vrútky","B10 Slovensko, a. s.",Žilina
JuPet_Ep-JW,"studio apartment",70,5.71,"fully renovated","ground floor",NULL,NULL,1980,"not available",NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Hrádok",NULL,"TUreality s.r.o.",Žilina
Juw69usHNF6,"3-room apartment",86,8.49,"fully renovated","top floor",2,NULL,1970,"not available",NULL,NULL,NULL,yes,"okres Žilina",Žilina,"Staré mesto","R2 SK, s.r.o.",Žilina
Jup6mGYDCrv,"2-room apartment",57,9.88,"fully renovated","top floor",3,NULL,1935,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"Reality Center, s.r.o.",Martin
JuY4e0DxXsH,"2-room apartment",45,10.89,"new construction","added floor",2,NULL,2022,B,NULL,NULL,NULL,NULL,"okres Dolný Kubín","Dolný Kubín",Stred,"OREA, s.r.o.","Dolný Kubín"
Jue5OG4Sl5k,"2-room apartment",50,12.00,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto",NULL,NULL
JumQaXesU-y,"studio apartment",28,16.79,"new construction","upper floor",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,"Realitné kancelárie SR",Bratislava
JuXIzNjmik_,"3-room apartment",104,9.13,"fully renovated","upper floor",3,NULL,NULL,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","Realitné kancelárie SR",Bratislava
JukKH41KaWr,"3-room apartment",121,5.37,"fully renovated",NULL,NULL,NULL,1980,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"TUreality s.r.o.",Žilina
JuWzCETm2y0,"3-room apartment",70,8.91,"fully renovated","upper floor",2,NULL,1989,"not available",NULL,NULL,NULL,NULL,"okres Čadca",Čadca,Kyčerka,"SLNOVRAT, s.r.o.",Olešná
Ju2skZ_XIuH,"3-room apartment",90,5.56,"partially renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Čadca",Čierne,Čierne,NULL,NULL
JuWx4I1iGWR,"2-room apartment",80,6.25,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Námestovo",Mútne,Mútne,"BeMi realitná kancelária",Nitra
JuVlvDHUEHV,"2-room apartment",50,11.60,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Dolný Kubín","Dolný Kubín",Mokraď,"OREA, s.r.o.","Dolný Kubín"
JukzS9fkGsH,"3-room apartment",84,9.52,"fully renovated","upper floor",6,yes,1985,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,"Safe reality s. r. o.",Žilina
JuwxWNhZHvq,"2-room apartment",44,11.36,"fully renovated","top floor",3,NULL,1971,A,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","DreamReality s.r.o.",Žilina
JuNh7AtADFs,"2-room apartment",44,10.91,"new construction",NULL,NULL,NULL,2024,"not available",NULL,NULL,NULL,NULL,"okres Čadca","Krásno nad Kysucou",Kalinov,"MGM reality",Žilina
JuoVEcjPg5o,"3-room apartment",70,5.71,"new construction","ground floor",1,NULL,2025,"not available",NULL,NULL,NULL,NULL,"okres Námestovo",Rabčice,Rabčice,"RE/MAX Slovakia",Bratislava
JuyUHlMcv_Q,"3-room apartment",73,16.44,"fully renovated","upper floor",4,NULL,2023,NULL,NULL,NULL,NULL,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,"Realitná kancelária RED, s.r.o.",Žilina
Jutomv1SERc,"2-room apartment",57,9.65,"fully renovated","raised ground floor",NULL,NULL,2025,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Jahodníky,"Reality Alpia",Martin
JuIK5SS5weX,"2-room apartment",55,10.18,"partially renovated","upper floor",3,NULL,1976,"not available",NULL,NULL,yes,yes,"okres Martin",Martin,Stred,"Like Reality s.r.o.","Považská Bystrica"
JuvxR6XXHxE,"3-room apartment",74,10.83,"fully renovated","upper floor",5,NULL,2025,"not available",yes,NULL,yes,NULL,"okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
JuT8ujDpM1g,"1-room apartment",60,11.00,"partially renovated","upper floor",2,NULL,2025,C,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","WFG reality, s.r.o.",Žilina
JuBAitX8aRy,"2-room apartment",55,9.16,"partially renovated","upper floor",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Ružomberok",Ružomberok,Baničné,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuYm2hUT2pj,"3-room apartment",92,2.72,"fully renovated","upper floor",2,NULL,1975,C,NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"ALT REAL, s.r.o.",Martin
JuaMkijSYs-,"studio apartment",25,15.39,"partially renovated","upper floor",2,yes,NULL,C,NULL,NULL,NULL,NULL,"okres Dolný Kubín","Dolný Kubín",Brezovec,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuZL3wORd4j,"1-room apartment",35,15.04,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Stošice,"DVOŘÁK & PARTNERS s. r. o.","Banská Bystrica"
JuhvRDg8Y4C,"2-room apartment",58,6.72,unrenovated,basement,0,NULL,2025,"not available",NULL,NULL,NULL,NULL,"okres Námestovo",Námestovo,Stred,"RIEŠIME BÝVANIE",Bratislava
JuEGUe9TZYw,"3-room apartment",72,10.00,"partially renovated","top floor",5,yes,1982,B,NULL,NULL,NULL,yes,"okres Žilina",Žilina,Vlčince,"WFG reality, s.r.o.",Žilina
JuUFq9Wci3W,"studio apartment",25,14.40,"partially renovated",NULL,NULL,NULL,2025,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Ľadoveň,"Reality Alpia",Martin
JuGfHZevCsA,"3-room apartment",66,8.94,"fully renovated","upper floor",6,yes,1975,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"Realitná kancelária DR, s.r.o.",Martin
JufXjo0g1k9,"2-room apartment",59,11.78,"new construction","upper floor",2,yes,NULL,A,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka,"RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuPNe1hyDeq,"2-room apartment",57,12.14,"fully renovated","upper floor",5,NULL,2025,"not available",yes,NULL,NULL,yes,"okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
Ju4eeNbxgyr,"2-room apartment",50,13.80,"fully renovated","upper floor",4,NULL,1995,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Solinky,"Realitná kancelária RED, s.r.o.",Žilina
JuN3wzC2QtN,"1-room apartment",36,13.06,"partially renovated","top floor",5,NULL,1972,"not available",NULL,NULL,yes,NULL,"okres Martin",Martin,Sever,"Like Reality s.r.o.","Považská Bystrica"
JuTL4AQg4bH,"2-room apartment",55,10.00,"fully renovated","ground floor",1,NULL,1960,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Jahodníky,"Reality ASTORIA, s.r.o.",Martin
JuYNcMLobvd,"4-room apartment",102,6.37,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Trnové,NULL,NULL
JuRDv8rOGAN,"2-room apartment",46,10.42,"fully renovated","upper floor",3,NULL,2025,A,NULL,yes,yes,NULL,"okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
JuG-jkKlogR,"2-room apartment",50,12.00,"fully renovated",NULL,NULL,NULL,2025,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"Reality Alpia",Martin
JuKxd6XdpfQ,"3-room apartment",70,8.29,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,NULL,NULL
JuykyParod3,"3-room apartment",70,7.86,"new construction","upper floor",2,NULL,2024,A,NULL,NULL,NULL,NULL,"okres Bytča","Veľké Rovné","Veľké Rovné","RENOME REAL",Žilina
JuzGrB3SDsa,"studio apartment",25,16.00,"fully renovated","upper floor",4,NULL,1990,"not available",NULL,NULL,NULL,NULL,"okres Martin",Vrútky,"Horné Vrútky","Felicita Real s. r. o.",Martin
Ju3pgjh4OY7,"2-room apartment",43,16.74,"new construction","top floor",6,NULL,2018,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hájik,"WFG reality, s.r.o.",Žilina
JuV0WpoDBe_,"1-room apartment",37,13.24,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto",NULL,NULL
JuQ3YUuwUTb,"4-room apartment",92,11.96,"new construction","upper floor",2,NULL,2009,"not available",yes,NULL,NULL,NULL,"okres Žilina",Žilina,Hliny,"RIEŠIME BÝVANIE",Bratislava
JutqtoD-x5N,"2-room apartment",62,8.87,unrenovated,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Čadca",Čadca,Centrum,"Realitné kancelárie SR",Bratislava
Juu8kqRVDip,"3-room apartment",61,10.33,"fully renovated",NULL,NULL,NULL,NULL,"not available",NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny,"Direct Real, spol. s r.o.",Bratislava
JuL2muHqM6p,"3-room apartment",70,10.71,"fully renovated","upper floor",3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","PRIMA reality s.r.o.",Žilina
JuzUlNr7U_e,"3-room apartment",60,11.67,"partially renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,"Wealth Group, s.r.o.","Nová Dedinka"
JuZK9MB7o6G,"4-room apartment",84,10.00,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Solinky,NULL,NULL
JuSreilLACi,"3-room apartment",62,12.10,"new construction","upper floor",4,NULL,2011,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","Realitná kancelária RED, s.r.o.",Žilina
JuZLDF7L6J1,"3-room apartment",90,11.11,"fully renovated","upper floor",2,NULL,2020,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","PRIMA reality s.r.o.",Žilina
JuKOidVb0W7,"3-room apartment",80,6.88,unrenovated,"ground floor",1,yes,2025,"not available",NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Hrádok",Belánska,"Reality Alpia",Martin
JuIDpA00OUN,"2-room apartment",44,10.23,"new construction","upper floor",2,NULL,2018,A,NULL,NULL,yes,NULL,"okres Martin",Martin,Stred,"ML realitný& finančny servis s.r.o. , BrokerSoft s.r.o. , Monika Launerová - SZČO","Banská Bystrica"
JuEg-jxdD7t,"3-room apartment",65,9.08,"new construction","upper floor",4,yes,2019,B,NULL,yes,NULL,yes,"okres Martin",Martin,Stred,"ML realitný& finančny servis s.r.o. , BrokerSoft s.r.o. , Monika Launerová - SZČO","Banská Bystrica"
JuDV2pnh02W,"2-room apartment",58,8.62,"fully renovated","raised ground floor",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Martin",Sučany,Sučany,"Realitná kancelária",Bratislava
JuBpZ_BskLa,"2-room apartment",51,12.75,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Priekopa,NULL,NULL
JuFuOGe_LXE,"3-room apartment",60,11.65,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hliny,NULL,NULL
JuKXwzVXskc,"4-room apartment",162,11.73,"fully renovated","upper floor",3,NULL,1995,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","Realitná kancelária RED, s.r.o.",Žilina
JuaoWKxAUyW,"3-room apartment",65,11.54,"fully renovated","upper floor",3,NULL,2025,C,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Solinky,"WFG reality, s.r.o.",Žilina
Juwu97tpKpb,"2-room apartment",68,8.24,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"MAX PROFI REALITY",Martin
JuNAef2PSXl,"4-room apartment",83,10.24,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hliny,NULL,NULL
JuuJ1uhMrN8,"2-room apartment",64,8.59,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Námestovo",Námestovo,Stred,"BeMi realitná kancelária",Nitra
JuTbC9RkGly,"4-room apartment",162,11.73,"fully renovated","upper floor",2,NULL,1995,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","Realitná kancelária RED, s.r.o.",Žilina
JuKzHgnrtuZ,"2-room apartment",65,9.08,"new construction","top floor",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,"Realitné kancelárie SR",Bratislava
JupAkSKIIBk,"4-room apartment",88,6.36,"partially renovated","upper floor",3,yes,2025,"not available",NULL,yes,yes,NULL,"okres Ružomberok",Ružomberok,"Staré mesto","Reality Alpia",Martin
JunvOdNMl-j,"2-room apartment",50,13.00,"fully renovated","ground floor",1,NULL,1974,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"Reality MT s.r.o.",Martin
Ju5MSxaC_U4,"studio apartment",26,13.46,"partially renovated","top floor",8,yes,1978,"not available",NULL,NULL,NULL,NULL,"okres Čadca",Čadca,Žarec,"KUBALA REALITY, s.r.o.",Čadca
Ju0sE49cmdc,"3-room apartment",65,10.00,"fully renovated","upper floor",7,NULL,1985,B,NULL,NULL,yes,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto",liptoreal,"Liptovský Mikuláš"
Ju9wHsIIJEO,"4-room apartment",100,8.00,"fully renovated","upper floor",2,NULL,2010,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Trnové,"Realitné kancelárie SR",Bratislava
JupJ5OCoIez,"2-room apartment",50,12.00,"partially renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hájik,NULL,NULL
JuqvAhg9dB7,"3-room apartment",60,10.83,"fully renovated","ground floor",1,NULL,1982,"not available",yes,NULL,yes,NULL,"okres Čadca","Krásno nad Kysucou",Stred,"KUBALA REALITY, s.r.o.",Čadca
JudvlSKcuB3,"2-room apartment",50,9.00,"partially renovated","upper floor",5,NULL,1980,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Košúty,"Realitná kancelária DR, s.r.o.",Martin
Ju71Or7iIz1,"2-room apartment",65,8.00,unrenovated,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Stred,"Realitné kancelárie SR",Bratislava
JupbJt5OZmn,"3-room apartment",75,7.73,"partially renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Dolný Kubín","Dolný Kubín",Brezovec,NULL,NULL
Ju-XczSJwZk,"3-room apartment",74,10.83,"fully renovated","top floor",6,yes,2025,A,yes,NULL,yes,NULL,"okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
JuoQ5zgqUF8,"3-room apartment",90,8.33,"fully renovated","upper floor",2,NULL,1985,"not available",NULL,NULL,NULL,yes,"okres Žilina",Žilina,"Staré mesto","STAREA, s. r. o.",Žilina
Ju6NM6rUyuq,"1-room apartment",55,7.09,"partially renovated","ground floor",1,NULL,1970,"not available",NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Ondrašová","BEŇO REALITY","Liptovský Mikuláš"
JuYWEki50At,"studio apartment",14,25.71,"new construction","ground floor",1,NULL,2022,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","1. Reality Rent, s.r.o.",Žilina
Julagh5blsT,"2-room apartment",85,6.47,"fully renovated","ground floor",1,NULL,NULL,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuaDMLn46eO,"2-room apartment",54,9.26,"fully renovated","upper floor",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuzwzT16anT,"4-room apartment",92,11.96,"new construction","upper floor",3,NULL,2011,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hliny,"Realitná kancelária RED, s.r.o.",Žilina
JuK1t12r-oH,"2-room apartment",55,12.73,"fully renovated",NULL,NULL,NULL,1980,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hliny,"TUreality s.r.o.",Žilina
Ju7WBBedEh6,"3-room apartment",102,6.37,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,NULL,NULL
JuFVUTYq75r,"2-room apartment",53,10.75,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Dolný Kubín","Dolný Kubín",Mokraď,"OREA, s.r.o.","Dolný Kubín"
JuktUK0BQQK,"2-room apartment",67,11.49,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hliny,NULL,NULL
JuSqYMaXIJ4,"3-room apartment",52,10.58,"partially renovated","added floor",NULL,NULL,NULL,"not available",yes,NULL,yes,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka,"RESIDENCE realitná kancelária","Liptovský Mikuláš"
Juty1iBq1Em,"3-room apartment",70,9.71,"fully renovated","top floor",3,NULL,1989,"not available",NULL,yes,yes,NULL,"okres Žilina",Žilina,"Staré mesto","ŽILINAREAL, s.r.o.",Žilina
Ju4n_bUHLJ9,"2-room apartment",65,7.69,unrenovated,"upper floor",6,yes,NULL,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuDt4JSbLor,"2-room apartment",55,10.00,"fully renovated",NULL,NULL,NULL,NULL,B,NULL,NULL,NULL,NULL,"okres Martin",Martin,Podháj,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
Jui1mJgPtv9,"3-room apartment",80,8.13,"fully renovated","ground floor",1,NULL,NULL,B,NULL,NULL,NULL,NULL,"okres Martin",Vrútky,"Horné Vrútky","FINREA - ak vám záleží na výsledku","Dolný Kubín"
Jud1TyzIUXK,"2-room apartment",65,12.31,"new construction","top floor",4,NULL,2023,A,NULL,yes,NULL,yes,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka,"Loviu, s.r.o.","Liptovský Mikuláš"
JuoZ1J6Es1y,"2-room apartment",50,13.00,"fully renovated","upper floor",6,yes,1993,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hájik,"bezmaklérov, s.r.o.",Žilina
JuWQ2JltmXN,"3-room apartment",78,8.72,"new construction","ground floor",1,NULL,2020,"not available",NULL,NULL,NULL,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Stred,"WFG reality, s.r.o.",Žilina
Ju4MMsyYZ5L,"studio apartment",25,18.00,"fully renovated","upper floor",3,NULL,1950,"not available",NULL,NULL,NULL,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,"DRR INVEST, s. r. o.","Horný Hričov"
JuzbyOpl5Xf,"3-room apartment",84,12.81,"fully renovated","top floor",6,yes,2025,"not available",NULL,yes,NULL,yes,"okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
