price_m2,ln_price_m2,holiday_apartment,rooms,area,ln_area,unrenovated,partially_renovated,fully_renovated,new_construction,new_project,ground_floor,upper_floor,top_floor,missing_floor,floor_upto_8,very_high_floor,elevator,age,ln_age,energy_certificate,north,south,east,west,BY,ZA,KM,CA,MT,TR,DK,NO,TS,RK,LM,area_price_index
2723.61,7.9097134852131745,0,2.0,69,4.23410650459726,0,0,0,0,1,0,1,0,0,4.0,0,1,1,0.6931471805599453,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,9.67590974780000
1820.09,7.506641229397653,0,3.0,76,4.330733340286331,1,0,0,0,0,0,0,1,0,4.0,0,0,45.01,3.8288587641673772,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.67590974780000
2713.43,7.905968796229493,0,3.0,102,4.624972813284271,0,0,0,0,1,0,1,0,0,4.0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9.67590974780000
1828.95,7.511497310674383,0,3.0,76,4.330733340286331,1,0,0,0,0,0,0,1,0,4.0,0,0,45.01,3.8288587641673772,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.67590974780000
2669.46,7.889631483748563,0,3.0,74,4.30406509320417,0,0,0,1,0,0,1,0,0,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.67590974780000
2724.65,7.910095258481202,0,3.0,97,4.574710978503383,0,0,0,0,1,0,1,0,0,3.0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,9.67590974780000
2756.60,7.9217533152603385,0,3.0,97,4.574710978503383,0,0,0,0,1,0,1,0,0,6.0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,9.67590974780000
2745.14,7.917587354464576,0,3.0,96,4.564348191467836,0,0,0,1,0,0,1,0,0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.67590974780000
2669.46,7.889631483748563,0,3.0,74,4.30406509320417,0,0,0,1,0,0,1,0,0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.67590974780000
2704.71,7.902749976660841,0,2.0,70,4.248495242049359,0,0,0,0,1,0,1,0,0,3.0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9.67590974780000
2693.36,7.898544763788116,0,2.0,69,4.23410650459726,0,0,0,0,1,0,1,0,0,2.0,0,1,1,0.6931471805599453,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,9.67590974780000
2690.44,7.897460027993206,0,2.0,70,4.248495242049359,0,0,0,0,1,0,1,0,0,2.0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9.67590974780000
2692.80,7.898336823436542,0,3.0,102,4.624972813284271,0,0,0,0,1,0,1,0,0,2.0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9.67590974780000
2707.60,7.9038179126344525,0,2.0,71,4.2626798770413155,0,0,0,0,1,0,1,0,0,2.0,0,1,1,0.6931471805599453,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,9.67590974780000
2714.34,7.906304108893267,0,3.0,97,4.574710978503383,0,0,0,0,1,0,1,0,0,2.0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,9.67590974780000
2013.04,7.607401296281912,0,3.0,69,4.23410650459726,1,0,0,0,0,0,0,1,0,4.0,0,0,46,3.8501476017100584,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,9.67590974780000
2790.34,7.933918731189905,0,3.0,72,4.276666119016055,0,0,1,0,0,0,1,0,1,2.8,0,0,42.02,3.761665123839584,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-4.14252882826000
3703.70,8.2170875989654,0,2.0,28,3.332204510175204,0,0,0,1,0,0,0,0,1,2.8,0,0,4.47,1.6992786164338898,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-4.14252882826000
2578.13,7.854819608915105,0,3.0,64,4.1588830833596715,0,0,1,0,0,0,0,0,1,2.8,0,0,45,3.828641396489095,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-4.14252882826000
2076.92,7.63864130604235,0,3.0,65,4.174387269895637,1,0,0,0,0,0,0,0,1,2.8,0,0,45,3.828641396489095,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-4.14252882826000
2333.33,7.7550517107968915,0,3.0,78,4.356708826689592,0,0,1,0,0,0,0,0,1,2.8,0,0,45,3.828641396489095,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-4.14252882826000
2944.44,7.9876739252029925,0,2.0,54,3.9889840465642745,0,0,1,0,0,0,1,0,0,7.0,0,1,45,3.828641396489095,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-4.14252882826000
2037.91,7.619680051865447,0,3.0,63,4.143134726391533,1,0,0,0,0,0,0,1,0,9.0,1,0,52,3.970291913552122,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-4.14252882826000
2561.18,7.848223368774551,0,3.0,85,4.442651256490317,0,0,0,1,0,0,0,1,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-10.57304766030000
