price_m2,area,ln_area,flat,sloped,BY,ZA,KM,CA,MT,TR,DK,NO,TS,RK,LM,area_price_index
206.25,800,6.684611727667927,1,0,0,0,0,0,1,0,0,0,0,0,0,6.76942205142500
60.00,4181,8.338305731356565,1,0,0,0,0,0,1,0,0,0,0,0,0,6.76942205142500
46.53,1612,7.385230923066573,0,0,0,0,0,0,0,0,1,0,0,0,0,-13.11993947872000
187.50,480,6.173786103901937,0,0,0,0,0,0,0,0,1,0,0,0,0,-13.11993947872000
18.00,5893,8.681520484837913,0,1,0,0,0,0,0,0,1,0,0,0,0,-13.11993947872000
35.43,4234,8.350902451694811,0,1,0,0,0,0,0,0,1,0,0,0,0,-13.11993947872000
124.25,668,6.504288173536645,0,0,0,0,0,0,1,0,0,0,0,0,0,-8.30285941623333
81.74,1101,7.00397413672268,0,0,0,0,0,0,1,0,0,0,0,0,0,-8.30285941623333
106.41,2058,7.629489916393995,1,0,0,0,0,0,0,0,0,0,0,0,1,18.56523640373333
120.00,4117,8.322880021769905,0,1,0,0,0,0,0,0,0,0,0,0,1,18.56523640373333
180.18,1443,7.274479558773871,1,0,0,1,0,0,0,0,0,0,0,0,0,18.76265164520000
53.60,1903,7.551186867296149,0,0,0,1,0,0,0,0,0,0,0,0,0,18.76265164520000
173.41,628,6.4425401664681985,1,0,0,0,0,0,0,0,0,0,0,0,1,-25.31189740815714
13.06,3062,8.026823576217629,0,0,0,0,0,0,0,0,0,0,0,0,1,-25.31189740815714
13.06,3062,8.026823576217629,0,0,0,0,0,0,0,0,0,0,0,0,1,-25.31189740815714
147.76,670,6.507277712385012,0,0,0,0,0,0,0,0,0,0,0,0,1,4.86304850395000
65.00,3635,8.19836438996762,0,0,0,1,0,0,0,0,0,0,0,0,0,17.29012604892857
196.72,609,6.411818267709897,0,1,0,1,0,0,0,0,0,0,0,0,0,17.29012604892857
135.80,729,6.591673732008658,1,0,0,1,0,0,0,0,0,0,0,0,0,17.29012604892857
179.00,1000,6.907755278982137,0,1,0,1,0,0,0,0,0,0,0,0,0,17.29012604892857
160.00,706,6.559615237493242,0,0,0,1,0,0,0,0,0,0,0,0,0,17.29012604892857
170.00,493,6.20050917404269,1,0,0,1,0,0,0,0,0,0,0,0,0,17.29012604892857
153.76,878,6.777646593635117,0,1,0,1,0,0,0,0,0,0,0,0,0,17.29012604892857
160.00,701,6.55250788703459,0,0,0,1,0,0,0,0,0,0,0,0,0,17.29012604892857
61.10,851,6.7464121285733745,1,0,0,1,0,0,0,0,0,0,0,0,0,-11.28676590668000
24.03,2285,7.734121303328305,0,1,0,0,0,0,1,0,0,0,0,0,0,-20.12051567335000
89.00,636,6.455198563340122,1,0,0,0,0,0,1,0,0,0,0,0,0,-20.12051567335000
122.00,760,6.633318433280377,1,0,0,0,0,1,0,0,0,0,0,0,0,-13.67068092542500
319.41,407,6.008813185442595,0,0,0,0,0,0,0,0,0,1,0,0,0,34.91268789074000
62.30,610,6.413458957167357,0,1,0,0,0,0,0,0,0,0,0,0,1,-2.47534358402500
150.00,1022,6.92951677076365,0,1,0,0,0,0,0,0,0,0,0,0,1,-2.47534358402500
145.60,609,6.411818267709897,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.47534358402500
201.95,1535,7.336285660021297,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.89918346646000
0.00,1158,7.05444965813294,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.89918346646000
250.00,550,6.309918278226516,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.89918346646000
238.46,520,6.253828811575473,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.89918346646000
250.00,4377,8.384118837190895,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.89918346646000
220.00,1020,6.927557906278317,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.89918346646000
62.42,1200,7.090076835776092,0,0,0,0,0,0,1,0,0,0,0,0,0,-16.00821041223750
100.00,793,6.675823221634848,0,1,0,0,0,0,1,0,0,0,0,0,0,-16.00821041223750
148.00,500,6.214608098422191,1,0,0,0,0,0,1,0,0,0,0,0,0,-16.00821041223750
75.00,1014,6.921658184151129,0,1,0,0,0,0,1,0,0,0,0,0,0,-16.00821041223750
111.56,986,6.893656354602635,1,0,0,0,0,0,0,0,0,0,0,1,0,15.83447532986667
116.28,946,6.852242569051878,0,0,0,0,0,0,0,0,0,0,0,1,0,15.83447532986667
147.92,649,6.47543271670409,1,0,0,1,0,0,0,0,0,0,0,0,0,16.35209841735000
61.41,1301,7.170888478512505,1,0,0,1,0,0,0,0,0,0,0,0,0,8.95069783160000
135.53,760,6.633318433280377,1,0,0,1,0,0,0,0,0,0,0,0,0,8.95069783160000
49.00,553,6.315358001522335,1,0,0,1,0,0,0,0,0,0,0,0,0,8.95069783160000
114.11,815,6.703188113240863,0,0,0,1,0,0,0,0,0,0,0,0,0,8.95069783160000
125.67,1114,7.01571242048723,1,0,0,1,0,0,0,0,0,0,0,0,0,8.95069783160000
60.00,3948,8.280964400553373,0,0,0,1,0,0,0,0,0,0,0,0,0,8.95069783160000
75.00,881,6.78105762593618,0,1,0,0,0,0,0,0,1,0,0,0,0,-26.56656429590000
100.00,800,6.684611727667927,1,0,0,0,0,0,1,0,0,0,0,0,0,-6.59684512212500
163.01,638,6.45833828334479,0,1,0,0,0,0,1,0,0,0,0,0,0,-6.59684512212500
100.00,1700,7.438383530044307,1,0,0,0,0,0,1,0,0,0,0,0,0,-6.59684512212500
0.07,1500,7.313220387090301,0,0,0,0,0,0,1,0,0,0,0,0,0,-6.59684512212500
160.10,812,6.699500340161678,1,0,0,1,0,0,0,0,0,0,0,0,0,60.47051115403333
49.00,917,6.821107472256465,0,1,0,0,1,0,0,0,0,0,0,0,0,-5.28494706760000
38.08,1195,7.085901464365611,0,1,0,0,1,0,0,0,0,0,0,0,0,-5.28494706760000
65.00,1556,7.349873704738337,1,0,0,0,1,0,0,0,0,0,0,0,0,-5.28494706760000
35.21,994,6.901737206656574,0,0,0,0,1,0,0,0,0,0,0,0,0,-5.28494706760000
65.22,690,6.536691597591305,0,1,0,0,1,0,0,0,0,0,0,0,0,-5.28494706760000
90.00,350,5.857933154483459,1,0,0,0,0,0,0,0,0,0,0,0,1,-3.51732627142500
90.00,350,5.857933154483459,1,0,0,0,0,0,0,0,0,0,0,0,1,-3.51732627142500
96.00,600,6.396929655216146,1,0,0,0,0,0,0,0,0,0,0,0,1,-3.51732627142500
100.00,450,6.1092475827643655,1,0,0,0,0,0,0,0,0,0,0,0,1,-3.51732627142500
0.26,350,5.857933154483459,1,0,0,0,0,0,0,0,0,0,0,0,1,-3.51732627142500
135.00,884,6.784457062637643,1,0,0,1,0,0,0,0,0,0,0,0,0,0.39380882080000
105.00,520,6.253828811575473,1,0,0,1,0,0,0,0,0,0,0,0,0,0.39380882080000
228.71,599,6.395261598115449,0,0,0,1,0,0,0,0,0,0,0,0,0,0.39380882080000
61.42,635,6.453624998892692,0,1,1,0,0,0,0,0,0,0,0,0,0,-9.25397060777500
44.93,1489,7.305860032684009,0,1,1,0,0,0,0,0,0,0,0,0,0,-9.25397060777500
134.12,850,6.745236349484363,1,0,1,0,0,0,0,0,0,0,0,0,0,-9.25397060777500
88.95,697,6.546785410760524,1,0,1,0,0,0,0,0,0,0,0,0,0,-9.25397060777500
196.00,500,6.214608098422191,1,0,0,1,0,0,0,0,0,0,0,0,0,22.64074791090000
159.95,437,6.07993319509559,1,0,0,1,0,0,0,0,0,0,0,0,0,22.64074791090000
172.25,865,6.762729506931879,1,0,0,1,0,0,0,0,0,0,0,0,0,22.64074791090000
188.47,451,6.111467339502679,0,1,0,1,0,0,0,0,0,0,0,0,0,22.64074791090000
279.42,447,6.102558594613569,0,0,0,1,0,0,0,0,0,0,0,0,0,22.64074791090000
169.20,2364,7.768110378525988,0,1,0,1,0,0,0,0,0,0,0,0,0,22.64074791090000
95.00,3767,8.23403420769204,1,0,0,1,0,0,0,0,0,0,0,0,0,22.64074791090000
105.00,4637,8.441822884391462,1,0,0,1,0,0,0,0,0,0,0,0,0,22.64074791090000
200.00,917,6.821107472256465,0,0,0,1,0,0,0,0,0,0,0,0,0,22.64074791090000
276.03,634,6.452048954437226,0,0,0,1,0,0,0,0,0,0,0,0,0,22.64074791090000
95.00,3750,8.229511118964457,0,0,0,1,0,0,0,0,0,0,0,0,0,22.64074791090000
89.68,1550,7.346010209913293,0,0,0,1,0,0,0,0,0,0,0,0,0,22.64074791090000
149.63,808,6.694562058521095,1,0,0,1,0,0,0,0,0,0,0,0,0,-1.74866873768333
45.89,608,6.410174881966167,1,0,0,1,0,0,0,0,0,0,0,0,0,-1.74866873768333
15.25,8000,8.987196820661973,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.74866873768333
173.19,866,6.763884908562435,0,1,0,1,0,0,0,0,0,0,0,0,0,-1.74866873768333
149.75,808,6.694562058521095,0,1,0,1,0,0,0,0,0,0,0,0,0,-1.74866873768333
112.71,771,6.647688373563329,0,1,0,0,0,0,0,0,0,0,0,0,1,-6.89754580696000
53.00,1339,7.199678345691172,1,0,0,1,0,0,0,0,0,0,0,0,0,-21.15002520460000
86.00,500,6.214608098422191,0,0,0,1,0,0,0,0,0,0,0,0,0,-21.15002520460000
88.24,1190,7.081708586105575,1,0,0,0,0,0,1,0,0,0,0,0,0,-32.39290168100000
28.00,5183,8.553139318189707,1,0,0,0,0,0,1,0,0,0,0,0,0,-32.39290168100000
120.16,516,6.246106765481563,1,0,0,0,0,0,1,0,0,0,0,0,0,-32.39290168100000
88.24,1190,7.081708586105575,1,0,0,0,0,0,1,0,0,0,0,0,0,-32.39290168100000
125.00,510,6.234410725718371,0,1,0,0,0,0,0,0,0,0,0,0,1,5.20721470335000
70.00,1753,7.469083884921234,1,0,0,0,0,0,0,0,0,0,0,0,1,5.20721470335000
160.00,1681,7.427144133408616,1,0,0,0,0,0,0,0,0,0,0,0,1,-1.51498028693333
120.90,823,6.71295620067707,0,1,0,1,0,0,0,0,0,0,0,0,0,51.29449149748000
270.00,600,6.396929655216146,0,0,0,1,0,0,0,0,0,0,0,0,0,51.29449149748000
108.75,823,6.71295620067707,0,1,0,1,0,0,0,0,0,0,0,0,0,51.29449149748000
558.64,810,6.697034247666484,0,1,0,1,0,0,0,0,0,0,0,0,0,51.29449149748000
140.00,1654,7.4109518755836366,0,1,0,1,0,0,0,0,0,0,0,0,0,51.29449149748000
392.59,810,6.697034247666484,0,1,0,1,0,0,0,0,0,0,0,0,0,51.29449149748000
231.40,860,6.756932389247553,0,1,0,1,0,0,0,0,0,0,0,0,0,51.29449149748000
189.80,922,6.826545223556594,0,0,0,1,0,0,0,0,0,0,0,0,0,51.29449149748000
264.53,567,6.340359303727752,0,1,0,1,0,0,0,0,0,0,0,0,0,51.29449149748000
178.30,830,6.721425700790643,0,0,0,1,0,0,0,0,0,0,0,0,0,51.29449149748000
189.80,922,6.826545223556594,0,1,0,1,0,0,0,0,0,0,0,0,0,51.29449149748000
558.64,810,6.697034247666484,0,1,0,1,0,0,0,0,0,0,0,0,0,51.29449149748000
159.79,582,6.366470447731438,1,0,0,0,0,0,0,0,0,0,0,0,1,19.85951179830000
160.00,2069,7.634820677745543,1,0,0,0,0,0,0,0,0,0,0,0,1,19.85951179830000
75.00,4100,8.318742252692399,0,0,0,0,0,0,0,0,0,0,0,0,1,19.85951179830000
99.00,1095,6.9985096422506015,0,1,0,0,0,0,0,0,0,0,0,0,1,19.85951179830000
75.00,4100,8.318742252692399,0,0,0,0,0,0,0,0,0,0,0,0,1,19.85951179830000
130.00,803,6.688354713946762,0,0,0,0,0,0,0,0,0,0,0,0,1,19.85951179830000
73.41,851,6.7464121285733745,0,0,0,0,0,0,0,1,0,0,0,0,0,-54.81943533080000
59.00,1327,7.190676034332207,1,0,0,0,0,0,0,1,0,0,0,0,0,-54.81943533080000
55.00,2414,7.789040401657477,1,0,0,0,0,1,0,0,0,0,0,0,0,-42.31759836666667
49.00,2414,7.789040401657477,1,0,0,0,0,1,0,0,0,0,0,0,0,-42.31759836666667
287.29,905,6.807934943699926,1,0,0,1,0,0,0,0,0,0,0,0,0,48.64585746664000
120.00,695,6.543911845564792,0,1,0,0,0,1,0,0,0,0,0,0,0,17.18494502160000
