price_m2,area,house_area,land_area,unrenovated,partially_renovated,fully_renovated,new_construction,in_development,age,flat,sloped,BY,ZA,KM,CA,MT,TR,DK,NO,TS,RK,LM,area_price_index
1443.30,97,97,574,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9.02103437447500
2699.52,125,125,288,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.02103437447500
1040.70,172,172,732,0,1,0,0,0,45,0,1,0,1,0,0,0,0,0,0,0,0,0,9.02103437447500
2698.36,125,125,287,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.02103437447500
3651.79,112,112,508,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.02103437447500
680.58,551,551,551,0,0,0,1,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,-12.61345316354545
888.89,360,360,874,0,0,0,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,-23.38626729680000
945.83,240,240,1034,0,1,0,0,0,55,1,0,0,0,0,0,0,0,0,0,1,0,0,-23.38626729680000
1649.50,200,200,1039,0,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,-7.70857583786250
1649.50,200,200,1039,0,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,-7.70857583786250
1922.07,153,153,491,0,0,1,0,0,12,0,1,0,0,0,1,0,0,0,0,0,0,0,-22.04248484540000
681.82,110,110,952,1,0,0,0,0,65,0,0,0,0,0,1,0,0,0,0,0,0,0,-22.04248484540000
1165.50,429,429,869,0,0,0,1,0,15,0,1,0,0,0,1,0,0,0,0,0,0,0,-22.04248484540000
1538.08,260,260,431,0,0,1,0,0,45,0,0,0,0,0,1,0,0,0,0,0,0,0,-22.04248484540000
1449.44,89,89,510,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-22.04248484540000
835.00,200,200,522,0,1,0,0,0,65,0,0,0,0,0,1,0,0,0,0,0,0,0,-22.04248484540000
1895.42,153,153,491,0,0,1,0,0,12,0,1,0,0,0,1,0,0,0,0,0,0,0,-22.04248484540000
1043.18,220,220,292,1,0,0,0,0,50,0,0,0,1,0,0,0,0,0,0,0,0,0,15.24054310781111
1388.89,180,180,521,1,0,0,0,0,80,0,0,0,1,0,0,0,0,0,0,0,0,0,15.24054310781111
1380.28,355,355,963,0,1,0,0,0,27,0,0,0,1,0,0,0,0,0,0,0,0,0,15.24054310781111
3500.00,90,90,898,1,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1,84.22820104889091
