offer_id,built_in,house_area,land_area,built_up_area,terrain,energy_certificate,electricity,water
Ju23oRXuRNw,1970,230,1850.0,100.0,NULL,"not available",NULL,NULL
JudhN1eg-Z1,1978,135,780.0,135.0,NULL,"not available",on-site,well
Ju9kLci6QHU,1980,910,NULL,NULL,NULL,"not available",NULL,NULL
JuddrVo_6K8,1980,190,1550.0,190.0,NULL,"not available",on-site,well
JubSXyHD9FS,2025,125,287.0,NULL,other,"not available","not available","not available"
JueNBBfFeD4,1985,187,361.0,94.5,flat,"not available",on-site,"public water"
JuCx5OqxogO,1955,270,372.0,125.0,NULL,"not available",NULL,"public water"
JugBNFAg1HA,2012,96,66.0,162.0,flat,"not available",NULL,NULL
JuE1L7QIb5r,1905,250,1800.0,250.0,flat,"not available",on-site,"public water"
Ju0MsknUaYA,1995,250,421.0,150.0,"mostly flat",NULL,NULL,NULL
Ju1GDbbrB55,2009,240,1707.0,164.0,flat,"not available",NULL,NULL
JuaMaWInHEa,2024,431,630.0,199.0,NULL,A,NULL,NULL
JujFiU7wF23,1998,160,1000.0,125.0,flat,"not available",NULL,NULL
JuxEotSi75n,2010,110,329.0,103.0,flat,B,NULL,NULL
Ju5GSMP-mjz,1967,210,1590.0,120.0,NULL,"not available",NULL,NULL
JujtVzSs6Xp,1992,280,800.0,120.0,flat,"not available",on-site,"public water"
JuHDbG3yLMb,1970,90,185.0,96.0,flat,"not available",on-site,"public water"
Jug4SIOybnO,2025,490,NULL,NULL,"gently sloped","not available","not available",well
Ju1tsUeFhRS,1980,103,NULL,NULL,NULL,"not available",NULL,NULL
Juws22--sLM,1975,150,NULL,100.0,"gently sloped","not available",on-site,"public water"
JuiKlGUbKmU,2025,300,672.0,672.0,flat,"in preparation",NULL,"public water"
JuvemPDdxob,2024,119,809.0,131.0,flat,A,NULL,well
Juv-ZyHYN0s,2025,145,512.0,75.2,flat,"not available",on-site,"public water"
Ju9NWPjsyPl,2002,186,1045.0,154.0,NULL,B,NULL,NULL
JuFzDxVJ2q6,2022,110,749.0,110.0,NULL,NULL,NULL,NULL
JumvGr4WHDN,2025,234,1034.0,NULL,other,"not available","not available","not available"
JumL89VNCQA,1930,120,NULL,104.0,flat,"not available",NULL,NULL
JuE93RTyEY1k,1960,200,1318.0,200.0,NULL,NULL,NULL,NULL
JuKa1Trlsqb,1974,120,860.0,115.0,flat,"not available",on-site,well
JufqC5RH_Te,1910,200,706.0,154.0,flat,"not available",NULL,"public water"
JuFqa8ebzxy,2022,146,939.0,166.0,flat,A,NULL,NULL
