offer_id,position,floor,total_floors,elevator,built_in,energy_certificate,north,south,east,west
Juw69usHNF6,"top floor",2,2,NULL,1970,"not available",NULL,NULL,NULL,yes
Jup6mGYDCrv,"top floor",3,3,NULL,1935,"not available",NULL,NULL,NULL,NULL
Ju5R24o6GQR,"upper floor",4,5,NULL,1980,"not available",NULL,NULL,NULL,NULL
Ju8_AnIgnrX,"raised ground floor",4,8,yes,1982,"not available",NULL,NULL,NULL,NULL
JuY4e0DxXsH,"added floor",2,2,NULL,2022,B,NULL,NULL,NULL,NULL
Jue5OG4Sl5k,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Juo19uqWHqv,"upper floor",4,8,yes,1970,"not available",NULL,NULL,NULL,NULL
JumQaXesU-y,"upper floor",2,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JuEVg7e9gge,"upper floor",2,4,yes,1960,"not available",NULL,NULL,NULL,NULL
JuXIzNjmik_,"upper floor",3,NULL,NULL,NULL,"not available",NULL,NULL,NULL,NULL
Juv94EKwgh6,"ground floor",1,4,yes,2024,"not available",NULL,NULL,NULL,NULL
JukKH41KaWr,NULL,NULL,NULL,NULL,1980,"not available",NULL,NULL,NULL,NULL
JuhxRDKuEfi,"ground floor",1,5,NULL,2024,A,NULL,NULL,NULL,NULL
JuRJykTdszG,NULL,NULL,NULL,NULL,NULL,"not available",NULL,NULL,NULL,NULL
JuDJ_hnDscM,"upper floor",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JulzEF1iR1R,"ground floor",1,2,NULL,1960,"not available",NULL,NULL,NULL,NULL
Jus2f1I5Shb,NULL,NULL,NULL,NULL,1970,"not available",NULL,NULL,NULL,NULL
JuWzCETm2y0,"upper floor",2,7,NULL,1989,"not available",NULL,NULL,NULL,NULL
Ju12shpSBga,"top floor",3,3,NULL,NULL,A,NULL,NULL,NULL,NULL
JuXnw8EKWYI,NULL,NULL,NULL,NULL,NULL,A,NULL,NULL,NULL,NULL
JuJM07aUO0O,"upper floor",6,7,yes,1976,"not available",NULL,NULL,NULL,NULL
